FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Apps_DEL_DOT_VEC_2D       , -0.15           ,         , -0.15           ,         , -0.027          ,         , 0.12            ,OVER_TOL
Apps_ENERGY               , -0.023          ,         , 0.076           ,         , -0.0057         ,         , 0.07            ,        
Apps_FIR                  , -0.27           ,         , -0.28           ,         , -0.038          ,         , 0.18            ,OVER_TOL
Apps_HALOEXCHANGE         , 0.0061          ,         , 0.012           ,         , 0.0029          ,         , 0.96            ,OVER_TOL
Apps_LTIMES               , -0.24           ,         , 3.8             ,OVER_TOL , 0.013           ,         , 4.9             ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.24           ,         , 0.033           ,         , 0.016           ,         , 9               ,OVER_TOL
Apps_PRESSURE             , -0.00094        ,         , -0.025          ,         , 0.04            ,         , 0.82            ,OVER_TOL
Apps_VOL3D                , -0.023          ,         , -0.036          ,         , -0.0072         ,         , 0.081           ,        
Basic_DAXPY               , -0.019          ,         , -0.019          ,         , 0.0056          ,         , 0.83            ,OVER_TOL
Basic_IF_QUAD             , -0.028          ,         , -0.039          ,         , -0.063          ,         , 0.038           ,        
Basic_INIT3               , -0.022          ,         , -0.16           ,         , -0.0077         ,         , 0.44            ,OVER_TOL
Basic_INIT_VIEW1D         , -0.0084         ,         , -0.0085         ,         , -0.011          ,         , 1.3             ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.016          ,         , 0.18            ,OVER_TOL , -0.34           ,         , 0.61            ,OVER_TOL
Basic_MULADDSUB           , -0.038          ,         , -0.16           ,         , 0.025           ,         , 0.39            ,OVER_TOL
Basic_NESTED_INIT         , -0.019          ,         , 0.015           ,         , -0.89           ,         , -0.34           ,        
Basic_PI_ATOMIC           , -0.00026        ,         , 3.2             ,OVER_TOL , -0.00069        ,         , 1.3             ,OVER_TOL
Basic_REDUCE3_INT         , -0.0057         ,         , 7.2             ,OVER_TOL , -0.079          ,         , 12              ,OVER_TOL
Basic_TRAP_INT            , -0.0076         ,         , 0.059           ,         , -0.057          ,         , 1.7             ,OVER_TOL
Lcals_DIFF_PREDICT        , -0.015          ,         , -0.098          ,         , -0.06           ,         , -0.033          ,        
Lcals_EOS                 , -0.015          ,         , -0.017          ,         , -0.0017         ,         , 1.7             ,OVER_TOL
Lcals_FIRST_DIFF          , -0.003          ,         , -0.0029         ,         , -6e-05          ,         , 0.37            ,OVER_TOL
Lcals_FIRST_MIN           , 0.00081         ,         , 3               ,OVER_TOL , -0.006          ,         , 2.8             ,OVER_TOL
Lcals_FIRST_SUM           , -0.0052         ,         , -0.0045         ,         , 0.013           ,         , 0.39            ,OVER_TOL
Lcals_GEN_LIN_RECUR       , 0.029           ,         , -0.01           ,         , 0.036           ,         , 0.066           ,        
Lcals_HYDRO_1D            , 0.021           ,         , 0.031           ,         , 0.019           ,         , 0.99            ,OVER_TOL
Lcals_HYDRO_2D            , -0.026          ,         , 0.072           ,         , 0.0053          ,         , 0.34            ,OVER_TOL
Lcals_INT_PREDICT         , 0.0038          ,         , 0.038           ,         , -0.21           ,         , -0.23           ,        
Lcals_PLANCKIAN           , -0.18           ,         , -0.18           ,         , -0.022          ,         , 0.14            ,OVER_TOL
Lcals_TRIDIAG_ELIM        , -0.0093         ,         , -0.0091         ,         , 0.046           ,         , 0.036           ,        
Stream_ADD                , -0.007          ,         , -0.008          ,         , -0.0031         ,         , 0.71            ,OVER_TOL
Stream_COPY               , -0.0048         ,         , -0.0028         ,         , -0.34           ,         , 0.11            ,OVER_TOL
Stream_DOT                , -0.0043         ,         , 1.1             ,OVER_TOL , -0.037          ,         , 0.87            ,OVER_TOL
Stream_MUL                , -0.005          ,         , -0.0053         ,         , -0.0036         ,         , 0.81            ,OVER_TOL
Stream_TRIAD              , 0.00031         ,         , -0.006          ,         , -0.0035         ,         , 0.81            ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.27           ,         , -0.28           ,         , -0.89           ,         , -0.34           ,        
Col Max                   , 0.029           ,         , 7.2             ,         , 0.046           ,         , 12              ,        
Col Avg                   , -0.039          ,         , 0.52            ,         , -0.058          ,         , 1.3             ,        
Col Std Dev               , 0.0059          ,         , 2.3             ,         , 0.029           ,         , 6.6             ,        
