FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , -0.19           ,         , -0.19           ,         , -0.001          ,         , -0.0081         ,        
Basic_DAXPY               , -0.28           ,         , -0.31           ,         , 0.003           ,         , 0.066           ,        
Basic_IF_QUAD             , 0.057           ,         , 0.02            ,         , -0.003          ,         , -0.003          ,        
Basic_INIT3               , -0.004          ,         , -0.005          ,         , 0.07            ,         , -0.001          ,        
Basic_INIT_VIEW1D         , -0.058          ,         , 0.012           ,         , 0.056           ,         , 0.049           ,        
Basic_INIT_VIEW1D_OFFSET  , -0.64           ,         , -0.6            ,         , 0.062           ,         , 0.0041          ,        
Basic_MULADDSUB           , -0.047          ,         , -0.038          ,         , 0.056           ,         , 0.01            ,        
Basic_NESTED_INIT         , -0.093          ,         , -0.053          ,         , 0.018           ,         , 0.023           ,        
Basic_REDUCE3_INT         , 0.14            ,OVER_TOL , 0.01            ,         , 0.001           ,         , 0.01            ,        
Basic_TRAP_INT            , -0.02           ,         , -0.0089         ,         , -0.046          ,         , -0.06           ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.64           ,         , -0.6            ,         , -0.046          ,         , -0.06           ,        
Col Max                   , 0.14            ,         , 0.02            ,         , 0.07            ,         , 0.066           ,        
Col Avg                   , -0.11           ,         , -0.12           ,         , 0.022           ,         , 0.009           ,        
Col Std Dev               , 0.044           ,         , 0.036           ,         , 0.0013          ,         , 0.001           ,        
