Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_OpenMP , Lambda_OpenMP , RAJA_OpenMP , Kokkos_Lambda , Kokkos_Functor
Basic_ATOMIC_PI           , 0.024206 ,   0.024199 , 0.100201 ,    6.325090 ,      4.472665 ,   19.380037 ,      8.110825 ,        Not run
Basic_DAXPY               , 0.300904 ,   0.288081 , 0.284458 ,    0.238033 ,      0.236121 ,    0.460824 ,      0.248701 ,        Not run
Basic_IF_QUAD             , 1.425635 ,   1.453842 , 1.610531 ,    0.111696 ,      0.109159 ,    0.183763 ,      0.118188 ,        Not run
Basic_INIT3               , 1.058982 ,   1.041298 , 0.834680 ,    0.237901 ,      0.235779 ,    0.440067 ,      0.264916 ,        Not run
Basic_INIT_VIEW1D         , 0.872466 ,   0.869688 , 1.124332 ,    0.257890 ,      0.245363 ,    0.487701 ,      0.275336 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 0.871415 ,   0.863795 , 1.215800 ,    0.244526 ,      0.242815 ,    0.494493 ,      0.273257 ,        Not run
Basic_MULADDSUB           , 0.832958 ,   0.791417 , 0.581042 ,    0.168341 ,      0.167297 ,    0.305935 ,      0.182616 ,        Not run
Basic_NESTED_INIT         , 0.852306 ,   0.845283 , 0.935464 ,    0.050292 ,      0.046700 ,    0.077520 ,      0.038506 ,        Not run
Basic_REDUCE3_INT         , 0.016443 ,   0.016847 , 0.127677 ,    0.008687 ,      0.008792 ,    0.037670 ,      0.009882 ,        Not run
Basic_TRAP_INT            , 0.383791 ,   0.396081 , 0.396187 ,    0.192541 ,      0.194622 ,    0.335917 ,      0.120286 ,        Not run
Lcals_DIFF_PREDICT        , 1.205152 ,   1.179385 , 0.729450 ,    0.117950 ,      0.120020 ,    0.206160 ,      0.130539 ,        Not run
Lcals_EOS                 , 0.766043 ,   0.752066 , 0.751244 ,    0.337995 ,      0.249890 ,    0.532538 ,      0.325913 ,        Not run
Lcals_FIRST_DIFF          , 0.932500 ,   0.925376 , 0.925809 ,    0.754932 ,      0.760015 ,    1.468064 ,      0.852339 ,        Not run
Lcals_FIRST_MIN           , 0.037386 ,   0.037124 , 0.148820 ,    0.011031 ,      0.011720 ,    0.019904 ,      0.007702 ,        Not run
Lcals_FIRST_SUM           , 0.920792 ,   0.912659 , 0.913138 ,    0.752530 ,      0.760615 ,    1.470604 ,      0.849892 ,        Not run
Lcals_GEN_LIN_RECUR       , 1.427322 ,   1.396145 , 1.399030 ,    0.591095 ,      0.588104 ,    1.101685 ,      0.631656 ,        Not run
Lcals_HYDRO_1D            , 1.236826 ,   1.215155 , 1.215476 ,    0.593303 ,      0.589987 ,    1.145855 ,      0.669402 ,        Not run
Lcals_HYDRO_2D            , 2.438150 ,   2.364450 , 3.779877 ,    0.107241 ,      0.109648 ,    0.217902 ,      0.165234 ,        Not run
Lcals_INT_PREDICT         , 1.403804 ,   1.384167 , 1.435118 ,    0.225596 ,      0.201650 ,    0.360836 ,      0.230694 ,        Not run
Lcals_PLANCKIAN           , 0.410517 ,   0.322838 , 0.322983 ,    0.031883 ,      0.031898 ,    0.050692 ,      0.032753 ,        Not run
Lcals_TRIDIAG_ELIM        , 1.308207 ,   1.303940 , 1.304075 ,    0.243790 ,      0.242304 ,    0.463230 ,      0.273290 ,        Not run
Stream_ADD                , 1.120670 ,   1.145127 , 1.097532 ,    0.057071 ,      0.056667 ,    0.101514 ,      0.062322 ,        Not run
Stream_COPY               , 1.149380 ,   1.143722 , 1.145326 ,    0.096034 ,      0.087651 ,    0.164074 ,      0.109315 ,        Not run
Stream_DOT                , 1.320079 ,   1.314159 , 2.882744 ,    0.202123 ,      0.196955 ,    0.385575 ,      0.123949 ,        Not run
Stream_MUL                , 1.191494 ,   1.183699 , 1.185465 ,    0.095416 ,      0.093769 ,    0.175062 ,      0.104512 ,        Not run
Stream_TRIAD              , 1.137847 ,   1.092811 , 1.135654 ,    0.057195 ,      0.056006 ,    0.101834 ,      0.076720 ,        Not run
