Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_OpenMP , Lambda_OpenMP , RAJA_OpenMP , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 1.077617 ,   0.961156 , 0.963874 ,    0.189702 ,      0.142234 ,    0.280753 ,       Not run ,        Not run
Apps_ENERGY               , 1.467557 ,   1.375620 , 1.353517 ,    0.138735 ,      0.148425 ,    0.155556 ,       Not run ,        Not run
Apps_FIR                  , 0.749964 ,   0.710975 , 0.627337 ,    0.164435 ,      0.104337 ,    0.195741 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.036384 ,   0.036373 , 0.036428 ,    0.334378 ,      0.330794 ,    0.674565 ,       Not run ,        Not run
Apps_LTIMES               , 0.302901 ,   0.233737 , 1.724364 ,    0.012565 ,      0.012631 ,    0.067596 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 0.288349 ,   0.233617 , 0.319430 ,    0.014752 ,      0.012779 ,    0.093611 ,       Not run ,        Not run
Apps_PRESSURE             , 1.387511 ,   1.382979 , 1.383089 ,    0.366436 ,      0.357064 ,    0.396369 ,       Not run ,        Not run
Apps_VOL3D                , 1.279324 ,   1.240650 , 1.222046 ,    0.062573 ,      0.061934 ,    0.083699 ,       Not run ,        Not run
Basic_ATOMIC_PI           , 0.024865 ,   0.024838 , 0.111334 ,    5.526119 ,      5.329884 ,   20.063301 ,      8.153037 ,        Not run
Basic_DAXPY               , 0.304447 ,   0.295154 , 0.295320 ,    0.235686 ,      0.237860 ,    0.455651 ,      0.245158 ,        Not run
Basic_IF_QUAD             , 1.443874 ,   1.437687 , 1.415538 ,    0.110099 ,      0.110420 ,    0.184367 ,      0.119073 ,        Not run
Basic_INIT3               , 1.008999 ,   0.986905 , 0.818104 ,    0.248009 ,      0.236042 ,    0.448399 ,      0.265939 ,        Not run
Basic_INIT_VIEW1D         , 0.880672 ,   0.872610 , 1.125598 ,    0.247417 ,      0.246968 ,    0.482049 ,      0.273979 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 0.926886 ,   0.872983 , 1.124476 ,    0.252374 ,      0.245664 ,    0.501249 ,      0.277742 ,        Not run
Basic_MULADDSUB           , 0.762800 ,   0.692952 , 0.603042 ,    0.165578 ,      0.165724 ,    0.304744 ,      0.184140 ,        Not run
Basic_NESTED_INIT         , 0.864073 ,   0.852832 , 0.937667 ,    0.063711 ,      0.071747 ,    0.114703 ,      0.042039 ,        Not run
Basic_REDUCE3_INT         , 0.017281 ,   0.017813 , 0.127332 ,    0.008675 ,      0.013903 ,    0.036237 ,      0.009995 ,        Not run
Basic_TRAP_INT            , 0.382923 ,   0.395273 , 0.393777 ,    0.198215 ,      0.195374 ,    0.306221 ,      0.127735 ,        Not run
Lcals_DIFF_PREDICT        , 1.195252 ,   1.170926 , 0.740302 ,    0.130721 ,      0.131445 ,    0.210895 ,      0.136290 ,        Not run
Lcals_EOS                 , 0.660882 ,   0.656381 , 0.656477 ,    0.241779 ,      0.241235 ,    0.462122 ,      0.276737 ,        Not run
Lcals_FIRST_DIFF          , 0.979196 ,   0.973223 , 0.973663 ,    0.217319 ,      0.103781 ,    0.164488 ,      0.190466 ,        Not run
Lcals_FIRST_MIN           , 0.037909 ,   0.037652 , 0.149283 ,    0.002561 ,      0.002828 ,    0.010626 ,      0.002517 ,        Not run
Lcals_FIRST_SUM           , 0.979848 ,   0.973317 , 0.973678 ,    0.101875 ,      0.100798 ,    0.164712 ,      0.190952 ,        Not run
Lcals_GEN_LIN_RECUR       , 1.452778 ,   1.425383 , 1.428553 ,    0.282761 ,      0.280554 ,    0.321108 ,      0.316263 ,        Not run
Lcals_HYDRO_1D            , 1.222276 ,   1.218707 , 1.219151 ,    0.085620 ,      0.087391 ,    0.133729 ,      0.154167 ,        Not run
Lcals_HYDRO_2D            , 2.402660 ,   2.373288 , 3.753828 ,    0.068818 ,      0.070297 ,    0.137194 ,      0.112194 ,        Not run
Lcals_INT_PREDICT         , 1.410088 ,   1.391099 , 1.443620 ,    0.043101 ,      0.043310 ,    0.057208 ,      0.070457 ,        Not run
Lcals_PLANCKIAN           , 0.407368 ,   0.322421 , 0.322488 ,    0.010417 ,      0.010765 ,    0.013935 ,      0.013580 ,        Not run
Lcals_TRIDIAG_ELIM        , 1.318955 ,   1.311897 , 1.312026 ,    0.037737 ,      0.038071 ,    0.056956 ,      0.063779 ,        Not run
Stream_ADD                , 1.008542 ,   1.017480 , 0.989765 ,    0.013199 ,      0.013064 ,    0.016869 ,      0.018512 ,        Not run
Stream_COPY               , 1.140799 ,   1.134966 , 1.139610 ,    0.026458 ,      0.023693 ,    0.030260 ,      0.041719 ,        Not run
Stream_DOT                , 1.288811 ,   1.278932 , 2.875814 ,    0.029445 ,      0.030272 ,    0.204170 ,      0.038008 ,        Not run
Stream_MUL                , 1.184228 ,   1.180920 , 1.180936 ,    0.018793 ,      0.018911 ,    0.025831 ,      0.028781 ,        Not run
Stream_TRIAD              , 1.032907 ,   1.025023 , 1.024993 ,    0.012306 ,      0.012185 ,    0.016046 ,      0.033663 ,        Not run
