Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_OpenMP , Lambda_OpenMP , RAJA_OpenMP , Kokkos_Lambda , Kokkos_Functor
Basic_ATOMIC_PI           ,    1.000 ,      1.086 ,    0.942 ,       1.146 ,         1.143 ,       1.144 ,         0.948 ,        Not run
Basic_DAXPY               ,    1.000 ,      1.377 ,    1.298 ,       1.307 ,         1.387 ,       1.322 ,         1.292 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      0.996 ,    0.980 ,       0.941 ,         0.939 ,       0.938 ,         0.788 ,        Not run
Basic_INIT3               ,    1.000 ,      1.065 ,    1.009 ,       1.058 ,         1.064 ,       1.063 ,         0.275 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      0.949 ,    0.867 ,       0.997 ,         0.967 ,       0.989 ,         0.296 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      3.192 ,    2.277 ,       3.038 ,         3.006 ,       3.218 ,         0.923 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      0.957 ,    1.002 ,       0.939 ,         1.003 ,       0.994 ,         0.259 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      1.027 ,    1.021 ,       0.899 ,         1.028 ,       0.978 ,         0.894 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,      0.933 ,    1.045 ,       1.008 ,         1.064 ,       1.006 ,         0.902 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      1.236 ,    1.114 ,       1.244 ,         1.250 ,       1.227 ,         1.174 ,        Not run
