FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , 0.041           ,         , -0.15           ,         , -0.18           ,         , -0.086          ,        
Basic_DAXPY               , -0.14           ,         , -0.021          ,         , -0.047          ,         , -0.0058         ,        
Basic_IF_QUAD             , -0.11           ,         , -0.046          ,         , 0.012           ,         , 0.069           ,        
Basic_INIT3               , -0.47           ,         , -0.44           ,         , 0.07            ,         , 0.038           ,        
Basic_INIT_VIEW1D         , 0.063           ,         , 0.89            ,OVER_TOL , -0.073          ,         , 0.012           ,        
Basic_INIT_VIEW1D_OFFSET  , -0.88           ,         , -0.79           ,         , -0.035          ,         , -0.071          ,        
Basic_MULADDSUB           , -0.043          ,         , 0.018           ,         , 0.019           ,         , 0.057           ,        
Basic_NESTED_INIT         , -0.031          ,         , 0.12            ,OVER_TOL , 0.024           ,         , 0.24            ,OVER_TOL
Basic_REDUCE3_INT         , -0.57           ,         , -0.54           ,         , 0.049           ,         , 0               ,        
Basic_TRAP_INT            , -0.048          ,         , 0.065           ,         , 0.037           ,         , 0.055           ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.88           ,         , -0.79           ,         , -0.18           ,         , -0.086          ,        
Col Max                   , 0.063           ,         , 0.89            ,         , 0.07            ,         , 0.24            ,        
Col Avg                   , -0.22           ,         , -0.089          ,         , -0.012          ,         , 0.031           ,        
Col Std Dev               , 0.089           ,         , 0.19            ,         , 0.0049          ,         , 0.0072          ,        
