FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , -0.00012        ,         , 3.5             ,OVER_TOL , 0.2             ,OVER_TOL , 1.3             ,OVER_TOL
Basic_DAXPY               , -0.051          ,         , -0.05           ,         , 0.007           ,         , 0.57            ,OVER_TOL
Basic_IF_QUAD             , -0.023          ,         , -0.0068         ,         , 0.011           ,         , -0.15           ,        
Basic_INIT3               , -0.016          ,         , -0.18           ,         , 0.0027          ,         , 0.34            ,OVER_TOL
Basic_INIT_VIEW1D         , -0.021          ,         , 0.27            ,OVER_TOL , -0.012          ,         , 1.4             ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , 0.0062          ,         , 0.3             ,OVER_TOL , -0.06           ,         , 1.5             ,OVER_TOL
Basic_MULADDSUB           , -0.051          ,         , -0.17           ,         , 0.071           ,         , 0.41            ,OVER_TOL
Basic_NESTED_INIT         , -0.013          ,         , -0.0091         ,         , 0.11            ,OVER_TOL , 2.4             ,OVER_TOL
Basic_REDUCE3_INT         , -0.0092         ,         , 4.2             ,OVER_TOL , 0.034           ,         , 14              ,OVER_TOL
Basic_TRAP_INT            , 0.054           ,         , 0.053           ,         , -0.091          ,         , 3.8             ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.051          ,         , -0.18           ,         , -0.091          ,         , -0.15           ,        
Col Max                   , 0.054           ,         , 4.2             ,         , 0.2             ,         , 14              ,        
Col Avg                   , -0.012          ,         , 0.79            ,         , 0.027           ,         , 2.6             ,        
Col Std Dev               , 0.00081         ,         , 2.4             ,         , 0.0062          ,         , 17              ,        
