FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Apps_DEL_DOT_VEC_2D       , -0.037          ,         , -0.036          ,         , 0.0051          ,         , 0.21            ,OVER_TOL
Apps_ENERGY               , 0.028           ,         , 0.097           ,         , -0.12           ,         , -0.16           ,        
Apps_FIR                  , -0.23           ,         , -0.23           ,         , -0.39           ,         , -0.18           ,        
Apps_HALOEXCHANGE         , -0.0022         ,         , 0.0016          ,         , -0.21           ,         , 0.32            ,OVER_TOL
Apps_LTIMES               , -0.18           ,         , 4.3             ,OVER_TOL , -0.46           ,         , 1.8             ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.25           ,         , 0.042           ,         , 0.028           ,         , 8.3             ,OVER_TOL
Apps_PRESSURE             , -0.017          ,         , -0.017          ,         , -0.017          ,         , 0.82            ,OVER_TOL
Apps_VOL3D                , -0.021          ,         , -0.037          ,         , 0.031           ,         , 0.2             ,OVER_TOL
Basic_DAXPY               , -0.016          ,         , -0.017          ,         , 0.0043          ,         , 0.88            ,OVER_TOL
Basic_IF_QUAD             , -0.017          ,         , -0.031          ,         , 0.064           ,         , 0.17            ,OVER_TOL
Basic_INIT3               , -0.019          ,         , -0.14           ,         , -0.006          ,         , 0.46            ,OVER_TOL
Basic_INIT_VIEW1D         , -0.0087         ,         , -0.0084         ,         , -0.011          ,         , 1.3             ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.13           ,         , 0.13            ,OVER_TOL , -0.14           ,         , 0.99            ,OVER_TOL
Basic_MULADDSUB           , -0.062          ,         , -0.17           ,         , -0.0036         ,         , 0.36            ,OVER_TOL
Basic_NESTED_INIT         , -0.017          ,         , 0.029           ,         , -0.0054         ,         , 1.7             ,OVER_TOL
Basic_PI_ATOMIC           , 0.00044         ,         , 3.2             ,OVER_TOL , -0.039          ,         , 1.4             ,OVER_TOL
Basic_REDUCE3_INT         , -0.002          ,         , 7.1             ,OVER_TOL , -0.084          ,         , 13              ,OVER_TOL
Basic_TRAP_INT            , -0.00018        ,         , 0.07            ,         , -0.12           ,         , 1.4             ,OVER_TOL
Lcals_DIFF_PREDICT        , 0.0092          ,         , -0.096          ,         , -0.079          ,         , -0.064          ,        
Lcals_EOS                 , -0.034          ,         , -0.039          ,         , -0.034          ,         , 1.5             ,OVER_TOL
Lcals_FIRST_DIFF          , -0.0037         ,         , -0.0038         ,         , -0.0066         ,         , 0.48            ,OVER_TOL
Lcals_FIRST_MIN           , -0.00081        ,         , 2.9             ,OVER_TOL , -0.21           ,         , 2.6             ,OVER_TOL
Lcals_FIRST_SUM           , -0.0048         ,         , -0.0049         ,         , -0.0035         ,         , 0.42            ,OVER_TOL
Lcals_GEN_LIN_RECUR       , -0.012          ,         , 0.0016          ,         , -0.0052         ,         , 0.016           ,        
Lcals_HYDRO_1D            , -0.0066         ,         , -0.006          ,         , -0.0017         ,         , 1.1             ,OVER_TOL
Lcals_HYDRO_2D            , -0.014          ,         , 0.074           ,         , 0.0059          ,         , 0.37            ,OVER_TOL
Lcals_INT_PREDICT         , -0.0038         ,         , 0.034           ,         , 0.011           ,         , 0.03            ,        
Lcals_PLANCKIAN           , -0.14           ,         , -0.14           ,         , -0.0084         ,         , 0.13            ,OVER_TOL
Lcals_TRIDIAG_ELIM        , -0.007          ,         , -0.0071         ,         , 0.025           ,         , 0.29            ,OVER_TOL
Stream_ADD                , -0.0059         ,         , -0.0051         ,         , 0.016           ,         , 0.34            ,OVER_TOL
Stream_COPY               , -0.0049         ,         , -0.00075        ,         , -0.09           ,         , 0.2             ,OVER_TOL
Stream_DOT                , -0.0019         ,         , 1.2             ,OVER_TOL , 0.064           ,         , 5.4             ,OVER_TOL
Stream_MUL                , -0.0057         ,         , -0.0074         ,         , 0.016           ,         , 1               ,OVER_TOL
Stream_TRIAD              , -0.005          ,         , -0.0081         ,         , -0.0088         ,         , 1.1             ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.25           ,         , -0.23           ,         , -0.46           ,         , -0.18           ,        
Col Max                   , 0.028           ,         , 7.1             ,         , 0.064           ,         , 13              ,        
Col Avg                   , -0.036          ,         , 0.53            ,         , -0.052          ,         , 1.4             ,        
Col Std Dev               , 0.0043          ,         , 2.3             ,         , 0.013           ,         , 6.5             ,        
