Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_OpenMP , Lambda_OpenMP , RAJA_OpenMP , Kokkos_Lambda , Kokkos_Functor
Basic_ATOMIC_PI           , 0.024884 ,   0.024866 , 0.111344 ,    5.191212 ,      5.949817 ,   16.897964 ,      7.383976 ,        Not run
Basic_DAXPY               , 0.310292 ,   0.292344 , 0.294874 ,    0.242165 ,      0.240434 ,    0.464489 ,      0.226404 ,        Not run
Basic_IF_QUAD             , 1.417279 ,   1.401412 , 1.431721 ,    0.114971 ,      0.115967 ,    0.189985 ,      0.116701 ,        Not run
Basic_INIT3               , 1.043495 ,   1.016047 , 0.849969 ,    0.242114 ,      0.232921 ,    0.442516 ,      0.240615 ,        Not run
Basic_INIT_VIEW1D         , 0.873593 ,   0.865507 , 1.123614 ,    0.251461 ,      0.245451 ,    0.497831 ,      0.248144 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 0.902110 ,   0.865422 , 1.238820 ,    0.254940 ,      0.244909 ,    0.508606 ,      0.247781 ,        Not run
Basic_MULADDSUB           , 0.791083 ,   0.779537 , 0.582781 ,    0.204181 ,      0.210721 ,    0.366996 ,      0.191916 ,        Not run
Basic_NESTED_INIT         , 0.858329 ,   0.860480 , 0.936912 ,    0.061925 ,      0.059425 ,    0.084422 ,      0.037886 ,        Not run
Basic_REDUCE3_INT         , 0.016743 ,   0.016491 , 0.129705 ,    0.016133 ,      0.016039 ,    0.033939 ,      0.009764 ,        Not run
Basic_TRAP_INT            , 0.383816 ,   0.395117 , 0.393882 ,    0.201905 ,      0.201321 ,    0.300936 ,      0.108399 ,        Not run
Stream_ADD                , 1.023620 ,   1.006531 , 1.001779 ,    0.058064 ,      0.057172 ,    0.101606 ,      0.057516 ,        Not run
