FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , -0.11           ,         , -0.043          ,         , -0.003          ,         , 0.092           ,        
Basic_DAXPY               , 0.075           ,         , -0.041          ,         , 0.0072          ,         , 0.0031          ,        
Basic_IF_QUAD             , 0.064           ,         , -0.046          ,         , 0.001           ,         , 0.044           ,        
Basic_INIT3               , -0.001          ,         , 0.012           ,         , 0.056           ,         , 0.0081          ,        
Basic_INIT_VIEW1D         , 0.017           ,         , 0.078           ,         , 0.0086          ,         , -0.055          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.67           ,         , -0.54           ,         , -0.04           ,         , 0.036           ,        
Basic_MULADDSUB           , -0.0058         ,         , -0.052          ,         , 0.027           ,         , -0.003          ,        
Basic_NESTED_INIT         , -0.063          ,         , -0.0019         ,         , -0.052          ,         , 0.0029          ,        
Basic_REDUCE3_INT         , 0.0048          ,         , 0.096           ,         , 0.067           ,         , 0.015           ,        
Basic_TRAP_INT            , 0.12            ,OVER_TOL , -0.003          ,         , -0.052          ,         , -0.054          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.67           ,         , -0.54           ,         , -0.052          ,         , -0.055          ,        
Col Max                   , 0.12            ,         , 0.096           ,         , 0.067           ,         , 0.092           ,        
Col Avg                   , -0.057          ,         , -0.054          ,         , 0.0021          ,         , 0.009           ,        
Col Std Dev               , 0.046           ,         , 0.029           ,         , 0.0015          ,         , 0.0017          ,        
