Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_OpenMP , Lambda_OpenMP , RAJA_OpenMP , Kokkos_Lambda , Kokkos_Functor
Basic_ATOMIC_PI           , 0.024192 ,   0.024214 , 0.108310 ,    6.313453 ,      5.504528 ,   15.341200 ,      6.988619 ,        Not run
Basic_DAXPY               , 0.305421 ,   0.293169 , 0.294021 ,    0.351194 ,      0.304121 ,    0.511920 ,      0.270714 ,        Not run
Basic_IF_QUAD             , 1.413452 ,   1.390365 , 1.427770 ,    0.119063 ,      0.115272 ,    0.171341 ,      0.117515 ,        Not run
Basic_INIT3               , 1.008996 ,   0.994219 , 0.823697 ,    0.281830 ,      0.298434 ,    0.552575 ,      0.260868 ,        Not run
Basic_INIT_VIEW1D         , 0.857238 ,   0.857822 , 1.124235 ,    0.378833 ,      0.278226 ,    0.499446 ,      0.382896 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 0.867018 ,   0.864802 , 1.136759 ,    0.237221 ,      0.324195 ,    0.573743 ,      0.273720 ,        Not run
Basic_MULADDSUB           , 0.712363 ,   0.686272 , 0.612159 ,    0.316748 ,      0.190798 ,    0.292174 ,      0.161881 ,        Not run
Basic_NESTED_INIT         , 0.935539 ,   0.936113 , 0.936058 ,    0.081668 ,      0.046007 ,    0.140970 ,      0.036166 ,        Not run
Basic_REDUCE3_INT         , 0.019821 ,   0.016027 , 0.081865 ,    0.008185 ,      0.008263 ,    0.032803 ,      0.008725 ,        Not run
Basic_TRAP_INT            , 0.372590 ,   0.393751 , 0.395641 ,    0.194150 ,      0.191460 ,    0.311913 ,      0.111467 ,        Not run
