Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_OpenMP , Lambda_OpenMP , RAJA_OpenMP , Kokkos_Lambda , Kokkos_Functor
Basic_ATOMIC_PI           , 0.024222 ,   0.024257 , 0.108497 ,    6.463030 ,      5.849923 ,   15.806974 ,      7.888412 ,        Not run
Basic_DAXPY               , 0.293527 ,   0.288836 , 0.289287 ,    0.277282 ,      0.273857 ,    0.497595 ,      0.263115 ,        Not run
Basic_IF_QUAD             , 1.424727 ,   1.440708 , 1.417900 ,    0.112743 ,      0.111958 ,    0.184838 ,      0.116838 ,        Not run
Basic_INIT3               , 1.067725 ,   1.042745 , 0.850644 ,    0.257517 ,      0.260224 ,    0.440593 ,      0.258566 ,        Not run
Basic_INIT_VIEW1D         , 0.902851 ,   0.906222 , 1.129450 ,    0.288907 ,      0.295656 ,    0.500945 ,      0.284071 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 0.902966 ,   0.904240 , 1.124518 ,    0.299229 ,      0.277072 ,    0.510169 ,      0.290393 ,        Not run
Basic_MULADDSUB           , 0.801273 ,   0.797694 , 0.592120 ,    0.171738 ,      0.210669 ,    0.373646 ,      0.221152 ,        Not run
Basic_NESTED_INIT         , 0.968799 ,   0.962569 , 1.011940 ,    0.049539 ,      0.048995 ,    0.119886 ,      0.033999 ,        Not run
Basic_REDUCE3_INT         , 0.016820 ,   0.016733 , 0.125112 ,    0.008457 ,      0.008291 ,    0.034883 ,      0.009019 ,        Not run
Basic_TRAP_INT            , 0.374576 ,   0.392885 , 0.394645 ,    0.192408 ,      0.192938 ,    0.303459 ,      0.111585 ,        Not run
