FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , -0.082          ,         , -0.028          ,         , -0.012          ,         , -0.015          ,        
Basic_DAXPY               , 0.0041          ,         , 0.12            ,OVER_TOL , -0.059          ,         , -0.067          ,        
Basic_IF_QUAD             , 0.036           ,         , -0.0051         ,         , 0.019           ,         , -0.0071         ,        
Basic_INIT3               , -0.002          ,         , -0.002          ,         , 0.0061          ,         , 0.0071          ,        
Basic_INIT_VIEW1D         , -0.04           ,         , 0.095           ,         , -0.1            ,         , -0.063          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.62           ,         , -0.6            ,         , -0.011          ,         , -0.055          ,        
Basic_MULADDSUB           , -0.03           ,         , -0.032          ,         , 0.062           ,         , 0.0041          ,        
Basic_NESTED_INIT         , 0.057           ,         , -0.054          ,         , 0.002           ,         , -0.003          ,        
Basic_REDUCE3_INT         , -0.25           ,         , -0.25           ,         , -0.034          ,         , -0.036          ,        
Basic_TRAP_INT            , 0.016           ,         , -0.046          ,         , -0.039          ,         , -0.036          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.62           ,         , -0.6            ,         , -0.1            ,         , -0.067          ,        
Col Max                   , 0.057           ,         , 0.12            ,         , 0.062           ,         , 0.0071          ,        
Col Avg                   , -0.091          ,         , -0.08           ,         , -0.017          ,         , -0.027          ,        
Col Std Dev               , 0.038           ,         , 0.039           ,         , 0.0019          ,         , 0.0007          ,        
