FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , -0.31           ,         , -0.38           ,         , -0.38           ,         , -0.37           ,        
Basic_DAXPY               , 0.038           ,         , 0.24            ,OVER_TOL , -0.097          ,         , 0.067           ,        
Basic_IF_QUAD             , -0.061          ,         , 0               ,         , -0.069          ,         , -0.063          ,        
Basic_INIT3               , -0.018          ,         , -0.099          ,         , 0.036           ,         , -0.012          ,        
Basic_INIT_VIEW1D         , -0.019          ,         , 0.52            ,OVER_TOL , -0.067          ,         , 0.024           ,        
Basic_INIT_VIEW1D_OFFSET  , -0.85           ,         , -0.78           ,         , 0.15            ,OVER_TOL , 0.046           ,        
Basic_MULADDSUB           , 0.038           ,         , -0.019          ,         , 0.0062          ,         , 0.025           ,        
Basic_NESTED_INIT         , -0.31           ,         , -0.19           ,         , 0.077           ,         , 0.077           ,        
Basic_REDUCE3_INT         , 0.098           ,         , 0.067           ,         , -0.0061         ,         , -0.0061         ,        
Basic_TRAP_INT            , -0.049          ,         , 0.037           ,         , -0.0059         ,         , -0.018          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.85           ,         , -0.78           ,         , -0.38           ,         , -0.37           ,        
Col Max                   , 0.098           ,         , 0.52            ,         , 0.15            ,         , 0.077           ,        
Col Avg                   , -0.14           ,         , -0.061          ,         , -0.036          ,         , -0.023          ,        
Col Std Dev               , 0.072           ,         , 0.11            ,         , 0.018           ,         , 0.015           ,        
