Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_OpenMP , Lambda_OpenMP , RAJA_OpenMP , Kokkos_Lambda , Kokkos_Functor
Basic_ATOMIC_PI           ,    1.000 ,      1.000 ,    0.223 ,       0.004 ,         0.004 ,       0.002 ,         0.006 ,        Not run
Basic_DAXPY               ,    1.000 ,      1.054 ,    1.053 ,       8.206 ,         8.149 ,       5.217 ,         7.390 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      1.024 ,    1.007 ,      39.556 ,        39.107 ,      46.740 ,        37.516 ,        Not run
Basic_INIT3               ,    1.000 ,      1.016 ,    1.222 ,      17.681 ,        17.634 ,      13.180 ,        16.514 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      1.022 ,    0.785 ,      20.948 ,        21.209 ,       8.587 ,        19.839 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      0.994 ,    0.768 ,      20.595 ,        21.899 ,       8.284 ,        19.382 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      1.053 ,    1.210 ,      17.915 ,        16.727 ,      12.741 ,        16.739 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      1.013 ,    1.009 ,      22.861 ,        20.622 ,       6.647 ,        37.069 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,      1.009 ,    0.192 ,      12.360 ,        11.950 ,       0.805 ,         3.863 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      0.949 ,    0.950 ,      11.151 ,        12.272 ,       2.346 ,        13.255 ,        Not run
