FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , 0.00059         ,         , 3.5             ,OVER_TOL , -0.081          ,         , 1.6             ,OVER_TOL
Basic_DAXPY               , -0.022          ,         , -0.019          ,         , -0.066          ,         , 0.81            ,OVER_TOL
Basic_IF_QUAD             , -0.015          ,         , -0.011          ,         , 0.011           ,         , 0.5             ,OVER_TOL
Basic_INIT3               , -0.022          ,         , -0.2            ,         , -0.14           ,         , 0.62            ,OVER_TOL
Basic_INIT_VIEW1D         , -0.0073         ,         , 0.24            ,OVER_TOL , -0.0075         ,         , 0.93            ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , 0.00094         ,         , 0.25            ,OVER_TOL , -0.0098         ,         , 0.99            ,OVER_TOL
Basic_MULADDSUB           , -0.034          ,         , -0.16           ,         , 0.026           ,         , 0.86            ,OVER_TOL
Basic_NESTED_INIT         , 0.0046          ,         , 0.0055          ,         , -0.07           ,         , 2.9             ,OVER_TOL
Basic_REDUCE3_INT         , -0.018          ,         , 3.9             ,OVER_TOL , 0.0095          ,         , 3               ,OVER_TOL
Basic_TRAP_INT            , 0.051           ,         , 0.053           ,         , -0.0056         ,         , 0.56            ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.034          ,         , -0.2            ,         , -0.14           ,         , 0.5             ,        
Col Max                   , 0.051           ,         , 3.9             ,         , 0.026           ,         , 3               ,        
Col Avg                   , -0.0061         ,         , 0.75            ,         , -0.033          ,         , 1.3             ,        
Col Std Dev               , 0.0005          ,         , 2.2             ,         , 0.0025          ,         , 0.8             ,        
