FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , 0.0016          ,         , 3.5             ,OVER_TOL , -0.19           ,         , 0.91            ,OVER_TOL
Basic_DAXPY               , -0.055          ,         , -0.037          ,         , 0.02            ,         , 0.83            ,OVER_TOL
Basic_IF_QUAD             , 0.017           ,         , -0.00038        ,         , -0.019          ,         , 0.6             ,OVER_TOL
Basic_INIT3               , -0.0084         ,         , -0.17           ,         , 0.046           ,         , 0.81            ,OVER_TOL
Basic_INIT_VIEW1D         , -0.017          ,         , 0.22            ,OVER_TOL , -0.0013         ,         , 0.83            ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.0094         ,         , 0.24            ,OVER_TOL , 0.026           ,         , 0.9             ,OVER_TOL
Basic_MULADDSUB           , -0.0068         ,         , -0.25           ,         , 0.043           ,         , 0.82            ,OVER_TOL
Basic_NESTED_INIT         , -0.0079         ,         , 0.1             ,OVER_TOL , 0.18            ,OVER_TOL , 0.97            ,OVER_TOL
Basic_REDUCE3_INT         , -0.011          ,         , 6.5             ,OVER_TOL , -0.0056         ,         , 3.2             ,OVER_TOL
Basic_TRAP_INT            , 0.048           ,         , 0.05            ,         , -0.0069         ,         , 0.6             ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.055          ,         , -0.25           ,         , -0.19           ,         , 0.6             ,        
Col Max                   , 0.048           ,         , 6.5             ,         , 0.18            ,         , 3.2             ,        
Col Avg                   , -0.0049         ,         , 1               ,         , 0.0087          ,         , 1               ,        
Col Std Dev               , 0.00061         ,         , 4.5             ,         , 0.0073          ,         , 0.53            ,        
