FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , -0.038          ,         , -0.037          ,         , -0.016          ,         , 0.014           ,        
Basic_DAXPY               , 0.0032          ,         , -0.053          ,         , 0.025           ,         , 0.013           ,        
Basic_IF_QUAD             , -0.01           ,         , -0.0045         ,         , -0.0023         ,         , 0               ,        
Basic_INIT3               , -0.0023         ,         , -0.015          ,         , 0.0046          ,         , -0.0011         ,        
Basic_INIT_VIEW1D         , -0.015          ,         , 0.018           ,         , -0.02           ,         , 0.0023          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.67           ,         , -0.66           ,         , 0.015           ,         , 0.0057          ,        
Basic_MULADDSUB           , -0.0057         ,         , -0.0057         ,         , 0.0023          ,         , 0.0091          ,        
Basic_NESTED_INIT         , -0.023          ,         , -0.014          ,         , 0.0091          ,         , 0.015           ,        
Basic_REDUCE3_INT         , 0.024           ,         , -0.011          ,         , 0.0045          ,         , 0               ,        
Basic_TRAP_INT            , -0.043          ,         , -0.052          ,         , -0.0045         ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.67           ,         , -0.66           ,         , -0.02           ,         , -0.0011         ,        
Col Max                   , 0.024           ,         , 0.018           ,         , 0.025           ,         , 0.015           ,        
Col Avg                   , -0.078          ,         , -0.084          ,         , 0.0018          ,         , 0.0057          ,        
Col Std Dev               , 0.04            ,         , 0.038           ,         , 0.00017         ,         , 3.6e-05         ,        
