FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , -0.027          ,         , 0.16            ,OVER_TOL , 0.061           ,         , 0.045           ,        
Basic_DAXPY               , -0.074          ,         , -0.016          ,         , -0.056          ,         , -0.061          ,        
Basic_IF_QUAD             , -0.0091         ,         , -0.001          ,         , 0.0071          ,         , 0.01            ,        
Basic_INIT3               , -0.05           ,         , -0.059          ,         , -0.053          ,         , -0.047          ,        
Basic_INIT_VIEW1D         , 0.066           ,         , 0.068           ,         , 0.001           ,         , 0.002           ,        
Basic_INIT_VIEW1D_OFFSET  , -0.69           ,         , -0.63           ,         , -0.047          ,         , 0.012           ,        
Basic_MULADDSUB           , -0.004          ,         , 0.058           ,         , -0.009          ,         , 0.001           ,        
Basic_NESTED_INIT         , -0.11           ,         , -0.059          ,         , 0.012           ,         , 0.001           ,        
Basic_REDUCE3_INT         , -0.13           ,         , -0.07           ,         , -0.058          ,         , -0.018          ,        
Basic_TRAP_INT            , -0.1            ,         , -0.15           ,         , -0.21           ,         , -0.21           ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.69           ,         , -0.63           ,         , -0.21           ,         , -0.21           ,        
Col Max                   , 0.066           ,         , 0.16            ,         , 0.061           ,         , 0.045           ,        
Col Avg                   , -0.11           ,         , -0.071          ,         , -0.035          ,         , -0.027          ,        
Col Std Dev               , 0.04            ,         , 0.042           ,         , 0.0046          ,         , 0.0047          ,        
