FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , -0.033          ,         , -0.033          ,         , -0.091          ,         , -0.093          ,        
Basic_DAXPY               , -0.0069         ,         , -0.0011         ,         , 0.0023          ,         , -0.0091         ,        
Basic_IF_QUAD             , -0.03           ,         , -0.019          ,         , 0.008           ,         , 0.0069          ,        
Basic_INIT3               , -0.0046         ,         , 0.013           ,         , -0.0058         ,         , -0.0012         ,        
Basic_INIT_VIEW1D         , -0.032          ,         , -0.0077         ,         , -0.008          ,         , -0.014          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.64           ,         , -0.64           ,         , 0.014           ,         , 0.008           ,        
Basic_MULADDSUB           , 0.0023          ,         , 0               ,         , 0.0058          ,         , 0.0023          ,        
Basic_NESTED_INIT         , -0.097          ,         , -0.081          ,         , 0.015           ,         , 0.014           ,        
Basic_REDUCE3_INT         , 0.032           ,         , 0.0046          ,         , -0.0034         ,         , -0.023          ,        
Basic_TRAP_INT            , -0.008          ,         , -0.0023         ,         , 0.014           ,         , 0.0023          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.64           ,         , -0.64           ,         , -0.091          ,         , -0.093          ,        
Col Max                   , 0.032           ,         , 0.013           ,         , 0.015           ,         , 0.014           ,        
Col Avg                   , -0.082          ,         , -0.077          ,         , -0.0049         ,         , -0.011          ,        
Col Std Dev               , 0.036           ,         , 0.036           ,         , 0.00088         ,         , 0.00086         ,        
