FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , -0.00074        ,         , 3.5             ,OVER_TOL , 0.15            ,OVER_TOL , 2.3             ,OVER_TOL
Basic_DAXPY               , -0.058          ,         , -0.05           ,         , -0.0071         ,         , 0.92            ,OVER_TOL
Basic_IF_QUAD             , -0.011          ,         , 0.01            ,         , 0.0087          ,         , 0.65            ,OVER_TOL
Basic_INIT3               , -0.026          ,         , -0.19           ,         , -0.038          ,         , 0.83            ,OVER_TOL
Basic_INIT_VIEW1D         , -0.0093         ,         , 0.29            ,OVER_TOL , -0.024          ,         , 0.98            ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.041          ,         , 0.37            ,OVER_TOL , -0.039          ,         , 1               ,OVER_TOL
Basic_MULADDSUB           , -0.015          ,         , -0.26           ,         , 0.032           ,         , 0.8             ,OVER_TOL
Basic_NESTED_INIT         , 0.0025          ,         , 0.092           ,         , -0.04           ,         , 0.36            ,OVER_TOL
Basic_REDUCE3_INT         , -0.015          ,         , 6.7             ,OVER_TOL , -0.0058         ,         , 1.1             ,OVER_TOL
Basic_TRAP_INT            , 0.029           ,         , 0.026           ,         , -0.0029         ,         , 0.49            ,OVER_TOL
Stream_ADD                , -0.017          ,         , -0.021          ,         , -0.015          ,         , 0.75            ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.058          ,         , -0.26           ,         , -0.04           ,         , 0.36            ,        
Col Max                   , 0.029           ,         , 6.7             ,         , 0.15            ,         , 2.3             ,        
Col Avg                   , -0.015          ,         , 0.95            ,         , 0.0013          ,         , 0.92            ,        
Col Std Dev               , 0.00047         ,         , 4.4             ,         , 0.0025          ,         , 0.22            ,        
