FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , 0.0015          ,         , 3.5             ,OVER_TOL , -0.095          ,         , 1.4             ,OVER_TOL
Basic_DAXPY               , -0.016          ,         , -0.014          ,         , -0.012          ,         , 0.79            ,OVER_TOL
Basic_IF_QUAD             , 0.011           ,         , -0.0048         ,         , -0.007          ,         , 0.64            ,OVER_TOL
Basic_INIT3               , -0.023          ,         , -0.2            ,         , 0.011           ,         , 0.71            ,OVER_TOL
Basic_INIT_VIEW1D         , 0.0037          ,         , 0.25            ,OVER_TOL , 0.023           ,         , 0.73            ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , 0.0014          ,         , 0.25            ,OVER_TOL , -0.074          ,         , 0.7             ,OVER_TOL
Basic_MULADDSUB           , -0.0045         ,         , -0.26           ,         , 0.23            ,OVER_TOL , 1.2             ,OVER_TOL
Basic_NESTED_INIT         , -0.0064         ,         , 0.045           ,         , -0.011          ,         , 1.4             ,OVER_TOL
Basic_REDUCE3_INT         , -0.0052         ,         , 6.4             ,OVER_TOL , -0.02           ,         , 3.1             ,OVER_TOL
Basic_TRAP_INT            , 0.049           ,         , 0.054           ,         , 0.0028          ,         , 0.58            ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.023          ,         , -0.26           ,         , -0.095          ,         , 0.58            ,        
Col Max                   , 0.049           ,         , 6.4             ,         , 0.23            ,         , 3.1             ,        
Col Avg                   , 0.0011          ,         , 1               ,         , 0.0045          ,         , 1.1             ,        
Col Std Dev               , 0.00034         ,         , 4.4             ,         , 0.0067          ,         , 0.53            ,        
