FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Apps_DEL_DOT_VEC_2D       , -0.15           ,         , -0.15           ,         , 0.029           ,         , -0.047          ,        
Apps_ENERGY               , -0.014          ,         , 0.073           ,         , -0.023          ,         , 0.034           ,        
Apps_FIR                  , -0.28           ,         , -0.28           ,         , -0.047          ,         , 0.24            ,OVER_TOL
Apps_HALOEXCHANGE         , -0.0028         ,         , 0.014           ,         , 0.045           ,         , 0.97            ,OVER_TOL
Apps_LTIMES               , -0.24           ,         , 3.9             ,OVER_TOL , 0.035           ,         , 4.5             ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.25           ,         , 0.036           ,         , 0.041           ,         , 8.9             ,OVER_TOL
Apps_PRESSURE             , -0.0096         ,         , 0.006           ,         , 0.01            ,         , 0.99            ,OVER_TOL
Apps_VOL3D                , -0.045          ,         , -0.059          ,         , -0.29           ,         , -0.22           ,        
Basic_DAXPY               , -0.018          ,         , -0.018          ,         , -0.014          ,         , 0.91            ,OVER_TOL
Basic_IF_QUAD             , -0.031          ,         , -0.028          ,         , 0.014           ,         , 0.29            ,OVER_TOL
Basic_INIT3               , -0.035          ,         , -0.16           ,         , 0.0018          ,         , 0.51            ,OVER_TOL
Basic_INIT_VIEW1D         , -0.0087         ,         , -0.0079         ,         , -0.0096         ,         , 2.1             ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.19           ,         , 0.068           ,         , -0.11           ,         , 1.3             ,OVER_TOL
Basic_MULADDSUB           , -0.075          ,         , -0.19           ,         , 0.15            ,OVER_TOL , 0.26            ,OVER_TOL
Basic_NESTED_INIT         , -0.019          ,         , 0.021           ,         , -0.018          ,         , 2.7             ,OVER_TOL
Basic_PI_ATOMIC           , 0.00022         ,         , 3.2             ,OVER_TOL , 0.16            ,OVER_TOL , 1.5             ,OVER_TOL
Basic_REDUCE3_INT         , 0.00031         ,         , 7.2             ,OVER_TOL , -0.054          ,         , 15              ,OVER_TOL
Basic_TRAP_INT            , -0.0022         ,         , 0.059           ,         , -0.075          ,         , 1.5             ,OVER_TOL
Lcals_DIFF_PREDICT        , -0.0084         ,         , -0.09           ,         , 0.11            ,OVER_TOL , 0.16            ,OVER_TOL
Lcals_EOS                 , -0.011          ,         , -0.018          ,         , -0.69           ,         , -0.19           ,        
Lcals_FIRST_DIFF          , -0.0035         ,         , -0.0031         ,         , 0.0059          ,         , 0.37            ,OVER_TOL
Lcals_FIRST_MIN           , -0.0063         ,         , 3               ,OVER_TOL , -0.0046         ,         , 2.8             ,OVER_TOL
Lcals_FIRST_SUM           , -0.0047         ,         , -0.0047         ,         , 0.031           ,         , 0.41            ,OVER_TOL
Lcals_GEN_LIN_RECUR       , -0.015          ,         , -0.0015         ,         , 0.008           ,         , 0.032           ,        
Lcals_HYDRO_1D            , -0.0095         ,         , -0.0096         ,         , 0.0083          ,         , 0.97            ,OVER_TOL
Lcals_HYDRO_2D            , -0.02           ,         , 0.073           ,         , 0.013           ,         , 0.33            ,OVER_TOL
Lcals_INT_PREDICT         , -0.0047         ,         , 0.034           ,         , 0.15            ,OVER_TOL , 0.15            ,OVER_TOL
Lcals_PLANCKIAN           , -0.18           ,         , -0.18           ,         , 0.066           ,         , 0.15            ,OVER_TOL
Lcals_TRIDIAG_ELIM        , -0.0091         ,         , -0.0072         ,         , 0.15            ,OVER_TOL , 0.31            ,OVER_TOL
Stream_ADD                , -0.036          ,         , -0.012          ,         , -0.0067         ,         , 0.3             ,OVER_TOL
Stream_COPY               , -0.0053         ,         , -0.0053         ,         , -0.12           ,         , 0.21            ,OVER_TOL
Stream_DOT                , -0.003          ,         , 1.2             ,OVER_TOL , -0.012          ,         , 5.5             ,OVER_TOL
Stream_MUL                , -0.0035         ,         , -0.0033         ,         , -0.0046         ,         , 0.87            ,OVER_TOL
Stream_TRIAD              , -0.019          ,         , -0.0063         ,         , 0.0098          ,         , 0.94            ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.28           ,         , -0.28           ,         , -0.69           ,         , -0.22           ,        
Col Max                   , 0.00031         ,         , 7.2             ,         , 0.16            ,         , 15              ,        
Col Avg                   , -0.05           ,         , 0.52            ,         , -0.014          ,         , 1.6             ,        
Col Std Dev               , 0.0064          ,         , 2.3             ,         , 0.021           ,         , 8.4             ,        
