FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , -0.18           ,         , 0.2             ,OVER_TOL , -0.13           ,         , 0.058           ,        
Basic_DAXPY               , 0.079           ,         , 0.11            ,OVER_TOL , 0               ,         , 0.023           ,        
Basic_IF_QUAD             , 0.037           ,         , 0.025           ,         , -0.11           ,         , -0.12           ,        
Basic_INIT3               , -0.31           ,         , -0.35           ,         , -0.025          ,         , 0.019           ,        
Basic_INIT_VIEW1D         , -0.061          ,         , 0.48            ,OVER_TOL , -0.06           ,         , 0.03            ,        
Basic_INIT_VIEW1D_OFFSET  , -0.85           ,         , -0.56           ,         , 0.1             ,OVER_TOL , 0.063           ,        
Basic_MULADDSUB           , 0.038           ,         , 0.025           ,         , 0.025           ,         , 0.043           ,        
Basic_NESTED_INIT         , -0.02           ,         , 0.11            ,OVER_TOL , 0.052           ,         , 0.013           ,        
Basic_REDUCE3_INT         , -0.36           ,         , -0.37           ,         , 0               ,         , 0.16            ,OVER_TOL
Basic_TRAP_INT            , 0.012           ,         , -0.036          ,         , 0.1             ,OVER_TOL , -0.036          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.85           ,         , -0.56           ,         , -0.13           ,         , -0.12           ,        
Col Max                   , 0.079           ,         , 0.48            ,         , 0.1             ,         , 0.16            ,        
Col Avg                   , -0.16           ,         , -0.036          ,         , -0.0047         ,         , 0.025           ,        
Col Std Dev               , 0.074           ,         , 0.086           ,         , 0.0056          ,         , 0.0044          ,        
