FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , -0.14           ,         , -0.026          ,         , 0.0061          ,         , 0.0072          ,        
Basic_DAXPY               , -0.063          ,         , -0.077          ,         , -0.016          ,         , -0.023          ,        
Basic_IF_QUAD             , -0.067          ,         , -0.069          ,         , 0.011           ,         , -0.053          ,        
Basic_INIT3               , -0.001          ,         , -0.003          ,         , -0.002          ,         , -0.005          ,        
Basic_INIT_VIEW1D         , 0.075           ,         , 0.0051          ,         , 0.028           ,         , -0.044          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.7            ,         , -0.64           ,         , -0.0057         ,         , 0.0086          ,        
Basic_MULADDSUB           , 0.0039          ,         , -0.029          ,         , 0.003           ,         , 0.0081          ,        
Basic_NESTED_INIT         , -0.17           ,         , -0.13           ,         , 0.069           ,         , 0.0091          ,        
Basic_REDUCE3_INT         , -0.11           ,         , -0.08           ,         , -0.17           ,         , -0.17           ,        
Basic_TRAP_INT            , -0.005          ,         , 0.005           ,         , 0.014           ,         , 0.0081          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.7            ,         , -0.64           ,         , -0.17           ,         , -0.17           ,        
Col Max                   , 0.075           ,         , 0.0051          ,         , 0.069           ,         , 0.0091          ,        
Col Avg                   , -0.12           ,         , -0.1            ,         , -0.0061         ,         , -0.026          ,        
Col Std Dev               , 0.042           ,         , 0.034           ,         , 0.0034          ,         , 0.0029          ,        
