FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Apps_DEL_DOT_VEC_2D       , -0.15           ,         , -0.15           ,         , -0.009          ,         , 0.17            ,OVER_TOL
Apps_ENERGY               , 0.0019          ,         , 0.08            ,         , -0.25           ,         , -0.43           ,        
Apps_FIR                  , -0.27           ,         , -0.27           ,         , -0.031          ,         , 0.59            ,OVER_TOL
Apps_HALOEXCHANGE         , -0.00047        ,         , 0.015           ,         , -0.2            ,         , 0.42            ,OVER_TOL
Apps_LTIMES               , -0.24           ,         , 3.8             ,OVER_TOL , -0.4            ,         , 2.6             ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.24           ,         , 0.036           ,         , 0.055           ,         , 8.8             ,OVER_TOL
Apps_PRESSURE             , -0.0051         ,         , -0.041          ,         , 0.006           ,         , 0.39            ,OVER_TOL
Apps_VOL3D                , -0.021          ,         , -0.035          ,         , -0.27           ,         , -0.096          ,        
Basic_DAXPY               , -0.013          ,         , -0.013          ,         , -0.0069         ,         , 0.89            ,OVER_TOL
Basic_IF_QUAD             , -0.031          ,         , -0.025          ,         , 0.029           ,         , 0.15            ,OVER_TOL
Basic_INIT3               , -0.021          ,         , -0.15           ,         , 0.12            ,OVER_TOL , 0.021           ,        
Basic_INIT_VIEW1D         , -0.043          ,         , -0.046          ,         , 0.55            ,OVER_TOL , 2               ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.094          ,         , 0.19            ,OVER_TOL , 0.32            ,OVER_TOL , 1.9             ,OVER_TOL
Basic_MULADDSUB           , -0.065          ,         , -0.2            ,         , 0.00083         ,         , 0.66            ,OVER_TOL
Basic_NESTED_INIT         , -0.075          ,         , -0.032          ,         , 0.54            ,OVER_TOL , 4.4             ,OVER_TOL
Basic_PI_ATOMIC           , 0.077           ,         , 1.3             ,OVER_TOL , -0.065          ,         , 1.6             ,OVER_TOL
Basic_REDUCE3_INT         , 0.016           ,         , 7               ,OVER_TOL , -0.038          ,         , 3.6             ,OVER_TOL
Basic_TRAP_INT            , -0.00098        ,         , 0.048           ,         , -0.043          ,         , 0.65            ,OVER_TOL
Lcals_DIFF_PREDICT        , 0.0015          ,         , -0.091          ,         , -0.0037         ,         , 0.21            ,OVER_TOL
Lcals_EOS                 , -0.00051        ,         , 0.0043          ,         , 0.0039          ,         , 1.5             ,OVER_TOL
Lcals_FIRST_DIFF          , -0.0035         ,         , -0.0031         ,         , -0.0012         ,         , 0.34            ,OVER_TOL
Lcals_FIRST_MIN           , -0.0025         ,         , 2.8             ,OVER_TOL , -0.15           ,         , 2.6             ,OVER_TOL
Lcals_FIRST_SUM           , -0.0073         ,         , -0.0073         ,         , 0.01            ,         , 0.35            ,OVER_TOL
Lcals_GEN_LIN_RECUR       , -0.029          ,         , -0.015          ,         , -0.0075         ,         , 0.02            ,        
Lcals_HYDRO_1D            , -0.011          ,         , -0.0099         ,         , 0.00061         ,         , 1               ,OVER_TOL
Lcals_HYDRO_2D            , -0.014          ,         , 0.071           ,         , 0.0011          ,         , 0.33            ,OVER_TOL
Lcals_INT_PREDICT         , -0.00017        ,         , 0.037           ,         , 0.068           ,         , 0.067           ,        
Lcals_PLANCKIAN           , -0.16           ,         , -0.16           ,         , 0.01            ,         , 0.16            ,OVER_TOL
Lcals_TRIDIAG_ELIM        , -0.0082         ,         , -0.0053         ,         , 0.0062          ,         , 0.23            ,OVER_TOL
Stream_ADD                , -0.0055         ,         , -0.0059         ,         , -0.0068         ,         , 0.25            ,OVER_TOL
Stream_COPY               , -0.0054         ,         , -0.00058        ,         , -0.27           ,         , -0.062          ,        
Stream_DOT                , -0.0046         ,         , 1.3             ,OVER_TOL , 0.026           ,         , 5.6             ,OVER_TOL
Stream_MUL                , -0.0036         ,         , -0.0036         ,         , 0.0028          ,         , 0.94            ,OVER_TOL
Stream_TRIAD              , -0.02           ,         , -0.011          ,         , 0.01            ,         , 1.1             ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.27           ,         , -0.27           ,         , -0.4            ,         , -0.43           ,        
Col Max                   , 0.077           ,         , 7               ,         , 0.55            ,         , 8.8             ,        
Col Avg                   , -0.043          ,         , 0.45            ,         , 0.00047         ,         , 1.3             ,        
Col Std Dev               , 0.0061          ,         , 2               ,         , 0.034           ,         , 3.5             ,        
