FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Apps_DEL_DOT_VEC_2D       , -0.074          ,         , -0.074          ,         , -0.0047         ,         , 0.36            ,OVER_TOL
Apps_ENERGY               , 0.016           ,         , 0.086           ,         , -0.11           ,         , -0.087          ,        
Apps_FIR                  , -0.27           ,         , -0.27           ,         , -0.24           ,         , -0.091          ,        
Apps_HALOEXCHANGE         , 0.0017          ,         , 7.9e-05         ,         , -0.38           ,         , 0.57            ,OVER_TOL
Apps_LTIMES               , -0.23           ,         , 3.9             ,OVER_TOL , 0.015           ,         , 4.6             ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.25           ,         , 0.046           ,         , 0.014           ,         , 7.4             ,OVER_TOL
Apps_PRESSURE             , -0.0098         ,         , -0.0075         ,         , 0.42            ,OVER_TOL , 0.68            ,OVER_TOL
Apps_VOL3D                , -0.018          ,         , -0.032          ,         , -0.026          ,         , 0.083           ,        
Basic_DAXPY               , -0.016          ,         , -0.018          ,         , 0.0033          ,         , 0.9             ,OVER_TOL
Basic_IF_QUAD             , -0.022          ,         , -0.018          ,         , 0.052           ,         , 0.18            ,OVER_TOL
Basic_INIT3               , -0.017          ,         , -0.14           ,         , -0.0019         ,         , 0.4             ,OVER_TOL
Basic_INIT_VIEW1D         , -0.0032         ,         , -0.0024         ,         , -0.15           ,         , 1.2             ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.00087        ,         , 0.26            ,OVER_TOL , -0.0079         ,         , 1.5             ,OVER_TOL
Basic_MULADDSUB           , -0.053          ,         , -0.16           ,         , 0.0078          ,         , 0.37            ,OVER_TOL
Basic_NESTED_INIT         , -0.0017         ,         , 0.051           ,         , -0.012          ,         , 2               ,OVER_TOL
Basic_PI_ATOMIC           , 0.00026         ,         , 3.2             ,OVER_TOL , -0.046          ,         , 1.2             ,OVER_TOL
Basic_REDUCE3_INT         , -0.011          ,         , 7.1             ,OVER_TOL , -0.0057         ,         , 3.1             ,OVER_TOL
Basic_TRAP_INT            , -0.00024        ,         , 0.077           ,         , 0.067           ,         , 0.71            ,OVER_TOL
Lcals_DIFF_PREDICT        , 0.0069          ,         , -0.1            ,         , 0.053           ,         , 0.27            ,OVER_TOL
Lcals_EOS                 , -0.031          ,         , -0.035          ,         , 0.0023          ,         , 1.2             ,OVER_TOL
Lcals_FIRST_DIFF          , -0.0029         ,         , -0.0033         ,         , 0.0035          ,         , 0.86            ,OVER_TOL
Lcals_FIRST_MIN           , -0.00096        ,         , 3               ,OVER_TOL , -0.053          ,         , 0.55            ,OVER_TOL
Lcals_FIRST_SUM           , -0.0047         ,         , -0.0051         ,         , -0.019          ,         , 0.79            ,OVER_TOL
Lcals_GEN_LIN_RECUR       , -0.0094         ,         , -0.00072        ,         , -0.015          ,         , 0.63            ,OVER_TOL
Lcals_HYDRO_1D            , 0.0039          ,         , -0.0055         ,         , 0.01            ,         , 0.86            ,OVER_TOL
Lcals_HYDRO_2D            , -0.015          ,         , 0.074           ,         , 0.0004          ,         , 0.45            ,OVER_TOL
Lcals_INT_PREDICT         , 0.00075         ,         , 0.036           ,         , 0.024           ,         , 0.36            ,OVER_TOL
Lcals_PLANCKIAN           , -0.14           ,         , -0.13           ,         , 0.045           ,         , 0.19            ,OVER_TOL
Lcals_TRIDIAG_ELIM        , -0.0045         ,         , -0.0059         ,         , -0.0023         ,         , 0.78            ,OVER_TOL
Stream_ADD                , -0.0069         ,         , -0.004          ,         , -0.0094         ,         , 0.77            ,OVER_TOL
Stream_COPY               , -0.0043         ,         , 0.0022          ,         , -0.06           ,         , 0.69            ,OVER_TOL
Stream_DOT                , -0.0079         ,         , 1.2             ,OVER_TOL , 0.021           ,         , 1.1             ,OVER_TOL
Stream_MUL                , -0.0043         ,         , -0.0057         ,         , -0.0018         ,         , 0.93            ,OVER_TOL
Stream_TRIAD              , -0.0062         ,         , -0.0079         ,         , 0.017           ,         , 0.9             ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.27           ,         , -0.27           ,         , -0.38           ,         , -0.091          ,        
Col Max                   , 0.016           ,         , 7.1             ,         , 0.42            ,         , 7.4             ,        
Col Avg                   , -0.035          ,         , 0.53            ,         , -0.011          ,         , 1.1             ,        
Col Std Dev               , 0.0051          ,         , 2.3             ,         , 0.013           ,         , 2               ,        
