FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Apps_DEL_DOT_VEC_2D       , -0.15           ,         , -0.15           ,         , -0.031          ,         , 0.12            ,OVER_TOL
Apps_ENERGY               , -0.014          ,         , 0.073           ,         , -0.011          ,         , 0.05            ,        
Apps_FIR                  , -0.26           ,         , -0.26           ,         , -0.038          ,         , 0.15            ,OVER_TOL
Apps_HALOEXCHANGE         , 0.011           ,         , 0.012           ,         , 0.02            ,         , 0.95            ,OVER_TOL
Apps_LTIMES               , -0.24           ,         , 3.9             ,OVER_TOL , 0.009           ,         , 4.6             ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.25           ,         , 0.039           ,         , 0.068           ,         , 10              ,OVER_TOL
Apps_PRESSURE             , -0.016          ,         , -0.013          ,         , -0.022          ,         , 1.7             ,OVER_TOL
Apps_VOL3D                , -0.021          ,         , -0.034          ,         , -0.46           ,         , -0.4            ,        
Basic_DAXPY               , -0.02           ,         , -0.02           ,         , -0.00066        ,         , 1.2             ,OVER_TOL
Basic_IF_QUAD             , -0.037          ,         , -0.042          ,         , 0.039           ,         , 0.047           ,        
Basic_INIT3               , -0.011          ,         , -0.17           ,         , -0.0019         ,         , 0.45            ,OVER_TOL
Basic_INIT_VIEW1D         , -0.0073         ,         , -0.0071         ,         , 0.0028          ,         , 1.6             ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.0088         ,         , 0.24            ,OVER_TOL , 0.033           ,         , 1.5             ,OVER_TOL
Basic_MULADDSUB           , -0.044          ,         , -0.15           ,         , 0.024           ,         , 0.35            ,OVER_TOL
Basic_NESTED_INIT         , -0.017          ,         , 0.021           ,         , -0.36           ,         , 0.94            ,OVER_TOL
Basic_PI_ATOMIC           , 0.00016         ,         , 3.2             ,OVER_TOL , -0.15           ,         , 1.3             ,OVER_TOL
Basic_REDUCE3_INT         , 0.011           ,         , 7               ,OVER_TOL , -0.26           ,         , 9.9             ,OVER_TOL
Basic_TRAP_INT            , -8.5e-05        ,         , 0.074           ,         , -0.065          ,         , 1.5             ,OVER_TOL
Lcals_DIFF_PREDICT        , -0.0085         ,         , -0.091          ,         , -0.26           ,         , -0.0026         ,        
Lcals_EOS                 , -0.1            ,         , -0.11           ,         , 0.34            ,OVER_TOL , 1.7             ,OVER_TOL
Lcals_FIRST_DIFF          , -0.0034         ,         , -0.0031         ,         , 0.0065          ,         , 0.39            ,OVER_TOL
Lcals_FIRST_MIN           , -0.0027         ,         , 2.8             ,OVER_TOL , -0.12           ,         , 1.2             ,OVER_TOL
Lcals_FIRST_SUM           , -0.0036         ,         , -0.0034         ,         , -0.00088        ,         , 0.36            ,OVER_TOL
Lcals_GEN_LIN_RECUR       , -0.022          ,         , -0.0015         ,         , -0.088          ,         , 0.00063         ,        
Lcals_HYDRO_1D            , -0.0067         ,         , -0.0056         ,         , -0.013          ,         , 1.1             ,OVER_TOL
Lcals_HYDRO_2D            , -0.016          ,         , 0.061           ,         , -0.032          ,         , 0.32            ,OVER_TOL
Lcals_INT_PREDICT         , -0.0061         ,         , 0.04            ,         , -0.091          ,         , 0.048           ,        
Lcals_PLANCKIAN           , -0.18           ,         , -0.18           ,         , -0.03           ,         , 0.15            ,OVER_TOL
Lcals_TRIDIAG_ELIM        , 0.004           ,         , -0.0049         ,         , -0.016          ,         , 0.35            ,OVER_TOL
Stream_ADD                , -0.027          ,         , -0.015          ,         , -0.003          ,         , 0.3             ,OVER_TOL
Stream_COPY               , -0.0056         ,         , -0.0024         ,         , -0.27           ,         , -0.02           ,        
Stream_DOT                , -0.01           ,         , 1.2             ,OVER_TOL , 0.0087          ,         , 5.4             ,OVER_TOL
Stream_MUL                , -0.0068         ,         , -0.0074         ,         , -0.074          ,         , 0.83            ,OVER_TOL
Stream_TRIAD              , -0.014          ,         , -0.024          ,         , 0.023           ,         , 1.1             ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.26           ,         , -0.26           ,         , -0.46           ,         , -0.4            ,        
Col Max                   , 0.011           ,         , 7               ,         , 0.34            ,         , 10              ,        
Col Avg                   , -0.044          ,         , 0.51            ,         , -0.054          ,         , 1.5             ,        
Col Std Dev               , 0.0057          ,         , 2.2             ,         , 0.019           ,         , 6               ,        
