Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_OpenMP , Lambda_OpenMP , RAJA_OpenMP , Kokkos_Lambda , Kokkos_Functor
Basic_ATOMIC_PI           , 0.024861 ,   0.024824 , 0.111243 ,    5.447295 ,      4.762037 ,   22.207904 ,      7.807077 ,        Not run
Basic_DAXPY               , 0.298303 ,   0.280256 , 0.280536 ,    0.122268 ,      0.036253 ,    0.063271 ,      0.041496 ,        Not run
Basic_IF_QUAD             , 1.445115 ,   1.405549 , 1.624857 ,    0.035752 ,      0.035321 ,    0.041329 ,      0.033891 ,        Not run
Basic_INIT3               , 1.030865 ,   1.013257 , 0.831198 ,    0.056842 ,      0.054152 ,    0.076723 ,      0.058004 ,        Not run
Basic_INIT_VIEW1D         , 0.901627 ,   0.897990 , 1.127801 ,    0.041359 ,      0.055833 ,    0.107392 ,      0.042509 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 0.898409 ,   0.889907 , 1.126613 ,    0.040316 ,      0.040489 ,    0.116729 ,      0.042737 ,        Not run
Basic_MULADDSUB           , 0.730991 ,   0.698889 , 0.606460 ,    0.040541 ,      0.040856 ,    0.055593 ,      0.040756 ,        Not run
Basic_NESTED_INIT         , 0.865463 ,   0.856699 , 0.943512 ,    0.042463 ,      0.046983 ,    0.071731 ,      0.025907 ,        Not run
Basic_REDUCE3_INT         , 0.016973 ,   0.017741 , 0.126326 ,    0.001373 ,      0.001423 ,    0.023234 ,      0.004027 ,        Not run
Basic_TRAP_INT            , 0.380539 ,   0.396173 , 0.393773 ,    0.033062 ,      0.037862 ,    0.161931 ,      0.028135 ,        Not run
Stream_ADD                , 1.033589 ,   1.026851 , 1.059743 ,    0.013463 ,      0.013554 ,    0.017579 ,      0.013372 ,        Not run
Stream_COPY               , 1.225276 ,   1.260304 , 1.218269 ,    0.024770 ,      0.022407 ,    0.029742 ,      0.028180 ,        Not run
Stream_DOT                , 1.374423 ,   1.365442 , 2.916770 ,    0.041070 ,      0.033171 ,    0.198204 ,      0.027922 ,        Not run
Stream_MUL                , 1.255592 ,   1.279149 , 1.244994 ,    0.019477 ,      0.019821 ,    0.027859 ,      0.020478 ,        Not run
Stream_TRIAD              , 1.100882 ,   1.077190 , 1.097351 ,    0.012462 ,      0.012513 ,    0.016852 ,      0.024859 ,        Not run
