Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_OpenMP , Lambda_OpenMP , RAJA_OpenMP , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 1.083302 ,   0.947473 , 0.946549 ,    0.043932 ,      0.049658 ,    0.063766 ,       Not run ,        Not run
Apps_ENERGY               , 1.513225 ,   1.489920 , 1.631829 ,    0.071005 ,      0.071412 ,    0.075184 ,       Not run ,        Not run
Apps_FIR                  , 0.867312 ,   0.627389 , 0.626921 ,    0.056977 ,      0.054058 ,    0.067903 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.037035 ,   0.037027 , 0.037544 ,    0.402176 ,      0.323993 ,    0.640915 ,       Not run ,        Not run
Apps_LTIMES               , 0.296780 ,   0.225883 , 1.441154 ,    0.011223 ,      0.011696 ,    0.068310 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 0.303440 ,   0.226554 , 0.312694 ,    0.012545 ,      0.012746 ,    0.110498 ,       Not run ,        Not run
Apps_PRESSURE             , 1.598913 ,   1.574114 , 1.562675 ,    0.055146 ,      0.055182 ,    0.105010 ,       Not run ,        Not run
Apps_VOL3D                , 1.602247 ,   1.567014 , 1.546266 ,    0.066099 ,      0.065873 ,    0.075095 ,       Not run ,        Not run
Basic_DAXPY               , 0.333954 ,   0.325788 , 0.325506 ,    0.028721 ,      0.028512 ,    0.054120 ,      0.039650 ,        Not run
Basic_IF_QUAD             , 1.472290 ,   1.417039 , 1.425160 ,    0.048232 ,      0.050578 ,    0.052507 ,      0.052146 ,        Not run
Basic_INIT3               , 1.226420 ,   1.200289 , 1.018338 ,    0.050259 ,      0.050131 ,    0.072047 ,      0.052329 ,        Not run
Basic_INIT_VIEW1D         , 0.870112 ,   0.862240 , 0.862439 ,    0.173777 ,      0.130415 ,    0.305439 ,      0.143849 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 0.870021 ,   0.862651 , 1.124809 ,    0.152359 ,      0.145785 ,    0.306153 ,      0.142575 ,        Not run
Basic_MULADDSUB           , 0.882009 ,   0.838646 , 0.741532 ,    0.037310 ,      0.037701 ,    0.051582 ,      0.039003 ,        Not run
Basic_NESTED_INIT         , 0.355236 ,   0.347761 , 0.362695 ,    0.053235 ,      0.053197 ,    0.148040 ,      0.063736 ,        Not run
Basic_PI_ATOMIC           , 0.041369 ,   0.041413 , 0.175743 ,    9.702520 ,      9.109079 ,   18.376740 ,      7.276412 ,        Not run
Basic_REDUCE3_INT         , 0.008359 ,   0.008387 , 0.067638 ,    0.004353 ,      0.004287 ,    0.021287 ,      0.004938 ,        Not run
Basic_TRAP_INT            , 0.092874 ,   0.092617 , 0.099371 ,    0.007879 ,      0.007781 ,    0.013077 ,      0.005795 ,        Not run
Lcals_DIFF_PREDICT        , 1.551490 ,   1.547632 , 1.399700 ,    0.066228 ,      0.072748 ,    0.082121 ,      0.058815 ,        Not run
Lcals_EOS                 , 0.740747 ,   0.697749 , 0.696256 ,    0.036298 ,      0.036188 ,    0.078564 ,      0.068483 ,        Not run
Lcals_FIRST_DIFF          , 1.300251 ,   1.295627 , 1.295599 ,    0.111942 ,      0.108005 ,    0.207402 ,      0.120028 ,        Not run
Lcals_FIRST_MIN           , 0.037332 ,   0.037073 , 0.149121 ,    0.012245 ,      0.011674 ,    0.019819 ,      0.007303 ,        Not run
Lcals_FIRST_SUM           , 1.299608 ,   1.294340 , 1.294207 ,    0.111919 ,      0.108567 ,    0.197087 ,      0.119076 ,        Not run
Lcals_GEN_LIN_RECUR       , 1.644871 ,   1.624490 , 1.632979 ,    0.297815 ,      0.296093 ,    0.508061 ,      0.339603 ,        Not run
Lcals_HYDRO_1D            , 0.999715 ,   0.985166 , 0.987421 ,    0.059190 ,      0.059064 ,    0.109526 ,      0.064698 ,        Not run
Lcals_HYDRO_2D            , 1.205410 ,   1.192525 , 1.287438 ,    0.052794 ,      0.052649 ,    0.080370 ,      0.088413 ,        Not run
Lcals_INT_PREDICT         , 2.086827 ,   2.090908 , 2.175440 ,    0.092416 ,      0.095196 ,    0.136008 ,      0.102422 ,        Not run
Lcals_PLANCKIAN           , 0.431081 ,   0.352298 , 0.352790 ,    0.016830 ,      0.017130 ,    0.019983 ,      0.017711 ,        Not run
Lcals_TRIDIAG_ELIM        , 1.522610 ,   1.524189 , 1.517290 ,    0.064776 ,      0.060698 ,    0.107569 ,      0.066975 ,        Not run
Stream_ADD                , 1.064370 ,   1.108840 , 1.046940 ,    0.056813 ,      0.056176 ,    0.100558 ,      0.061707 ,        Not run
Stream_COPY               , 1.271801 ,   1.266864 , 1.256241 ,    0.093780 ,      0.094988 ,    0.159660 ,      0.106529 ,        Not run
Stream_DOT                , 1.351509 ,   1.341849 , 2.917755 ,    0.195938 ,      0.197051 ,    0.386831 ,      0.123954 ,        Not run
Stream_MUL                , 1.186754 ,   1.181413 , 1.181009 ,    0.097129 ,      0.096004 ,    0.175142 ,      0.105179 ,        Not run
Stream_TRIAD              , 1.009807 ,   0.994513 , 1.003097 ,    0.056037 ,      0.056102 ,    0.103911 ,      0.082778 ,        Not run
