Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_OpenMP , Lambda_OpenMP , RAJA_OpenMP , Kokkos_Lambda , Kokkos_Functor
Basic_ATOMIC_PI           , 0.024203 ,   0.024249 , 0.108389 ,    7.871294 ,      7.139287 ,   15.948279 ,      7.340918 ,        Not run
Basic_DAXPY               , 0.300765 ,   0.294098 , 0.293342 ,    0.279853 ,      0.214387 ,    0.084215 ,      0.202715 ,        Not run
Basic_IF_QUAD             , 1.421754 ,   1.434189 , 1.420244 ,    0.111565 ,      0.114231 ,    0.188960 ,      0.102213 ,        Not run
Basic_INIT3               , 1.057086 ,   1.043694 , 0.853110 ,    0.259989 ,      0.258079 ,    0.449105 ,      0.266248 ,        Not run
Basic_INIT_VIEW1D         , 0.903686 ,   0.899789 , 1.124962 ,    0.293764 ,      0.304268 ,    0.515333 ,      0.279981 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 0.902189 ,   0.898599 , 1.138907 ,    0.300896 ,      0.287083 ,    0.531446 ,      0.281126 ,        Not run
Basic_MULADDSUB           , 0.800353 ,   0.794242 , 0.591996 ,    0.169041 ,      0.169285 ,    0.306046 ,      0.179509 ,        Not run
Basic_NESTED_INIT         , 0.871126 ,   0.868804 , 0.951957 ,    0.060694 ,      0.055960 ,    0.127017 ,      0.050254 ,        Not run
Basic_REDUCE3_INT         , 0.016594 ,   0.016588 , 0.126367 ,    0.008237 ,      0.008283 ,    0.033139 ,      0.008986 ,        Not run
Basic_TRAP_INT            , 0.377433 ,   0.394368 , 0.393768 ,    0.194110 ,      0.187871 ,    0.294192 ,      0.109356 ,        Not run
