FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , -0.072          ,         , 0.055           ,         , 0.058           ,         , 0.082           ,        
Basic_DAXPY               , -0.12           ,         , -0.068          ,         , -0.011          ,         , -0.014          ,        
Basic_IF_QUAD             , 0.42            ,OVER_TOL , 0.0092          ,         , -0.03           ,         , -0.0066         ,        
Basic_INIT3               , 0.0041          ,         , 0.011           ,         , -0.042          ,         , -0.016          ,        
Basic_INIT_VIEW1D         , 0.0095          ,         , 0.013           ,         , -0.0029         ,         , -0.045          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.67           ,         , -0.62           ,         , -0.00096        ,         , -0.019          ,        
Basic_MULADDSUB           , 0.0041          ,         , 0.01            ,         , -0.062          ,         , -0.0057         ,        
Basic_NESTED_INIT         , 0.064           ,         , 0.1             ,         , -0.045          ,         , -0.0085         ,        
Basic_REDUCE3_INT         , 0.14            ,OVER_TOL , 0.012           ,         , -0.07           ,         , -0.069          ,        
Basic_TRAP_INT            , 0.09            ,         , -0.039          ,         , -0.15           ,         , -0.028          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.67           ,         , -0.62           ,         , -0.15           ,         , -0.069          ,        
Col Max                   , 0.42            ,         , 0.1             ,         , 0.058           ,         , 0.082           ,        
Col Avg                   , -0.013          ,         , -0.051          ,         , -0.035          ,         , -0.013          ,        
Col Std Dev               , 0.068           ,         , 0.037           ,         , 0.0026          ,         , 0.0014          ,        
