Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_OpenMP , Lambda_OpenMP , RAJA_OpenMP , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       ,    1.000 ,      1.045 ,    1.045 ,      12.176 ,        13.048 ,       7.470 ,       Not run ,        Not run
Apps_ENERGY               ,    1.000 ,      1.067 ,    1.086 ,      13.535 ,        12.952 ,      13.630 ,       Not run ,        Not run
Apps_FIR                  ,    1.000 ,      1.061 ,    1.199 ,       7.402 ,         7.592 ,       4.397 ,       Not run ,        Not run
Apps_HALOEXCHANGE         ,    1.000 ,      0.999 ,    0.999 ,       0.116 ,         0.115 ,       0.058 ,       Not run ,        Not run
Apps_LTIMES               ,    1.000 ,      1.305 ,    0.177 ,      24.526 ,        24.344 ,       4.513 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        ,    1.000 ,      1.311 ,    0.960 ,      24.356 ,        28.755 ,       3.357 ,       Not run ,        Not run
Apps_PRESSURE             ,    1.000 ,      1.004 ,    1.004 ,       3.875 ,         3.871 ,       3.492 ,       Not run ,        Not run
Apps_VOL3D                ,    1.000 ,      1.034 ,    1.046 ,      20.821 ,        20.944 ,      16.992 ,       Not run ,        Not run
Basic_ATOMIC_PI           ,    1.000 ,      1.001 ,    0.226 ,       0.005 ,         0.005 ,       0.001 ,         0.003 ,        Not run
Basic_DAXPY               ,    1.000 ,      1.043 ,    1.042 ,       1.193 ,         1.198 ,       0.614 ,         1.153 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      1.027 ,    1.030 ,      13.072 ,        12.925 ,       7.810 ,        12.049 ,        Not run
Basic_INIT3               ,    1.000 ,      1.010 ,    1.213 ,       4.168 ,         4.196 ,       2.238 ,         3.767 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      1.008 ,    0.771 ,       3.481 ,         3.493 ,       1.787 ,         3.082 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      1.028 ,    0.736 ,       3.580 ,         3.591 ,       1.761 ,         3.222 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      1.094 ,    1.258 ,       4.430 ,         4.520 ,       2.341 ,         3.932 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      1.013 ,    0.914 ,      10.888 ,        12.128 ,       7.145 ,        23.292 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,      1.003 ,    0.131 ,       1.785 ,         1.777 ,       0.604 ,         1.579 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      0.969 ,    0.978 ,       1.935 ,         1.929 ,       1.225 ,         3.126 ,        Not run
Lcals_DIFF_PREDICT        ,    1.000 ,      1.021 ,    1.638 ,       9.445 ,         9.540 ,       5.076 ,         9.108 ,        Not run
Lcals_EOS                 ,    1.000 ,      1.007 ,    1.007 ,       2.682 ,         2.705 ,       1.406 ,         2.341 ,        Not run
Lcals_FIRST_DIFF          ,    1.000 ,      1.007 ,    1.007 ,       1.246 ,         1.248 ,       0.636 ,         1.096 ,        Not run
Lcals_FIRST_MIN           ,    1.000 ,      1.007 ,    0.254 ,       3.540 ,         3.306 ,       2.043 ,         5.122 ,        Not run
Lcals_FIRST_SUM           ,    1.000 ,      1.008 ,    1.008 ,       1.226 ,         1.259 ,       0.643 ,         1.095 ,        Not run
Lcals_GEN_LIN_RECUR       ,    1.000 ,      1.021 ,    1.020 ,       2.373 ,         2.450 ,       1.318 ,         2.141 ,        Not run
Lcals_HYDRO_1D            ,    1.000 ,      1.018 ,    1.017 ,       2.098 ,         2.106 ,       1.082 ,         1.871 ,        Not run
Lcals_HYDRO_2D            ,    1.000 ,      1.028 ,    0.650 ,      22.289 ,        22.406 ,      10.245 ,        12.686 ,        Not run
Lcals_INT_PREDICT         ,    1.000 ,      1.013 ,    0.979 ,       6.901 ,         6.957 ,       3.883 ,         5.923 ,        Not run
Lcals_PLANCKIAN           ,    1.000 ,      1.267 ,    1.268 ,      12.455 ,        12.526 ,       7.860 ,        10.983 ,        Not run
Lcals_TRIDIAG_ELIM        ,    1.000 ,      1.003 ,    1.003 ,       5.299 ,         5.315 ,       2.793 ,         4.762 ,        Not run
Stream_ADD                ,    1.000 ,      1.134 ,    1.143 ,      19.625 ,        19.574 ,      11.064 ,        18.016 ,        Not run
Stream_COPY               ,    1.000 ,      1.005 ,    1.001 ,      11.346 ,        12.022 ,       6.927 ,        10.374 ,        Not run
Stream_DOT                ,    1.000 ,      1.004 ,    0.443 ,       6.389 ,         6.469 ,       3.160 ,        10.061 ,        Not run
Stream_MUL                ,    1.000 ,      1.006 ,    1.006 ,      12.225 ,        12.308 ,       6.684 ,        11.074 ,        Not run
Stream_TRIAD              ,    1.000 ,      1.009 ,    1.004 ,      17.628 ,        17.716 ,       9.161 ,        12.012 ,        Not run
