FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , 0.00048         ,         , 3.5             ,OVER_TOL , 0.14            ,OVER_TOL , 2.2             ,OVER_TOL
Basic_DAXPY               , -0.23           ,         , -0.23           ,         , -0.012          ,         , 0.9             ,OVER_TOL
Basic_IF_QUAD             , 0.0042          ,         , 0.12            ,OVER_TOL , 0.14            ,OVER_TOL , 0.73            ,OVER_TOL
Basic_INIT3               , -0.013          ,         , -0.19           ,         , -0.14           ,         , 0.6             ,OVER_TOL
Basic_INIT_VIEW1D         , -0.0096         ,         , 0.29            ,OVER_TOL , -0.049          ,         , 0.85            ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.0084         ,         , 0.3             ,OVER_TOL , -0.029          ,         , 1               ,OVER_TOL
Basic_MULADDSUB           , -0.052          ,         , -0.29           ,         , -0.0083         ,         , 0.81            ,OVER_TOL
Basic_NESTED_INIT         , -0.0095         ,         , 0.089           ,         , -0.095          ,         , 0.53            ,OVER_TOL
Basic_REDUCE3_INT         , 0.022           ,         , 6.8             ,OVER_TOL , -0.0023         ,         , 2.8             ,OVER_TOL
Basic_TRAP_INT            , 0.031           ,         , 0.035           ,         , -0.7            ,         , 0.38            ,OVER_TOL
Stream_ADD                , -0.0075         ,         , 0.0066          ,         , -0.0058         ,         , 0.27            ,OVER_TOL
Stream_COPY               , -0.005          ,         , -0.0067         ,         , -0.043          ,         , 0.28            ,OVER_TOL
Stream_DOT                , -0.015          ,         , 1.2             ,OVER_TOL , 0.0063          ,         , 5.2             ,OVER_TOL
Stream_MUL                , -0.0014         ,         , 0.00033         ,         , -0.0011         ,         , 0.38            ,OVER_TOL
Stream_TRIAD              , -0.014          ,         , 0.038           ,         , -0.036          ,         , 0.3             ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.23           ,         , -0.29           ,         , -0.7            ,         , 0.27            ,        
Col Max                   , 0.031           ,         , 6.8             ,         , 0.14            ,         , 5.2             ,        
Col Avg                   , -0.02           ,         , 0.78            ,         , -0.056          ,         , 1.1             ,        
Col Std Dev               , 0.0034          ,         , 3.4             ,         , 0.034           ,         , 1.6             ,        
