FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Algorithm_SORT            , 0               ,         , 0.024           ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 2.5             ,OVER_TOL , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , -0.0029         ,         , 0.00061         ,         , -0.14           ,         , -0.026          ,        
Apps_ENERGY               , 0.0044          ,         , -0.043          ,         , 0.038           ,         , 0.087           ,        
Apps_FIR                  , 0.2             ,OVER_TOL , 0.2             ,OVER_TOL , 0.017           ,         , 0.19            ,OVER_TOL
Apps_HALOEXCHANGE         , 0.0036          ,         , 0.0052          ,         , 0.0038          ,         , 0.97            ,OVER_TOL
Apps_LTIMES               , -0.25           ,         , 3.7             ,OVER_TOL , 0.0085          ,         , 5.9             ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.24           ,         , 0.051           ,         , 0.038           ,         , 8.2             ,OVER_TOL
Apps_PRESSURE             , -0.018          ,         , -0.018          ,         , -0.016          ,         , 0.6             ,OVER_TOL
Apps_VOL3D                , -0.022          ,         , -0.013          ,         , -0.0002         ,         , 0.059           ,        
Basic_DAXPY               , -0.02           ,         , -0.019          ,         , -0.0059         ,         , 0.85            ,OVER_TOL
Basic_IF_QUAD             , 0.0028          ,         , -0.0086         ,         , 0.066           ,         , 0.29            ,OVER_TOL
Basic_INIT3               , -0.022          ,         , -0.17           ,         , -0.0032         ,         , 0.49            ,OVER_TOL
Basic_INIT_VIEW1D         , -0.0085         ,         , -0.0081         ,         , 0.0046          ,         , 1.1             ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.0082         ,         , 0.29            ,OVER_TOL , -0.015          ,         , 1.3             ,OVER_TOL
Basic_MULADDSUB           , -0.036          ,         , -0.16           ,         , 0.025           ,         , 0.4             ,OVER_TOL
Basic_NESTED_INIT         , -0.02           ,         , 0.021           ,         , 0.0025          ,         , 2.1             ,OVER_TOL
Basic_PI_ATOMIC           , 0.0011          ,         , 3.2             ,OVER_TOL , -0.078          ,         , 1.3             ,OVER_TOL
Basic_REDUCE3_INT         , -0.045          ,         , 6.9             ,OVER_TOL , -0.073          ,         , 24              ,OVER_TOL
Basic_TRAP_INT            , 9e-06           ,         , 0.076           ,         , -0.11           ,         , 1.5             ,OVER_TOL
Lcals_DIFF_PREDICT        , -0.00056        ,         , -0.088          ,         , 0.00075         ,         , 0.017           ,        
Lcals_EOS                 , -0.041          ,         , -0.051          ,         , 0.014           ,         , 1.6             ,OVER_TOL
Lcals_FIRST_DIFF          , -0.0045         ,         , -0.0047         ,         , -0.11           ,         , 0.22            ,OVER_TOL
Lcals_FIRST_MIN           , -0.00034        ,         , 3               ,OVER_TOL , -0.041          ,         , 2.2             ,OVER_TOL
Lcals_FIRST_SUM           , -0.0048         ,         , -0.0053         ,         , -0.12           ,         , 0.41            ,OVER_TOL
Lcals_GEN_LIN_RECUR       , -0.0096         ,         , 0.004           ,         , -0.015          ,         , 0.0097          ,        
Lcals_HYDRO_1D            , -0.013          ,         , -0.013          ,         , 0.0034          ,         , 1               ,OVER_TOL
Lcals_HYDRO_2D            , -0.041          ,         , 0.055           ,         , -0.038          ,         , 0.26            ,OVER_TOL
Lcals_INT_PREDICT         , 0.0019          ,         , 0.04            ,         , 0.0085          ,         , 0.018           ,        
Lcals_PLANCKIAN           , -0.16           ,         , -0.16           ,         , -0.03           ,         , 0.065           ,        
Lcals_TRIDIAG_ELIM        , -0.021          ,         , -0.026          ,         , -0.13           ,         , 0.07            ,        
Stream_ADD                , -0.015          ,         , -0.019          ,         , 0.0081          ,         , 0.29            ,OVER_TOL
Stream_COPY               , -0.0061         ,         , -0.0031         ,         , -0.15           ,         , 0.2             ,OVER_TOL
Stream_DOT                , -0.0064         ,         , 1.2             ,OVER_TOL , -0.0084         ,         , 5.3             ,OVER_TOL
Stream_MUL                , -0.0047         ,         , -0.0045         ,         , 0.0073          ,         , 1.1             ,OVER_TOL
Stream_TRIAD              , -0.013          ,         , -0.013          ,         , -0.0021         ,         , 1               ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.25           ,         , -0.17           ,         , -0.15           ,         , -0.026          ,        
Col Max                   , 0.2             ,         , 6.9             ,         , 0.066           ,         , inf             ,        
Col Avg                   , -0.024          ,         , 0.57            ,         , -0.025          ,         , inf             ,        
Col Std Dev               , 0.0053          ,         , 2.1             ,         , 0.003           ,         , -nan            ,        
