FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Algorithm_SORT            , 0               ,         , 0.029           ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 2.6             ,OVER_TOL , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , -0.0018         ,         , 0.0016          ,         , -0.0046         ,         , 0.16            ,OVER_TOL
Apps_ENERGY               , 0.01            ,         , -0.029          ,         , 0.037           ,         , 0.086           ,        
Apps_FIR                  , 0.23            ,OVER_TOL , 0.23            ,OVER_TOL , 0.034           ,         , 0.23            ,OVER_TOL
Apps_HALOEXCHANGE         , 0.0011          ,         , -0.0026         ,         , 0.002           ,         , 1               ,OVER_TOL
Apps_LTIMES               , -0.25           ,         , 3.7             ,OVER_TOL , 0.0082          ,         , 5.6             ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.24           ,         , 0.05            ,         , 0.043           ,         , 8.3             ,OVER_TOL
Apps_PRESSURE             , -0.025          ,         , -0.022          ,         , 0.0013          ,         , 0.59            ,OVER_TOL
Apps_VOL3D                , -0.022          ,         , -0.013          ,         , 0.0064          ,         , 0.13            ,OVER_TOL
Basic_DAXPY               , -0.016          ,         , -0.013          ,         , -0.0011         ,         , 0.92            ,OVER_TOL
Basic_IF_QUAD             , -0.026          ,         , -0.033          ,         , -0.12           ,         , -0.13           ,        
Basic_INIT3               , -0.029          ,         , -0.16           ,         , -0.01           ,         , 0.38            ,OVER_TOL
Basic_INIT_VIEW1D         , -0.005          ,         , -0.0051         ,         , -0.001          ,         , 1.2             ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.002          ,         , 0.31            ,OVER_TOL , -0.015          ,         , 1.5             ,OVER_TOL
Basic_MULADDSUB           , -0.038          ,         , -0.16           ,         , -0.002          ,         , 0.41            ,OVER_TOL
Basic_NESTED_INIT         , -0.0039         ,         , 0.063           ,         , 0.0036          ,         , 2               ,OVER_TOL
Basic_PI_ATOMIC           , 0.0027          ,         , 3.2             ,OVER_TOL , -0.03           ,         , 2               ,OVER_TOL
Basic_REDUCE3_INT         , -0.02           ,         , 7.1             ,OVER_TOL , -0.089          ,         , 18              ,OVER_TOL
Basic_TRAP_INT            , -0.0017         ,         , 0.073           ,         , -0.039          ,         , 1.6             ,OVER_TOL
Lcals_DIFF_PREDICT        , -0.013          ,         , -0.1            ,         , -0.02           ,         , -0.006          ,        
Lcals_EOS                 , -0.02           ,         , -0.023          ,         , -0.043          ,         , 1.3             ,OVER_TOL
Lcals_FIRST_DIFF          , -0.0046         ,         , -0.0044         ,         , 0.0004          ,         , 0.35            ,OVER_TOL
Lcals_FIRST_MIN           , -0.0042         ,         , 3               ,OVER_TOL , -0.089          ,         , 3.2             ,OVER_TOL
Lcals_FIRST_SUM           , -0.0041         ,         , -0.0042         ,         , 0.0022          ,         , 0.36            ,OVER_TOL
Lcals_GEN_LIN_RECUR       , -0.016          ,         , -0.015          ,         , -0.0043         ,         , 0.029           ,        
Lcals_HYDRO_1D            , -0.0096         ,         , -0.0093         ,         , -0.019          ,         , 1               ,OVER_TOL
Lcals_HYDRO_2D            , -0.041          ,         , 0.06            ,         , -0.047          ,         , 0.3             ,OVER_TOL
Lcals_INT_PREDICT         , -0.0043         ,         , 0.033           ,         , -0.0036         ,         , 0.026           ,        
Lcals_PLANCKIAN           , -0.14           ,         , -0.14           ,         , -0.048          ,         , 0.015           ,        
Lcals_TRIDIAG_ELIM        , -0.012          ,         , -0.012          ,         , 0.15            ,OVER_TOL , 0.22            ,OVER_TOL
Stream_ADD                , -0.011          ,         , -0.01           ,         , -0.034          ,         , 0.23            ,OVER_TOL
Stream_COPY               , -0.0054         ,         , 0.00096         ,         , 0.031           ,         , 0.19            ,OVER_TOL
Stream_DOT                , -0.0016         ,         , 1.2             ,OVER_TOL , -0.087          ,         , 5.1             ,OVER_TOL
Stream_MUL                , -0.0032         ,         , -0.0024         ,         , -0.15           ,         , 0.65            ,OVER_TOL
Stream_TRIAD              , -0.008          ,         , -0.0083         ,         , -0.00066        ,         , 1.2             ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.25           ,         , -0.16           ,         , -0.15           ,         , -0.13           ,        
Col Max                   , 0.23            ,         , 7.1             ,         , 0.15            ,         , inf             ,        
Col Avg                   , -0.022          ,         , 0.58            ,         , -0.016          ,         , inf             ,        
Col Std Dev               , 0.0055          ,         , 2.2             ,         , 0.0026          ,         , -nan            ,        
