FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Apps_DEL_DOT_VEC_2D       , -0.016          ,         , -0.016          ,         , -0.2            ,         , 0.65            ,OVER_TOL
Apps_ENERGY               , -0.06           ,         , -0.079          ,         , -0.23           ,         , -0.25           ,        
Apps_FIR                  , 0.028           ,         , -0.091          ,         , -0.013          ,         , 0.72            ,OVER_TOL
Apps_HALOEXCHANGE         , -0.019          ,         , -0.028          ,         , -0.21           ,         , 0.55            ,OVER_TOL
Apps_LTIMES               , -0.24           ,         , 4.6             ,OVER_TOL , 0.0081          ,         , 4.4             ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.065          ,         , 0.26            ,OVER_TOL , -0.16           ,         , 6.1             ,OVER_TOL
Apps_PRESSURE             , -0.0033         ,         , -0.0031         ,         , -0.0051         ,         , 0.099           ,        
Apps_VOL3D                , -0.031          ,         , -0.045          ,         , -0.008          ,         , 0.31            ,OVER_TOL
Basic_ATOMIC_PI           , -0.00066        ,         , 3.5             ,OVER_TOL , 0.3             ,OVER_TOL , 2.5             ,OVER_TOL
Basic_DAXPY               , -0.031          ,         , -0.031          ,         , 0.0021          ,         , 0.96            ,OVER_TOL
Basic_IF_QUAD             , -0.006          ,         , -0.019          ,         , 0.0027          ,         , 0.66            ,OVER_TOL
Basic_INIT3               , -0.017          ,         , -0.19           ,         , 0.0049          ,         , 0.87            ,OVER_TOL
Basic_INIT_VIEW1D         , -0.0087         ,         , 0.28            ,OVER_TOL , -0.013          ,         , 0.94            ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.027          ,         , 0.26            ,OVER_TOL , -0.0063         ,         , 1               ,OVER_TOL
Basic_MULADDSUB           , -0.085          ,         , -0.2            ,         , 0.0017          ,         , 0.83            ,OVER_TOL
Basic_NESTED_INIT         , -0.0074         ,         , 0.1             ,OVER_TOL , -0.16           ,         , 1.6             ,OVER_TOL
Basic_REDUCE3_INT         , 0.0014          ,         , 6.6             ,OVER_TOL , 0.024           ,         , 3.1             ,OVER_TOL
Basic_TRAP_INT            , 0.031           ,         , 0.032           ,         , -0.11           ,         , 0.7             ,OVER_TOL
Lcals_DIFF_PREDICT        , -0.019          ,         , -0.39           ,         , -0.006          ,         , 0.89            ,OVER_TOL
Lcals_EOS                 , -0.0069         ,         , -0.0068         ,         , 0.038           ,         , 0.91            ,OVER_TOL
Lcals_FIRST_DIFF          , -0.0075         ,         , -0.0072         ,         , -0.0065         ,         , 0.93            ,OVER_TOL
Lcals_FIRST_MIN           , -0.0053         ,         , 3               ,OVER_TOL , 0.062           ,         , 0.82            ,OVER_TOL
Lcals_FIRST_SUM           , -0.0089         ,         , -0.0087         ,         , -0.0047         ,         , 0.96            ,OVER_TOL
Lcals_GEN_LIN_RECUR       , -0.021          ,         , -0.021          ,         , -0.0035         ,         , 0.83            ,OVER_TOL
Lcals_HYDRO_1D            , -0.0025         ,         , -0.0022         ,         , 0.015           ,         , 0.94            ,OVER_TOL
Lcals_HYDRO_2D            , -0.026          ,         , 0.53            ,OVER_TOL , -0.24           ,         , 0.48            ,OVER_TOL
Lcals_INT_PREDICT         , -0.012          ,         , 0.018           ,         , 0.03            ,         , 0.41            ,OVER_TOL
Lcals_PLANCKIAN           , -0.21           ,         , -0.21           ,         , 0.08            ,         , 0.34            ,OVER_TOL
Lcals_TRIDIAG_ELIM        , -0.0033         ,         , -0.0033         ,         , -0.0039         ,         , 0.6             ,OVER_TOL
Stream_ADD                , 0.012           ,         , -0.0058         ,         , 0.015           ,         , 0.31            ,OVER_TOL
Stream_COPY               , -0.0053         ,         , -0.001          ,         , -0.18           ,         , 0.063           ,        
Stream_DOT                , -0.0014         ,         , 1.2             ,OVER_TOL , 0.022           ,         , 5.6             ,OVER_TOL
Stream_MUL                , -0.003          ,         , -0.003          ,         , 0.18            ,OVER_TOL , 0.41            ,OVER_TOL
Stream_TRIAD              , -0.011          ,         , -0.0052         ,         , -0.012          ,         , 0.32            ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.24           ,         , -0.39           ,         , -0.24           ,         , -0.25           ,        
Col Max                   , 0.031           ,         , 6.6             ,         , 0.3             ,         , 6.1             ,        
Col Avg                   , -0.026          ,         , 0.56            ,         , -0.023          ,         , 1.2             ,        
Col Std Dev               , 0.0029          ,         , 2.3             ,         , 0.012           ,         , 2.1             ,        
