FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Algorithm_SORT            , 0               ,         , 0.011           ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 2.3             ,OVER_TOL , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , -0.0033         ,         , 0.00083         ,         , 0.0053          ,         , 0.071           ,        
Apps_ENERGY               , 0.013           ,         , -0.028          ,         , -0.21           ,         , -0.18           ,        
Apps_FIR                  , 0.21            ,OVER_TOL , 0.21            ,OVER_TOL , 0.17            ,OVER_TOL , 0.058           ,        
Apps_HALOEXCHANGE         , -0.0032         ,         , -0.01           ,         , 0.0085          ,         , 0.75            ,OVER_TOL
Apps_LTIMES               , -0.24           ,         , 3.7             ,OVER_TOL , 0.016           ,         , 7.2             ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.25           ,         , 0.052           ,         , 0.026           ,         , 8.6             ,OVER_TOL
Apps_PRESSURE             , -0.022          ,         , -0.025          ,         , -0.00061        ,         , 1.2             ,OVER_TOL
Apps_VOL3D                , -0.022          ,         , -0.013          ,         , -0.51           ,         , -0.46           ,        
Basic_DAXPY               , -0.019          ,         , -0.019          ,         , 0.0017          ,         , 1.8             ,OVER_TOL
Basic_IF_QUAD             , 0.027           ,         , 0.021           ,         , -0.069          ,         , -0.013          ,        
Basic_INIT3               , -0.03           ,         , -0.15           ,         , -0.035          ,         , 0.054           ,        
Basic_INIT_VIEW1D         , -0.002          ,         , -0.0019         ,         , 0.01            ,         , 3.4             ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.0018         ,         , 0.25            ,OVER_TOL , 0.0033          ,         , 3.4             ,OVER_TOL
Basic_MULADDSUB           , -0.038          ,         , -0.15           ,         , 0.019           ,         , 0.078           ,        
Basic_NESTED_INIT         , -0.0021         ,         , 0.051           ,         , 0.0083          ,         , 4.9             ,OVER_TOL
Basic_PI_ATOMIC           , -0.004          ,         , 3.2             ,OVER_TOL , -0.066          ,         , 1.1             ,OVER_TOL
Basic_REDUCE3_INT         , -0.025          ,         , 7.5             ,OVER_TOL , 0.062           ,         , 15              ,OVER_TOL
Basic_TRAP_INT            , -0.00013        ,         , 0.069           ,         , -0.028          ,         , 1.6             ,OVER_TOL
Lcals_DIFF_PREDICT        , -0.00099        ,         , -0.1            ,         , -0.0051         ,         , -0.001          ,        
Lcals_EOS                 , -0.027          ,         , -0.031          ,         , -0.053          ,         , 1.5             ,OVER_TOL
Lcals_FIRST_DIFF          , -0.0059         ,         , -0.0064         ,         , 0.0089          ,         , 0.37            ,OVER_TOL
Lcals_FIRST_MIN           , -0.0059         ,         , 3               ,OVER_TOL , 0.43            ,OVER_TOL , 3.5             ,OVER_TOL
Lcals_FIRST_SUM           , -0.0034         ,         , -0.0051         ,         , -0.002          ,         , 0.46            ,OVER_TOL
Lcals_GEN_LIN_RECUR       , -0.092          ,         , -0.093          ,         , -0.002          ,         , 0.012           ,        
Lcals_HYDRO_1D            , -0.012          ,         , -0.014          ,         , -0.0082         ,         , 1               ,OVER_TOL
Lcals_HYDRO_2D            , -0.052          ,         , 0.03            ,         , -0.0085         ,         , 0.33            ,OVER_TOL
Lcals_INT_PREDICT         , 0.0004          ,         , 0.036           ,         , 0.026           ,         , 0.042           ,        
Lcals_PLANCKIAN           , -0.15           ,         , -0.15           ,         , -0.047          ,         , 0.0082          ,        
Lcals_TRIDIAG_ELIM        , -0.015          ,         , -0.014          ,         , -0.0052         ,         , 0.26            ,OVER_TOL
Stream_ADD                , -0.021          ,         , -0.019          ,         , -0.0025         ,         , 0.28            ,OVER_TOL
Stream_COPY               , -0.007          ,         , -0.0013         ,         , 0.083           ,         , 0.31            ,OVER_TOL
Stream_DOT                , -0.0013         ,         , 1.2             ,OVER_TOL , 0.059           ,         , 5.6             ,OVER_TOL
Stream_MUL                , -0.0052         ,         , -0.0055         ,         , 0.006           ,         , 1               ,OVER_TOL
Stream_TRIAD              , -0.012          ,         , -0.013          ,         , 0.048           ,         , 0.95            ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.25           ,         , -0.15           ,         , -0.51           ,         , -0.46           ,        
Col Max                   , 0.21            ,         , 7.5             ,         , 0.43            ,         , inf             ,        
Col Avg                   , -0.024          ,         , 0.58            ,         , -0.0017         ,         , inf             ,        
Col Std Dev               , 0.0054          ,         , 2.3             ,         , 0.016           ,         , -nan            ,        
