Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_OpenMP , Lambda_OpenMP , RAJA_OpenMP , Kokkos_Lambda , Kokkos_Functor
Basic_ATOMIC_PI           , 0.024851 ,   0.024498 , 0.105927 ,    6.358310 ,      4.956848 ,   16.696362 ,      7.953985 ,        Not run
Basic_DAXPY               , 0.299088 ,   0.290044 , 0.293352 ,    0.334360 ,      0.245711 ,    0.546944 ,      0.284560 ,        Not run
Basic_IF_QUAD             , 1.425406 ,   1.457616 , 1.595641 ,    0.110810 ,      0.138127 ,    0.227679 ,      0.139193 ,        Not run
Basic_INIT3               , 1.052590 ,   1.040403 , 0.849960 ,    0.288889 ,      0.254276 ,    0.564455 ,      0.256707 ,        Not run
Basic_INIT_VIEW1D         , 0.923015 ,   0.908317 , 1.123880 ,    0.298355 ,      0.315713 ,    0.611512 ,      0.249784 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 0.905984 ,   0.898836 , 1.124540 ,    0.308018 ,      0.304987 ,    0.632864 ,      0.310113 ,        Not run
Basic_MULADDSUB           , 0.835597 ,   0.794241 , 0.591672 ,    0.173442 ,      0.226863 ,    0.335458 ,      0.209714 ,        Not run
Basic_NESTED_INIT         , 0.878279 ,   0.869357 , 0.946170 ,    0.061749 ,      0.059180 ,    0.074712 ,      0.022546 ,        Not run
Basic_REDUCE3_INT         , 0.017136 ,   0.017917 , 0.127620 ,    0.001430 ,      0.001410 ,    0.023581 ,      0.003891 ,        Not run
Basic_TRAP_INT            , 0.382317 ,   0.393771 , 0.394854 ,    0.030185 ,      0.030276 ,    0.158257 ,      0.027712 ,        Not run
Stream_ADD                , 1.150259 ,   1.116284 , 1.130307 ,    0.013329 ,      0.013199 ,    0.017480 ,      0.013523 ,        Not run
Stream_COPY               , 1.193507 ,   1.208510 , 1.211293 ,    0.023097 ,      0.021760 ,    0.028754 ,      0.026224 ,        Not run
Stream_DOT                , 1.289318 ,   1.284062 , 2.874655 ,    0.030894 ,      0.030960 ,    0.194725 ,      0.028798 ,        Not run
Stream_MUL                , 1.194950 ,   1.188171 , 1.189823 ,    0.019345 ,      0.019544 ,    0.029783 ,      0.020228 ,        Not run
Stream_TRIAD              , 1.061467 ,   1.088573 , 1.042493 ,    0.012306 ,      0.012372 ,    0.016777 ,      0.025046 ,        Not run
