Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_OpenMP , Lambda_OpenMP , RAJA_OpenMP , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 1.124793 ,   0.948817 , 0.947572 ,    0.022928 ,      0.022082 ,    0.026443 ,       Not run ,        Not run
Apps_ENERGY               , 1.549624 ,   1.508257 , 1.678108 ,    0.040731 ,      0.038707 ,    0.038943 ,       Not run ,        Not run
Apps_FIR                  , 0.865139 ,   0.627895 , 0.626350 ,    0.017980 ,      0.015338 ,    0.016671 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.036569 ,   0.036847 , 0.037310 ,    0.040665 ,      0.042795 ,    0.074182 ,       Not run ,        Not run
Apps_LTIMES               , 0.294426 ,   0.223972 , 1.416997 ,    0.005959 ,      0.006296 ,    0.041631 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 0.302343 ,   0.230866 , 0.312907 ,    0.005976 ,      0.006156 ,    0.064173 ,       Not run ,        Not run
Apps_PRESSURE             , 1.633324 ,   1.583283 , 1.588460 ,    0.019342 ,      0.018256 ,    0.053221 ,       Not run ,        Not run
Apps_VOL3D                , 1.603326 ,   1.567060 , 1.544699 ,    0.036053 ,      0.035889 ,    0.039732 ,       Not run ,        Not run
Basic_DAXPY               , 0.332397 ,   0.328024 , 0.328058 ,    0.005564 ,      0.005641 ,    0.012518 ,      0.014685 ,        Not run
Basic_IF_QUAD             , 1.466794 ,   1.441619 , 1.422839 ,    0.023630 ,      0.024967 ,    0.024682 ,      0.027167 ,        Not run
Basic_INIT3               , 1.208225 ,   1.165172 , 1.004004 ,    0.022772 ,      0.022733 ,    0.023930 ,      0.026169 ,        Not run
Basic_INIT_VIEW1D         , 0.877309 ,   0.869853 , 0.869848 ,    0.026129 ,      0.023585 ,    0.088196 ,      0.036399 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 0.877100 ,   0.869624 , 1.125147 ,    0.022691 ,      0.023254 ,    0.096248 ,      0.036439 ,        Not run
Basic_MULADDSUB           , 0.874610 ,   0.820766 , 0.719175 ,    0.017939 ,      0.017332 ,    0.018611 ,      0.019649 ,        Not run
Basic_NESTED_INIT         , 0.357539 ,   0.350455 , 0.364778 ,    0.032984 ,      0.012239 ,    0.064019 ,      0.018436 ,        Not run
Basic_PI_ATOMIC           , 0.041510 ,   0.041436 , 0.175224 ,    9.504568 ,      8.262850 ,   18.094215 ,      6.409818 ,        Not run
Basic_REDUCE3_INT         , 0.008466 ,   0.008386 , 0.067634 ,    0.001002 ,      0.000689 ,    0.009815 ,      0.002203 ,        Not run
Basic_TRAP_INT            , 0.093017 ,   0.092523 , 0.099007 ,    0.003216 ,      0.002801 ,    0.007641 ,      0.005826 ,        Not run
Lcals_DIFF_PREDICT        , 1.560909 ,   1.547510 , 1.418164 ,    0.036529 ,      0.035690 ,    0.040025 ,      0.050420 ,        Not run
Lcals_EOS                 , 0.749559 ,   0.706355 , 0.706530 ,    0.011193 ,      0.011796 ,    0.029860 ,      0.034977 ,        Not run
Lcals_FIRST_DIFF          , 1.317263 ,   1.313379 , 1.313367 ,    0.021852 ,      0.022166 ,    0.030851 ,      0.033081 ,        Not run
Lcals_FIRST_MIN           , 0.037794 ,   0.037628 , 0.149184 ,    0.002788 ,      0.002730 ,    0.012385 ,      0.002502 ,        Not run
Lcals_FIRST_SUM           , 1.336304 ,   1.328070 , 1.329580 ,    0.022607 ,      0.022055 ,    0.030757 ,      0.033324 ,        Not run
Lcals_GEN_LIN_RECUR       , 1.757004 ,   1.741515 , 1.757328 ,    0.264493 ,      0.269288 ,    0.273266 ,      0.285304 ,        Not run
Lcals_HYDRO_1D            , 1.058709 ,   1.042581 , 1.040375 ,    0.013994 ,      0.013665 ,    0.029346 ,      0.019159 ,        Not run
Lcals_HYDRO_2D            , 1.208808 ,   1.183849 , 1.297690 ,    0.035430 ,      0.035708 ,    0.048605 ,      0.057884 ,        Not run
Lcals_INT_PREDICT         , 2.099694 ,   2.098861 , 2.189621 ,    0.090044 ,      0.066632 ,    0.076782 ,      0.071025 ,        Not run
Lcals_PLANCKIAN           , 0.429484 ,   0.352504 , 0.352942 ,    0.008772 ,      0.008917 ,    0.010570 ,      0.009755 ,        Not run
Lcals_TRIDIAG_ELIM        , 1.402795 ,   1.403854 , 1.397192 ,    0.014679 ,      0.014563 ,    0.018530 ,      0.020715 ,        Not run
Stream_ADD                , 1.065874 ,   1.076640 , 1.055027 ,    0.012884 ,      0.012788 ,    0.016273 ,      0.018049 ,        Not run
Stream_COPY               , 1.137533 ,   1.131635 , 1.132894 ,    0.028722 ,      0.026441 ,    0.033817 ,      0.036726 ,        Not run
Stream_DOT                , 1.315258 ,   1.308701 , 2.880847 ,    0.030351 ,      0.030214 ,    0.212996 ,      0.039187 ,        Not run
Stream_MUL                , 1.187603 ,   1.182753 , 1.183820 ,    0.019063 ,      0.019380 ,    0.040079 ,      0.028565 ,        Not run
Stream_TRIAD              , 1.007039 ,   1.001693 , 1.004707 ,    0.012398 ,      0.012327 ,    0.025046 ,      0.033283 ,        Not run
