FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , -0.49           ,         , -0.19           ,         , -0.073          ,         , 0.067           ,        
Basic_DAXPY               , -0.29           ,         , -0.14           ,         , 0.075           ,         , 0.069           ,        
Basic_IF_QUAD             , -0.019          ,         , -0.0062         ,         , -0.093          ,         , -0.15           ,        
Basic_INIT3               , 0.035           ,         , -0.047          ,         , 0.06            ,         , -0.018          ,        
Basic_INIT_VIEW1D         , 0.075           ,         , 0.61            ,OVER_TOL , 0.064           ,         , 0.0064          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.89           ,         , -0.81           ,         , 0.036           ,         , 0               ,        
Basic_MULADDSUB           , -0.39           ,         , -0.4            ,         , 0.0064          ,         , 0.064           ,        
Basic_NESTED_INIT         , -0.34           ,         , -0.033          ,         , 0.093           ,         , 0.086           ,        
Basic_REDUCE3_INT         , -0.32           ,         , -0.33           ,         , -0.16           ,         , 0.52            ,OVER_TOL
Basic_TRAP_INT            , 0               ,         , 0.029           ,         , 0.047           ,         , -0.052          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.89           ,         , -0.81           ,         , -0.16           ,         , -0.15           ,        
Col Max                   , 0.075           ,         , 0.61            ,         , 0.093           ,         , 0.52            ,        
Col Avg                   , -0.26           ,         , -0.13           ,         , 0.0051          ,         , 0.06            ,        
Col Std Dev               , 0.08            ,         , 0.12            ,         , 0.0066          ,         , 0.028           ,        
