FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , -0.019          ,         , 0.14            ,OVER_TOL , -0.061          ,         , -0.029          ,        
Basic_DAXPY               , -0.11           ,         , -0.052          ,         , 0.081           ,         , 0.001           ,        
Basic_IF_QUAD             , -0.0031         ,         , 0.001           ,         , 0.017           ,         , -0.0068         ,        
Basic_INIT3               , 0.0082          ,         , 0.096           ,         , -0.03           ,         , 0.023           ,        
Basic_INIT_VIEW1D         , 0.002           ,         , 0.074           ,         , 0.0051          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.64           ,         , -0.64           ,         , -0.021          ,         , -0.059          ,        
Basic_MULADDSUB           , -0.078          ,         , -0.054          ,         , -0.055          ,         , -0.05           ,        
Basic_NESTED_INIT         , -0.16           ,         , -0.15           ,         , 0.0078          ,         , 0.0029          ,        
Basic_REDUCE3_INT         , -0.097          ,         , -0.11           ,         , -0.11           ,         , -0.11           ,        
Basic_TRAP_INT            , 0.015           ,         , -0.052          ,         , -0.21           ,         , -0.17           ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.64           ,         , -0.64           ,         , -0.21           ,         , -0.17           ,        
Col Max                   , 0.015           ,         , 0.14            ,         , 0.081           ,         , 0.023           ,        
Col Avg                   , -0.11           ,         , -0.074          ,         , -0.037          ,         , -0.04           ,        
Col Std Dev               , 0.035           ,         , 0.043           ,         , 0.0056          ,         , 0.0034          ,        
