FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , 0.0014          ,         , 3.5             ,OVER_TOL , -0.15           ,         , 1               ,OVER_TOL
Basic_DAXPY               , -0.037          ,         , -0.033          ,         , 0.033           ,         , 0.57            ,OVER_TOL
Basic_IF_QUAD             , -0.0036         ,         , 0.014           ,         , 0.12            ,OVER_TOL , -0.077          ,        
Basic_INIT3               , -0.025          ,         , -0.19           ,         , -0.024          ,         , 0.28            ,OVER_TOL
Basic_INIT_VIEW1D         , -0.0032         ,         , 0.28            ,OVER_TOL , -0.0069         ,         , 1.1             ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.0041         ,         , 0.28            ,OVER_TOL , -0.044          ,         , 1.4             ,OVER_TOL
Basic_MULADDSUB           , -0.039          ,         , -0.16           ,         , -0.014          ,         , 0.27            ,OVER_TOL
Basic_NESTED_INIT         , -0.0024         ,         , -0.0086         ,         , -0.06           ,         , 1.6             ,OVER_TOL
Basic_REDUCE3_INT         , -0.0066         ,         , 4.2             ,OVER_TOL , -0.015          ,         , 13              ,OVER_TOL
Basic_TRAP_INT            , 0.047           ,         , 0.047           ,         , -0.72           ,         , 0.4             ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.039          ,         , -0.19           ,         , -0.72           ,         , -0.077          ,        
Col Max                   , 0.047           ,         , 4.2             ,         , 0.12            ,         , 13              ,        
Col Avg                   , -0.0073         ,         , 0.79            ,         , -0.088          ,         , 2               ,        
Col Std Dev               , 0.00053         ,         , 2.4             ,         , 0.049           ,         , 15              ,        
