FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , -0.079          ,         , 0.061           ,         , 0.0031          ,         , 0.0021          ,        
Basic_DAXPY               , -0.27           ,         , -0.23           ,         , -0.058          ,         , -0.012          ,        
Basic_IF_QUAD             , 0.0041          ,         , 0.021           ,         , 0.0019          ,         , 0.0029          ,        
Basic_INIT3               , -0.061          ,         , -0.0087         ,         , -0.0051         ,         , -0.0041         ,        
Basic_INIT_VIEW1D         , 0.054           ,         , 0.15            ,OVER_TOL , 0.031           ,         , 0.0082          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.69           ,         , -0.56           ,         , 0.011           ,         , -0.056          ,        
Basic_MULADDSUB           , 0.045           ,         , -0.002          ,         , -0.063          ,         , -0.055          ,        
Basic_NESTED_INIT         , -0.026          ,         , -0.021          ,         , -0.13           ,         , -0.081          ,        
Basic_REDUCE3_INT         , 0.072           ,         , -0.043          ,         , -0.052          ,         , 0.0019          ,        
Basic_TRAP_INT            , -0.19           ,         , -0.1            ,         , -0.0048         ,         , 0.013           ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.69           ,         , -0.56           ,         , -0.13           ,         , -0.081          ,        
Col Max                   , 0.072           ,         , 0.15            ,         , 0.031           ,         , 0.013           ,        
Col Avg                   , -0.11           ,         , -0.073          ,         , -0.026          ,         , -0.018          ,        
Col Std Dev               , 0.047           ,         , 0.035           ,         , 0.002           ,         , 0.00099         ,        
