FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , -0.0003         ,         , 3.6             ,OVER_TOL , 0.0021          ,         , 1.4             ,OVER_TOL
Basic_DAXPY               , 0.018           ,         , 0.021           ,         , -0.45           ,         , 0.064           ,        
Basic_IF_QUAD             , -0.02           ,         , 0.14            ,OVER_TOL , -0.023          ,         , 0.6             ,OVER_TOL
Basic_INIT3               , -0.015          ,         , -0.2            ,         , -0.25           ,         , 0.72            ,OVER_TOL
Basic_INIT_VIEW1D         , -0.034          ,         , 0.25            ,OVER_TOL , -0.013          ,         , 0.97            ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.0084         ,         , 0.31            ,OVER_TOL , -0.079          ,         , 0.66            ,OVER_TOL
Basic_MULADDSUB           , -0.046          ,         , -0.18           ,         , 0.37            ,OVER_TOL , 1.3             ,OVER_TOL
Basic_NESTED_INIT         , -0.013          ,         , 0.09            ,         , -0.14           ,         , 0.17            ,OVER_TOL
Basic_REDUCE3_INT         , 0.016           ,         , 6.7             ,OVER_TOL , 0.0054          ,         , 1.2             ,OVER_TOL
Basic_TRAP_INT            , 0.032           ,         , 0.031           ,         , -0.025          ,         , 0.56            ,OVER_TOL
Stream_ADD                , -0.004          ,         , -0.0079         ,         , 0.041           ,         , 0.77            ,OVER_TOL
Stream_COPY               , -0.0054         ,         , 0.00033         ,         , -0.021          ,         , 0.78            ,OVER_TOL
Stream_DOT                , -0.016          ,         , 1.2             ,OVER_TOL , -0.0045         ,         , 1.1             ,OVER_TOL
Stream_MUL                , -0.0021         ,         , -0.0031         ,         , 0.0012          ,         , 0.82            ,OVER_TOL
Stream_TRIAD              , -0.05           ,         , -0.0086         ,         , -0.014          ,         , 0.81            ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.05           ,         , -0.2            ,         , -0.45           ,         , 0.064           ,        
Col Max                   , 0.032           ,         , 6.7             ,         , 0.37            ,         , 1.4             ,        
Col Avg                   , -0.0099         ,         , 0.8             ,         , -0.041          ,         , 0.79            ,        
Col Std Dev               , 0.00047         ,         , 3.4             ,         , 0.028           ,         , 0.12            ,        
