FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Apps_DEL_DOT_VEC_2D       , -0.15           ,         , -0.15           ,         , -0.0027         ,         , 0.45            ,OVER_TOL
Apps_ENERGY               , 0.015           ,         , 0.34            ,OVER_TOL , -0.021          ,         , -0.05           ,        
Apps_FIR                  , -0.27           ,         , -0.28           ,         , -0.093          ,         , 0.1             ,OVER_TOL
Apps_HALOEXCHANGE         , 0.0073          ,         , 0.004           ,         , -0.13           ,         , 0.98            ,OVER_TOL
Apps_LTIMES               , -0.25           ,         , 3.8             ,OVER_TOL , 0.0086          ,         , 3.9             ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.25           ,         , 0.028           ,         , 0.019           ,         , 8.7             ,OVER_TOL
Apps_PRESSURE             , -0.023          ,         , -0.024          ,         , -0.34           ,         , 0.2             ,OVER_TOL
Apps_VOL3D                , -0.01           ,         , -0.023          ,         , -0.0054         ,         , 0.16            ,OVER_TOL
Basic_DAXPY               , -0.012          ,         , -0.012          ,         , 0.0052          ,         , 0.84            ,OVER_TOL
Basic_IF_QUAD             , -0.034          ,         , -0.03           ,         , 0.021           ,         , 0.17            ,OVER_TOL
Basic_INIT3               , -0.024          ,         , -0.17           ,         , 0.0065          ,         , 0.42            ,OVER_TOL
Basic_INIT_VIEW1D         , -0.0081         ,         , -0.0079         ,         , -0.0076         ,         , 1.4             ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.0094         ,         , 0.3             ,OVER_TOL , -0.01           ,         , 1.3             ,OVER_TOL
Basic_MULADDSUB           , -0.054          ,         , -0.17           ,         , -0.28           ,         , -0.0015         ,        
Basic_NESTED_INIT         , -0.0098         ,         , 0.034           ,         , -0.2            ,         , 0.92            ,OVER_TOL
Basic_PI_ATOMIC           , -0.0032         ,         , 3.1             ,OVER_TOL , 0.11            ,OVER_TOL , 1.1             ,OVER_TOL
Basic_REDUCE3_INT         , -0.021          ,         , 7               ,OVER_TOL , -0.02           ,         , 3               ,OVER_TOL
Basic_TRAP_INT            , 0.00015         ,         , 0.065           ,         , -0.0041         ,         , 0.74            ,OVER_TOL
Lcals_DIFF_PREDICT        , -0.0026         ,         , -0.11           ,         , -0.02           ,         , 0.21            ,OVER_TOL
Lcals_EOS                 , -0.027          ,         , -0.03           ,         , -0.081          ,         , 0.97            ,OVER_TOL
Lcals_FIRST_DIFF          , -0.0036         ,         , -0.0037         ,         , -0.007          ,         , 0.81            ,OVER_TOL
Lcals_FIRST_MIN           , 0.00085         ,         , 3               ,OVER_TOL , -0.043          ,         , 0.7             ,OVER_TOL
Lcals_FIRST_SUM           , -0.0036         ,         , -0.0036         ,         , 0.0035          ,         , 0.82            ,OVER_TOL
Lcals_GEN_LIN_RECUR       , -0.023          ,         , 0.016           ,         , -0.094          ,         , 0.42            ,OVER_TOL
Lcals_HYDRO_1D            , -0.0065         ,         , -0.0079         ,         , -0.0095         ,         , 0.8             ,OVER_TOL
Lcals_HYDRO_2D            , -0.015          ,         , 0.076           ,         , -0.066          ,         , 0.27            ,OVER_TOL
Lcals_INT_PREDICT         , -0.00056        ,         , 0.056           ,         , -0.25           ,         , -0.21           ,        
Lcals_PLANCKIAN           , -0.18           ,         , -0.18           ,         , 0.0023          ,         , 0.13            ,OVER_TOL
Lcals_TRIDIAG_ELIM        , -0.0059         ,         , -0.01           ,         , -0.0054         ,         , 0.36            ,OVER_TOL
Stream_ADD                , 0.02            ,         , -0.011          ,         , 0.031           ,         , 0.31            ,OVER_TOL
Stream_COPY               , -0.0056         ,         , -0.0022         ,         , 0.026           ,         , 0.31            ,OVER_TOL
Stream_DOT                , -0.0045         ,         , 1.2             ,OVER_TOL , -0.011          ,         , 5.6             ,OVER_TOL
Stream_MUL                , -0.0048         ,         , -0.0049         ,         , 0.018           ,         , 0.88            ,OVER_TOL
Stream_TRIAD              , -0.0048         ,         , -0.0022         ,         , -0.011          ,         , 0.92            ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.27           ,         , -0.28           ,         , -0.34           ,         , -0.21           ,        
Col Max                   , 0.02            ,         , 7               ,         , 0.11            ,         , 8.7             ,        
Col Avg                   , -0.04           ,         , 0.52            ,         , -0.043          ,         , 1.1             ,        
Col Std Dev               , 0.006           ,         , 2.2             ,         , 0.0088          ,         , 3               ,        
