FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , -0.00027        ,         , 3.5             ,OVER_TOL , 0.28            ,OVER_TOL , 2.3             ,OVER_TOL
Basic_DAXPY               , -0.04           ,         , -0.039          ,         , 0.03            ,         , 0.56            ,OVER_TOL
Basic_IF_QUAD             , 0.015           ,         , 0.12            ,OVER_TOL , 0.032           ,         , 0.64            ,OVER_TOL
Basic_INIT3               , -0.016          ,         , -0.21           ,         , -0.014          ,         , 0.81            ,OVER_TOL
Basic_INIT_VIEW1D         , -0.0094         ,         , 0.29            ,OVER_TOL , -0.0021         ,         , 0.96            ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.0085         ,         , 0.24            ,OVER_TOL , -0.043          ,         , 0.97            ,OVER_TOL
Basic_MULADDSUB           , -0.053          ,         , -0.29           ,         , -0.0093         ,         , 0.83            ,OVER_TOL
Basic_NESTED_INIT         , -0.013          ,         , 0.098           ,         , -0.093          ,         , 0.51            ,OVER_TOL
Basic_REDUCE3_INT         , 0.059           ,         , 6.6             ,OVER_TOL , 0.016           ,         , 3.4             ,OVER_TOL
Basic_TRAP_INT            , 0.019           ,         , 0.014           ,         , -0.0078         ,         , 0.64            ,OVER_TOL
Stream_ADD                , -0.0039         ,         , -0.0045         ,         , -0.072          ,         , 0.033           ,        
Stream_COPY               , -0.0054         ,         , -0.0046         ,         , -0.36           ,         , 0.4             ,OVER_TOL
Stream_DOT                , -0.012          ,         , 1.2             ,OVER_TOL , -0.3            ,         , 0.47            ,OVER_TOL
Stream_MUL                , -0.0057         ,         , -0.0058         ,         , -0.46           ,         , 0.15            ,OVER_TOL
Stream_TRIAD              , -0.0074         ,         , -0.0057         ,         , 0.017           ,         , 0.33            ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.053          ,         , -0.29           ,         , -0.46           ,         , 0.033           ,        
Col Max                   , 0.059           ,         , 6.6             ,         , 0.28            ,         , 3.4             ,        
Col Avg                   , -0.0055         ,         , 0.76            ,         , -0.066          ,         , 0.86            ,        
Col Std Dev               , 0.00059         ,         , 3.2             ,         , 0.031           ,         , 0.7             ,        
