Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_OpenMP , Lambda_OpenMP , RAJA_OpenMP , Kokkos_Lambda , Kokkos_Functor
Algorithm_SORT            , 1.926671 ,    Not run , 1.951100 ,     Not run ,       Not run ,    0.527544 ,      0.258557 ,        Not run
Algorithm_SORTPAIRS       , 2.120745 ,    Not run , 6.866882 ,     Not run ,       Not run ,    0.709544 ,      0.000000 ,        Not run
Apps_DEL_DOT_VEC_2D       , 0.951430 ,   0.948164 , 0.951573 ,    0.024280 ,      0.023858 ,    0.027435 ,      0.102836 ,        Not run
Apps_ENERGY               , 1.585630 ,   1.599170 , 1.537903 ,    0.036067 ,      0.038305 ,    0.038596 ,      0.053122 ,        Not run
Apps_FIR                  , 0.679325 ,   0.816815 , 0.816826 ,    0.016418 ,      0.019423 ,    0.017587 ,      0.023447 ,        Not run
Apps_HALOEXCHANGE         , 0.036907 ,   0.037003 , 0.036782 ,    0.044386 ,      0.070131 ,    0.078571 ,      0.086680 ,        Not run
Apps_LTIMES               , 0.301359 ,   0.227611 , 1.430958 ,    0.005967 ,      0.006184 ,    0.050423 ,      0.052291 ,        Not run
Apps_LTIMES_NOVIEW        , 0.303640 ,   0.231770 , 0.318626 ,    0.006380 ,      0.006766 ,    0.059925 ,       Not run ,        Not run
Apps_PRESSURE             , 1.938138 ,   1.881616 , 1.869657 ,    0.019401 ,      0.019662 ,    0.045109 ,      0.070674 ,        Not run
Apps_VOL3D                , 1.604068 ,   1.567865 , 1.583129 ,    0.037511 ,      0.038813 ,    0.041107 ,      0.037751 ,        Not run
Basic_DAXPY               , 0.410928 ,   0.383051 , 0.381337 ,    0.006017 ,      0.005921 ,    0.012841 ,      0.015183 ,        Not run
Basic_IF_QUAD             , 1.451121 ,   1.490177 , 1.475331 ,    0.026121 ,      0.024116 ,    0.028363 ,      0.024896 ,        Not run
Basic_INIT3               , 1.443106 ,   1.390914 , 1.189029 ,    0.022995 ,      0.021954 ,    0.024479 ,      0.025831 ,        Not run
Basic_INIT_VIEW1D         , 0.863461 ,   0.855715 , 0.866202 ,    0.023635 ,      0.023661 ,    0.091173 ,      0.037051 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 0.862900 ,   0.855219 , 1.124973 ,    0.026559 ,      0.023513 ,    0.092422 ,      0.037761 ,        Not run
Basic_MULADDSUB           , 0.993666 ,   0.958130 , 0.829857 ,    0.018223 ,      0.017459 ,    0.019239 ,      0.020631 ,        Not run
Basic_NESTED_INIT         , 0.351071 ,   0.343572 , 0.357747 ,    0.011522 ,      0.011393 ,    0.063088 ,      0.040007 ,        Not run
Basic_PI_ATOMIC           , 0.041583 ,   0.041436 , 0.175328 ,    8.405337 ,      9.095052 ,   16.973425 ,      6.666107 ,        Not run
Basic_REDUCE3_INT         , 0.008532 ,   0.008163 , 0.071651 ,    0.000740 ,      0.000728 ,    0.010075 ,      0.002298 ,        Not run
Basic_TRAP_INT            , 0.092648 ,   0.093007 , 0.098580 ,    0.003296 ,      0.002916 ,    0.007664 ,      0.003199 ,        Not run
Lcals_DIFF_PREDICT        , 1.552005 ,   1.532334 , 1.393495 ,    0.044941 ,      0.035598 ,    0.036964 ,      0.048323 ,        Not run
Lcals_EOS                 , 0.868870 ,   0.840090 , 0.837262 ,    0.012384 ,      0.011827 ,    0.032697 ,      0.036211 ,        Not run
Lcals_FIRST_DIFF          , 1.732293 ,   1.715204 , 1.717041 ,    0.022479 ,      0.022576 ,    0.031573 ,      0.033889 ,        Not run
Lcals_FIRST_MIN           , 0.037570 ,   0.037352 , 0.149295 ,    0.002388 ,      0.003085 ,    0.010672 ,      0.003521 ,        Not run
Lcals_FIRST_SUM           , 1.742069 ,   1.724938 , 1.725140 ,    0.022564 ,      0.025295 ,    0.031367 ,      0.034376 ,        Not run
Lcals_GEN_LIN_RECUR       , 2.161386 ,   1.998856 , 1.997745 ,    0.160255 ,      0.160248 ,    0.164590 ,      0.144944 ,        Not run
Lcals_HYDRO_1D            , 1.164843 ,   1.150027 , 1.144506 ,    0.014811 ,      0.014635 ,    0.030487 ,      0.019980 ,        Not run
Lcals_HYDRO_2D            , 1.403227 ,   1.337964 , 1.429931 ,    0.038090 ,      0.037711 ,    0.052385 ,      0.055445 ,        Not run
Lcals_INT_PREDICT         , 2.072205 ,   2.069608 , 2.151019 ,    0.064250 ,      0.065284 ,    0.066903 ,      0.068503 ,        Not run
Lcals_PLANCKIAN           , 0.422404 ,   0.355012 , 0.354406 ,    0.009400 ,      0.014228 ,    0.009780 ,      0.009318 ,        Not run
Lcals_TRIDIAG_ELIM        , 1.635121 ,   1.607941 , 1.605196 ,    0.015283 ,      0.015241 ,    0.019671 ,      0.023462 ,        Not run
Stream_ADD                , 1.083932 ,   1.059541 , 1.060916 ,    0.013596 ,      0.013417 ,    0.017606 ,      0.018934 ,        Not run
Stream_COPY               , 1.638015 ,   1.639242 , 1.404153 ,    0.158011 ,      0.113991 ,    0.169580 ,      0.104071 ,        Not run
Stream_DOT                , 1.579218 ,   1.543031 , 2.997887 ,    0.196204 ,      0.196755 ,    0.388790 ,      0.126468 ,        Not run
Stream_MUL                , 1.534968 ,   1.520096 , 1.519418 ,    0.147207 ,      0.095599 ,    0.176255 ,      0.106243 ,        Not run
Stream_TRIAD              , 1.072070 ,   1.063974 , 1.063440 ,    0.015626 ,      0.013298 ,    0.025811 ,      0.034506 ,        Not run
