FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Algorithm_SORT            , 0               ,         , 0.018           ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 2.3             ,OVER_TOL , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , -0.0025         ,         , 0.0021          ,         , 0.0038          ,         , 0.14            ,OVER_TOL
Apps_ENERGY               , 0.014           ,         , -0.029          ,         , 0.023           ,         , 0.066           ,        
Apps_FIR                  , 0.15            ,OVER_TOL , 0.017           ,         , -0.057          ,         , 0.0085          ,        
Apps_HALOEXCHANGE         , -0.0046         ,         , -0.0029         ,         , -0.012          ,         , 0.67            ,OVER_TOL
Apps_LTIMES               , -0.27           ,         , 3.9             ,OVER_TOL , 0.02            ,         , 8.5             ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.17           ,         , -0.22           ,         , 0.23            ,OVER_TOL , 8.6             ,OVER_TOL
Apps_PRESSURE             , -0.025          ,         , -0.029          ,         , -0.013          ,         , 1.9             ,OVER_TOL
Apps_VOL3D                , -0.022          ,         , -0.0011         ,         , 0.043           ,         , 0.092           ,        
Basic_DAXPY               , -0.018          ,         , -0.019          ,         , -0.0083         ,         , 1.1             ,OVER_TOL
Basic_IF_QUAD             , 0.0031          ,         , -0.0017         ,         , -0.078          ,         , -0.017          ,        
Basic_INIT3               , -0.031          ,         , -0.15           ,         , -0.003          ,         , 0.065           ,        
Basic_INIT_VIEW1D         , -0.006          ,         , -0.0058         ,         , -0.0013         ,         , 2               ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.0032         ,         , 0.25            ,OVER_TOL , 0.01            ,         , 2.8             ,OVER_TOL
Basic_MULADDSUB           , -0.039          ,         , -0.15           ,         , -0.021          ,         , 0.05            ,        
Basic_NESTED_INIT         , -0.0032         ,         , 0.044           ,         , 0.02            ,         , 5.8             ,OVER_TOL
Basic_PI_ATOMIC           , -0.0042         ,         , 3.2             ,OVER_TOL , -0.084          ,         , 1.1             ,OVER_TOL
Basic_REDUCE3_INT         , -0.025          ,         , 6.8             ,OVER_TOL , 0.02            ,         , 13              ,OVER_TOL
Basic_TRAP_INT            , -0.00058        ,         , 0.064           ,         , -0.082          ,         , 1.4             ,OVER_TOL
Lcals_DIFF_PREDICT        , -0.0039         ,         , -0.1            ,         , -0.0057         ,         , 0.011           ,        
Lcals_EOS                 , -0.02           ,         , -0.023          ,         , -0.044          ,         , 1.6             ,OVER_TOL
Lcals_FIRST_DIFF          , -0.0041         ,         , -0.0041         ,         , -0.0003         ,         , 0.35            ,OVER_TOL
Lcals_FIRST_MIN           , -0.0025         ,         , 2.9             ,OVER_TOL , 0.28            ,OVER_TOL , 3.1             ,OVER_TOL
Lcals_FIRST_SUM           , -0.0055         ,         , -0.0048         ,         , -0.0053         ,         , 0.34            ,OVER_TOL
Lcals_GEN_LIN_RECUR       , -0.017          ,         , -0.0032         ,         , -0.001          ,         , 0.015           ,        
Lcals_HYDRO_1D            , -0.011          ,         , -0.0081         ,         , 0.11            ,OVER_TOL , 1               ,OVER_TOL
Lcals_HYDRO_2D            , -0.044          ,         , 0.036           ,         , -0.051          ,         , 0.38            ,OVER_TOL
Lcals_INT_PREDICT         , -0.0041         ,         , 0.037           ,         , 0.0077          ,         , 0.039           ,        
Lcals_PLANCKIAN           , -0.17           ,         , -0.17           ,         , -0.059          ,         , 0.0067          ,        
Lcals_TRIDIAG_ELIM        , -0.013          ,         , -0.012          ,         , -0.0095         ,         , 0.22            ,OVER_TOL
Stream_ADD                , -0.014          ,         , -0.013          ,         , -0.0056         ,         , 0.25            ,OVER_TOL
Stream_COPY               , -0.0057         ,         , -0.001          ,         , -0.022          ,         , 0.22            ,OVER_TOL
Stream_DOT                , -0.0042         ,         , 1.2             ,OVER_TOL , 0.015           ,         , 5.6             ,OVER_TOL
Stream_MUL                , -0.005          ,         , -0.0055         ,         , 0.0055          ,         , 1               ,OVER_TOL
Stream_TRIAD              , -0.011          ,         , -0.012          ,         , 0.053           ,         , 0.95            ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.27           ,         , -0.22           ,         , -0.084          ,         , -0.017          ,        
Col Max                   , 0.15            ,         , 6.8             ,         , 0.28            ,         , inf             ,        
Col Avg                   , -0.024          ,         , 0.55            ,         , 0.0084          ,         , inf             ,        
Col Std Dev               , 0.0042          ,         , 2.1             ,         , 0.0054          ,         , -nan            ,        
