FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , 0.0067          ,         , 0.14            ,OVER_TOL , -0.063          ,         , -0.049          ,        
Basic_DAXPY               , -0.22           ,         , -0.2            ,         , 0.082           ,         , 0.0051          ,        
Basic_IF_QUAD             , -0.047          ,         , -0.052          ,         , -0.0019         ,         , -0.028          ,        
Basic_INIT3               , 0               ,         , -0.003          ,         , 0.0051          ,         , 0.059           ,        
Basic_INIT_VIEW1D         , 0.073           ,         , 0.13            ,OVER_TOL , -0.001          ,         , -0.004          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.69           ,         , -0.7            ,         , 0.021           ,         , -0.037          ,        
Basic_MULADDSUB           , 0.001           ,         , 0.003           ,         , -0.039          ,         , -0.042          ,        
Basic_NESTED_INIT         , -0.12           ,         , -0.056          ,         , 0.14            ,OVER_TOL , 0.13            ,OVER_TOL
Basic_REDUCE3_INT         , 0               ,         , 0.074           ,         , -0.025          ,         , -0.023          ,        
Basic_TRAP_INT            , -0.11           ,         , -0.15           ,         , 0               ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.69           ,         , -0.7            ,         , -0.063          ,         , -0.049          ,        
Col Max                   , 0.073           ,         , 0.14            ,         , 0.14            ,         , 0.13            ,        
Col Avg                   , -0.11           ,         , -0.082          ,         , 0.011           ,         , 0.0016          ,        
Col Std Dev               , 0.044           ,         , 0.054           ,         , 0.003           ,         , 0.0028          ,        
