FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Apps_DEL_DOT_VEC_2D       , -0.15           ,         , -0.15           ,         , -0.54           ,         , -0.4            ,        
Apps_ENERGY               , 0.0012          ,         , 0.092           ,         , 0.014           ,         , -0.33           ,        
Apps_FIR                  , -0.26           ,         , -0.26           ,         , -0.042          ,         , 0.17            ,OVER_TOL
Apps_HALOEXCHANGE         , 0.0081          ,         , 0.02            ,         , -0.04           ,         , 0.92            ,OVER_TOL
Apps_LTIMES               , -0.24           ,         , 3.9             ,OVER_TOL , 0.032           ,         , 2.8             ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.074          ,         , 0.28            ,OVER_TOL , 0.028           ,         , 8.5             ,OVER_TOL
Apps_PRESSURE             , -0.036          ,         , -0.024          ,         , -0.0041         ,         , 0.6             ,OVER_TOL
Apps_VOL3D                , -0.022          ,         , -0.037          ,         , -0.007          ,         , 0.15            ,OVER_TOL
Basic_DAXPY               , -0.017          ,         , -0.016          ,         , -0.34           ,         , 0.064           ,        
Basic_IF_QUAD             , -0.023          ,         , -0.034          ,         , -0.46           ,         , -0.45           ,        
Basic_INIT3               , -0.028          ,         , -0.14           ,         , -0.028          ,         , 0.051           ,        
Basic_INIT_VIEW1D         , -0.008          ,         , -0.0081         ,         , -0.034          ,         , 2.6             ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.0094         ,         , 0.24            ,OVER_TOL , -0.34           ,         , 1.4             ,OVER_TOL
Basic_MULADDSUB           , -0.069          ,         , -0.2            ,         , 0.0024          ,         , 0.13            ,OVER_TOL
Basic_NESTED_INIT         , -0.018          ,         , 0.021           ,         , 0.00096         ,         , 4.6             ,OVER_TOL
Basic_PI_ATOMIC           , -0.0017         ,         , 3.2             ,OVER_TOL , -0.09           ,         , 1.1             ,OVER_TOL
Basic_REDUCE3_INT         , 0.0014          ,         , 7               ,OVER_TOL , -0.15           ,         , 10              ,OVER_TOL
Basic_TRAP_INT            , -0.0017         ,         , 0.051           ,         , -0.057          ,         , 1.4             ,OVER_TOL
Lcals_DIFF_PREDICT        , -0.0074         ,         , -0.091          ,         , -0.078          ,         , -0.006          ,        
Lcals_EOS                 , -0.069          ,         , -0.07           ,         , 0.041           ,         , 1.6             ,OVER_TOL
Lcals_FIRST_DIFF          , -0.0037         ,         , -0.0034         ,         , -0.0078         ,         , 0.35            ,OVER_TOL
Lcals_FIRST_MIN           , -0.011          ,         , 2.7             ,OVER_TOL , -0.052          ,         , 2.6             ,OVER_TOL
Lcals_FIRST_SUM           , -0.0042         ,         , -0.0044         ,         , -0.12           ,         , 0.21            ,OVER_TOL
Lcals_GEN_LIN_RECUR       , -0.014          ,         , 0.00016         ,         , -0.04           ,         , 0.054           ,        
Lcals_HYDRO_1D            , -0.004          ,         , -0.0058         ,         , -0.0052         ,         , 0.91            ,OVER_TOL
Lcals_HYDRO_2D            , -0.021          ,         , 0.063           ,         , -0.017          ,         , 0.32            ,OVER_TOL
Lcals_INT_PREDICT         , -0.0023         ,         , 0.037           ,         , -0.19           ,         , 0.013           ,        
Lcals_PLANCKIAN           , -0.18           ,         , -0.18           ,         , 0.0037          ,         , 0.09            ,        
Lcals_TRIDIAG_ELIM        , -0.012          ,         , -0.0089         ,         , 0.026           ,         , 0.37            ,OVER_TOL
Stream_ADD                , -0.023          ,         , -0.02           ,         , 0.0083          ,         , 0.3             ,OVER_TOL
Stream_COPY               , -0.0056         ,         , -0.0048         ,         , -0.19           ,         , 0.2             ,OVER_TOL
Stream_DOT                , -0.0014         ,         , 1.3             ,OVER_TOL , -0.0064         ,         , 4.9             ,OVER_TOL
Stream_MUL                , -0.0032         ,         , -0.0039         ,         , -0.007          ,         , 0.82            ,OVER_TOL
Stream_TRIAD              , 0.002           ,         , -0.019          ,         , 0.048           ,         , 0.95            ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.26           ,         , -0.26           ,         , -0.54           ,         , -0.45           ,        
Col Max                   , 0.0081          ,         , 7               ,         , 0.048           ,         , 10              ,        
Col Avg                   , -0.039          ,         , 0.52            ,         , -0.078          ,         , 1.4             ,        
Col Std Dev               , 0.0045          ,         , 2.2             ,         , 0.02            ,         , 5.6             ,        
