FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , 0.035           ,         , 0.13            ,OVER_TOL , -0.064          ,         , -0.11           ,        
Basic_DAXPY               , -0.16           ,         , -0.0059         ,         , 0.066           ,         , -0.0061         ,        
Basic_IF_QUAD             , 0.15            ,OVER_TOL , -0.004          ,         , -0.046          ,         , -0.06           ,        
Basic_INIT3               , 0.001           ,         , 0.011           ,         , -0.033          ,         , -0.035          ,        
Basic_INIT_VIEW1D         , -0.12           ,         , 0.0072          ,         , -0.015          ,         , -0.056          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.68           ,         , -0.62           ,         , 0.062           ,         , 0.054           ,        
Basic_MULADDSUB           , 0.014           ,         , 0.086           ,         , -0.034          ,         , -0.042          ,        
Basic_NESTED_INIT         , -0.086          ,         , -0.18           ,         , -0.023          ,         , 0.066           ,        
Basic_REDUCE3_INT         , -0.21           ,         , -0.29           ,         , 0.065           ,         , 0.026           ,        
Basic_TRAP_INT            , -0.31           ,         , -0.28           ,         , 0.0058          ,         , -0.048          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.68           ,         , -0.62           ,         , -0.064          ,         , -0.11           ,        
Col Max                   , 0.15            ,         , 0.13            ,         , 0.066           ,         , 0.066           ,        
Col Avg                   , -0.14           ,         , -0.12           ,         , -0.0016         ,         , -0.021          ,        
Col Std Dev               , 0.049           ,         , 0.047           ,         , 0.0022          ,         , 0.0027          ,        
