FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , -0.12           ,         , -0.023          ,         , -0.042          ,         , -0.042          ,        
Basic_DAXPY               , -0.21           ,         , -0.065          ,         , -0.063          ,         , -0.01           ,        
Basic_IF_QUAD             , -0.01           ,         , -0.058          ,         , -0.013          ,         , -0.05           ,        
Basic_INIT3               , 0.034           ,         , 0.061           ,         , 0.003           ,         , 0.0061          ,        
Basic_INIT_VIEW1D         , -0.001          ,         , 0.13            ,OVER_TOL , -0.01           ,         , -0.003          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.67           ,         , -0.62           ,         , 0.048           ,         , 0.069           ,        
Basic_MULADDSUB           , 0.007           ,         , 0               ,         , 0.065           ,         , 0.05            ,        
Basic_NESTED_INIT         , -0.077          ,         , -0.13           ,         , -0.012          ,         , 0.005           ,        
Basic_REDUCE3_INT         , -0.061          ,         , -0.11           ,         , -0.009          ,         , 0.036           ,        
Basic_TRAP_INT            , 0.069           ,         , 0.0041          ,         , 0.0071          ,         , -0.001          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.67           ,         , -0.62           ,         , -0.063          ,         , -0.05           ,        
Col Max                   , 0.069           ,         , 0.13            ,         , 0.065           ,         , 0.069           ,        
Col Avg                   , -0.1            ,         , -0.081          ,         , -0.0026         ,         , 0.006           ,        
Col Std Dev               , 0.042           ,         , 0.037           ,         , 0.0013          ,         , 0.0013          ,        
