FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Algorithm_SORT            , 0               ,         , 0.013           ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 2.3             ,OVER_TOL , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , 0.018           ,         , 0.0066          ,         , -0.0075         ,         , 0.11            ,OVER_TOL
Apps_ENERGY               , 0.01            ,         , -0.029          ,         , 0.022           ,         , 0.094           ,        
Apps_FIR                  , 0.21            ,OVER_TOL , 0.21            ,OVER_TOL , 0.022           ,         , 0.19            ,OVER_TOL
Apps_HALOEXCHANGE         , 0.0012          ,         , -0.0034         ,         , 0.0039          ,         , 0.97            ,OVER_TOL
Apps_LTIMES               , -0.25           ,         , 3.8             ,OVER_TOL , 0.0028          ,         , 5.7             ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.24           ,         , 0.037           ,         , 0.02            ,         , 8.2             ,OVER_TOL
Apps_PRESSURE             , -0.023          ,         , -0.028          ,         , 0.025           ,         , 0.62            ,OVER_TOL
Apps_VOL3D                , -0.023          ,         , -0.0012         ,         , -0.0017         ,         , 0.068           ,        
Basic_DAXPY               , -0.017          ,         , -0.017          ,         , -0.34           ,         , 0.058           ,        
Basic_IF_QUAD             , -0.0013         ,         , 0.0012          ,         , -0.11           ,         , 0.01            ,        
Basic_INIT3               , -0.032          ,         , -0.17           ,         , -0.012          ,         , 0.37            ,OVER_TOL
Basic_INIT_VIEW1D         , -0.004          ,         , 0.0022          ,         , -0.0033         ,         , 1.3             ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.0031         ,         , 0.28            ,OVER_TOL , -0.0049         ,         , 1.3             ,OVER_TOL
Basic_MULADDSUB           , -0.039          ,         , -0.16           ,         , -0.021          ,         , 0.35            ,OVER_TOL
Basic_NESTED_INIT         , -0.0032         ,         , 0.048           ,         , -0.33           ,         , 1.3             ,OVER_TOL
Basic_PI_ATOMIC           , 0.00048         ,         , 3.3             ,OVER_TOL , 0.074           ,         , 1.1             ,OVER_TOL
Basic_REDUCE3_INT         , -0.033          ,         , 7.3             ,OVER_TOL , 0.048           ,         , 13              ,OVER_TOL
Basic_TRAP_INT            , 0.0011          ,         , 0.07            ,         , -0.009          ,         , 1.5             ,OVER_TOL
Lcals_DIFF_PREDICT        , -0.0016         ,         , -0.097          ,         , -0.023          ,         , 0.06            ,        
Lcals_EOS                 , -0.021          ,         , -0.023          ,         , -0.049          ,         , 1.6             ,OVER_TOL
Lcals_FIRST_DIFF          , -0.0096         ,         , -0.0093         ,         , 0.02            ,         , 0.37            ,OVER_TOL
Lcals_FIRST_MIN           , -0.0048         ,         , 3               ,OVER_TOL , 0.29            ,OVER_TOL , 3.5             ,OVER_TOL
Lcals_FIRST_SUM           , -0.0049         ,         , -0.0041         ,         , 0.0019          ,         , 0.37            ,OVER_TOL
Lcals_GEN_LIN_RECUR       , -0.087          ,         , -0.088          ,         , -0.00019        ,         , 0.021           ,        
Lcals_HYDRO_1D            , -0.0093         ,         , -0.01           ,         , -0.018          ,         , 1               ,OVER_TOL
Lcals_HYDRO_2D            , -0.046          ,         , 0.052           ,         , 0.013           ,         , 0.39            ,OVER_TOL
Lcals_INT_PREDICT         , -0.0041         ,         , 0.036           ,         , 0.014           ,         , 0.026           ,        
Lcals_PLANCKIAN           , -0.16           ,         , -0.15           ,         , -0.044          ,         , 0.011           ,        
Lcals_TRIDIAG_ELIM        , -0.013          ,         , -0.014          ,         , -0.0085         ,         , 0.27            ,OVER_TOL
Stream_ADD                , -0.014          ,         , -0.012          ,         , -0.00091        ,         , 0.28            ,OVER_TOL
Stream_COPY               , -0.0058         ,         , -0.00042        ,         , -0.21           ,         , 0.069           ,        
Stream_DOT                , -0.0099         ,         , 1.2             ,OVER_TOL , 0.0051          ,         , 5.2             ,OVER_TOL
Stream_MUL                , -0.0044         ,         , -0.0044         ,         , -0.0028         ,         , 0.97            ,OVER_TOL
Stream_TRIAD              , -0.012          ,         , -0.012          ,         , 0.051           ,         , 0.99            ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.25           ,         , -0.17           ,         , -0.34           ,         , 0.01            ,        
Col Max                   , 0.21            ,         , 7.3             ,         , 0.29            ,         , inf             ,        
Col Avg                   , -0.024          ,         , 0.58            ,         , -0.017          ,         , inf             ,        
Col Std Dev               , 0.0054          ,         , 2.3             ,         , 0.011           ,         , -nan            ,        
