Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_OpenMP , Lambda_OpenMP , RAJA_OpenMP , Kokkos_Lambda , Kokkos_Functor
Basic_ATOMIC_PI           ,    1.000 ,      1.003 ,    1.164 ,       0.854 ,         1.091 ,       1.146 ,         0.972 ,        Not run
Basic_DAXPY               ,    1.000 ,      1.089 ,    0.992 ,       1.081 ,         1.036 ,       1.062 ,         0.998 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      1.003 ,    0.941 ,       0.994 ,         0.942 ,       0.951 ,         0.796 ,        Not run
Basic_INIT3               ,    1.000 ,      1.067 ,    0.991 ,       1.058 ,         1.063 ,       0.989 ,         0.297 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      1.020 ,    0.779 ,       1.140 ,         1.132 ,       1.075 ,         0.342 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      2.999 ,    2.618 ,       3.020 ,         2.857 ,       2.794 ,         0.924 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      0.994 ,    0.992 ,       0.917 ,         1.002 ,       1.000 ,         0.319 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      0.967 ,    1.004 ,       0.938 ,         0.991 ,       0.928 ,         0.933 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,      1.115 ,    0.848 ,       1.126 ,         1.115 ,       1.202 ,         0.992 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      1.040 ,    1.129 ,       1.058 ,         1.116 ,       1.125 ,         1.076 ,        Not run
