FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.0086          ,         , 0.0077          ,         , -0.18           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.072           ,         , 0.078           ,         , 0               ,         , -0.017          ,        
Apps_FIR                  , -0.037          ,         , -0.029          ,         , 0               ,         , 0.037           ,        
Apps_HALOEXCHANGE         , -0.091          ,         , -0.07           ,         , 0               ,         , -0.038          ,        
Apps_LTIMES               , 0.00073         ,         , 0.0038          ,         , -0.061          ,         , 0.075           ,        
Apps_LTIMES_NOVIEW        , 0.0035          ,         , 0.0038          ,         , -0.064          ,         , 0.078           ,        
Apps_PRESSURE             , 0.0022          ,         , 0.002           ,         , 0               ,         , 0.035           ,        
Apps_VOL3D                , 0.0061          ,         , 0.015           ,         , 0               ,         , -0.17           ,        
Basic_DAXPY               , -0.00011        ,         , 0.0013          ,         , -0.0054         ,         , 0.045           ,        
Basic_IF_QUAD             , -0.0018         ,         , 0.0058          ,         , -0.073          ,         , -0.099          ,        
Basic_INIT3               , -0.0019         ,         , 0.0059          ,         , -0.044          ,         , -0.06           ,        
Basic_INIT_VIEW1D         , 0.00075         ,         , -0.063          ,         , -0.15           ,         , -0.0084         ,        
Basic_INIT_VIEW1D_OFFSET  , 0.00049         ,         , -0.056          ,         , -0.037          ,         , 0.14            ,OVER_TOL
Basic_MULADDSUB           , 0.0012          ,         , 0.016           ,         , -0.085          ,         , -0.048          ,        
Basic_NESTED_INIT         , 0.00041         ,         , 0.0055          ,         , -0.023          ,         , -0.019          ,        
Basic_PI_ATOMIC           , -0.0014         ,         , 1.2             ,OVER_TOL , -0.014          ,         , 0.034           ,        
Basic_REDUCE3_INT         , 0.0025          ,         , -0.073          ,         , 0               ,         , -0.63           ,        
Basic_TRAP_INT            , -0.00067        ,         , -0.00031        ,         , 0               ,         , -0.95           ,        
Lcals_DIFF_PREDICT        , 0.0043          ,         , 0.0049          ,         , 0               ,         , -0.051          ,        
Lcals_EOS                 , 0.0018          ,         , 0.0013          ,         , 0               ,         , -0.055          ,        
Lcals_FIRST_DIFF          , -0.0024         ,         , -0.00071        ,         , 0               ,         , -0.018          ,        
Lcals_FIRST_MIN           , 0.013           ,         , 0.00046         ,         , 0               ,         , 0.12            ,OVER_TOL
Lcals_FIRST_SUM           , -0.00095        ,         , 0.0015          ,         , 0               ,         , -0.021          ,        
Lcals_GEN_LIN_RECUR       , -0.0087         ,         , -0.0024         ,         , 0               ,         , -0.061          ,        
Lcals_HYDRO_1D            , 0.00021         ,         , 0.0013          ,         , 0               ,         , -0.033          ,        
Lcals_HYDRO_2D            , -0.00082        ,         , 0.002           ,         , 0               ,         , -0.0061         ,        
Lcals_INT_PREDICT         , 0.002           ,         , 0.081           ,         , 0               ,         , -0.056          ,        
Lcals_PLANCKIAN           , -0.0013         ,         , -0.011          ,         , 0               ,         , -0.23           ,        
Lcals_TRIDIAG_ELIM        , -0.0062         ,         , -0.0057         ,         , 0               ,         , -0.015          ,        
Stream_ADD                , -0.003          ,         , -0.0045         ,         , -0.046          ,         , 0.033           ,        
Stream_COPY               , -0.0034         ,         , -0.0036         ,         , -0.061          ,         , 0.019           ,        
Stream_DOT                , -0.0034         ,         , -0.0038         ,         , 0               ,         , -0.97           ,        
Stream_MUL                , -8e-05          ,         , -0.00092        ,         , -0.077          ,         , -0.035          ,        
Stream_TRIAD              , -0.0042         ,         , -0.0062         ,         , -0.086          ,         , -0.029          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.091          ,         , -0.073          ,         , -0.18           ,         , -0.97           ,        
Col Max                   , 0.072           ,         , 1.2             ,         , -0.0054         ,         , 3.2             ,        
Col Avg                   , -0.0014         ,         , 0.033           ,         , -0.067          ,         , 0.0053          ,        
Col Std Dev               , 0.00045         ,         , 0.042           ,         , 0.0021          ,         , 0.37            ,        
