Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 0.798716 ,   0.812875 , 0.806193 , 0.007665 ,   0.006233 , 0.032075 ,       Not run ,        Not run
Apps_ENERGY               , 1.125722 ,   1.198628 , 1.206081 , 0.043304 ,    Not run , 0.042032 ,       Not run ,        Not run
Apps_FIR                  , 0.972328 ,   0.939094 , 0.940791 , 0.009388 ,    Not run , 0.008753 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.013901 ,   0.014306 , 0.013938 , 0.030285 ,    Not run , 0.039825 ,       Not run ,        Not run
Apps_LTIMES               , 0.870809 ,   0.870941 , 0.873304 , 0.016370 ,   0.015306 , 0.017507 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 0.871417 ,   0.873186 , 0.872961 , 0.016303 ,   0.015294 , 0.017617 ,       Not run ,        Not run
Apps_PRESSURE             , 1.358178 ,   1.364134 , 1.356153 , 0.056325 ,    Not run , 0.054774 ,       Not run ,        Not run
Apps_VOL3D                , 1.157334 ,   1.159087 , 1.170733 , 0.009165 ,    Not run , 0.007730 ,       Not run ,        Not run
Basic_DAXPY               , 0.192442 ,   0.192583 , 0.192385 , 0.017347 ,   0.017373 , 0.017752 ,      0.052575 ,        Not run
Basic_IF_QUAD             , 1.712770 ,   1.706736 , 1.720752 , 0.013414 ,   0.012671 , 0.012741 ,      0.026399 ,        Not run
Basic_INIT3               , 0.756419 ,   0.764316 , 0.767882 , 0.032502 ,   0.029879 , 0.031030 ,      0.066117 ,        Not run
Basic_INIT_VIEW1D         , 1.499923 ,   1.499112 , 1.407747 , 0.039419 ,   0.032678 , 0.037460 ,      0.230111 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.498570 ,   1.499071 , 1.407470 , 0.034552 ,   0.032398 , 0.037629 ,      0.228082 ,        Not run
Basic_MULADDSUB           , 0.529546 ,   0.531842 , 0.534097 , 0.025638 ,   0.022802 , 0.023764 ,      0.047586 ,        Not run
Basic_NESTED_INIT         , 0.603559 ,   0.603622 , 0.607291 , 0.016206 ,   0.015770 , 0.015733 ,      0.109861 ,        Not run
Basic_PI_ATOMIC           , 0.074809 ,   0.074770 , 0.164568 , 916.781017 , 922.689303 , 877.588628 ,   1111.407235 ,        Not run
Basic_REDUCE3_INT         , 0.012717 ,   0.012879 , 0.011780 , 0.020572 ,    Not run , 0.011105 ,      0.012793 ,        Not run
Basic_TRAP_INT            , 0.210457 ,   0.210654 , 0.210412 , 0.094786 ,    Not run , 0.003773 ,      0.009976 ,        Not run
Lcals_DIFF_PREDICT        , 0.847457 ,   0.846475 , 0.850990 , 0.040387 ,    Not run , 0.038406 ,      0.071698 ,        Not run
Lcals_EOS                 , 0.668676 ,   0.676573 , 0.677291 , 0.024425 ,    Not run , 0.022902 ,      0.057870 ,        Not run
Lcals_FIRST_DIFF          , 0.708172 ,   0.709001 , 0.709243 , 0.052255 ,    Not run , 0.050503 ,      0.176776 ,        Not run
Lcals_FIRST_MIN           , 0.049859 ,   0.049128 , 0.049843 , 0.007634 ,    Not run , 0.012604 ,      0.020241 ,        Not run
Lcals_FIRST_SUM           , 0.781589 ,   0.781532 , 0.782161 , 0.051332 ,    Not run , 0.049533 ,      0.176633 ,        Not run
Lcals_GEN_LIN_RECUR       , 0.844416 ,   0.848532 , 0.844234 , 0.062112 ,    Not run , 0.057725 ,      0.119523 ,        Not run
Lcals_HYDRO_1D            , 0.820976 ,   0.821377 , 0.813479 , 0.040855 ,    Not run , 0.039158 ,      0.100876 ,        Not run
Lcals_HYDRO_2D            , 0.819165 ,   0.820973 , 0.818919 , 0.021184 ,    Not run , 0.021037 ,      0.049515 ,        Not run
Lcals_INT_PREDICT         , 1.231429 ,   1.227629 , 1.284181 , 0.048657 ,    Not run , 0.046818 ,      0.090032 ,        Not run
Lcals_PLANCKIAN           , 0.761744 ,   0.761479 , 0.753532 , 0.004041 ,    Not run , 0.003184 ,      0.008231 ,        Not run
Lcals_TRIDIAG_ELIM        , 1.102743 ,   1.122349 , 1.103732 , 0.049339 ,    Not run , 0.050576 ,      0.117944 ,        Not run
Stream_ADD                , 0.760553 ,   0.762801 , 0.761093 , 0.034905 ,   0.032137 , 0.035673 ,      0.111408 ,        Not run
Stream_COPY               , 0.595216 ,   0.584367 , 0.593013 , 0.045841 ,   0.039540 , 0.047438 ,      0.173369 ,        Not run
Stream_DOT                , 1.858193 ,   1.844480 , 1.846690 , 3.754032 ,    Not run , 0.127521 ,      0.378132 ,        Not run
Stream_MUL                , 0.970263 ,   0.961597 , 0.964991 , 0.046334 ,   0.043946 , 0.046074 ,      0.176006 ,        Not run
Stream_TRIAD              , 1.307716 ,   1.246831 , 1.306608 , 0.036579 ,   0.033288 , 0.035082 ,      0.110247 ,        Not run
