Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       ,    1.000 ,      0.982 ,    0.987 ,  107.886 ,    131.656 ,   25.532 ,       Not run ,        Not run
Apps_ENERGY               ,    1.000 ,      0.931 ,    0.926 ,   25.856 ,    Not run ,   26.567 ,       Not run ,        Not run
Apps_FIR                  ,    1.000 ,      1.041 ,    1.041 ,  107.904 ,    Not run ,  110.586 ,       Not run ,        Not run
Apps_HALOEXCHANGE         ,    1.000 ,      1.545 ,    1.523 ,    0.725 ,    Not run ,    0.547 ,       Not run ,        Not run
Apps_LTIMES               ,    1.000 ,      1.000 ,    0.998 ,   53.079 ,     56.903 ,   49.792 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        ,    1.000 ,      0.999 ,    1.000 ,   53.726 ,     57.210 ,   49.690 ,       Not run ,        Not run
Apps_PRESSURE             ,    1.000 ,      1.003 ,    0.995 ,   24.888 ,    Not run ,   25.539 ,       Not run ,        Not run
Apps_VOL3D                ,    1.000 ,      0.999 ,    0.972 ,  126.734 ,    Not run ,  147.683 ,       Not run ,        Not run
Basic_DAXPY               ,    1.000 ,      1.008 ,    1.009 ,   10.674 ,     10.569 ,   10.443 ,         3.426 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      1.020 ,    1.012 ,  125.078 ,    132.015 ,  144.588 ,        64.401 ,        Not run
Basic_INIT3               ,    1.000 ,      0.724 ,    0.979 ,   23.097 ,     24.809 ,   24.094 ,        11.449 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      1.002 ,    1.067 ,   38.405 ,     46.165 ,   40.956 ,         6.539 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      1.000 ,    1.066 ,   44.565 ,     46.283 ,   40.527 ,         6.564 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      0.995 ,    0.992 ,   21.408 ,     23.294 ,   22.610 ,        11.038 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      1.000 ,    0.995 ,   36.841 ,     37.926 ,   38.628 ,         5.341 ,        Not run
Basic_PI_ATOMIC           ,    1.000 ,      1.000 ,    0.455 ,    0.000 ,      0.000 ,    0.000 ,         0.000 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,      0.999 ,    1.082 ,    0.890 ,    Not run ,    1.355 ,         0.892 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      1.003 ,    1.004 ,    2.222 ,    Not run ,   52.528 ,        19.218 ,        Not run
Lcals_DIFF_PREDICT        ,    1.000 ,      1.007 ,    1.017 ,   19.032 ,    Not run ,   19.992 ,         9.462 ,        Not run
Lcals_EOS                 ,    1.000 ,      0.997 ,    0.996 ,   27.142 ,    Not run ,   27.518 ,        10.506 ,        Not run
Lcals_FIRST_DIFF          ,    1.000 ,      1.000 ,    0.998 ,   14.438 ,    Not run ,   15.156 ,         3.917 ,        Not run
Lcals_FIRST_MIN           ,    1.000 ,      1.013 ,    1.011 ,    4.783 ,    Not run ,    3.974 ,         2.155 ,        Not run
Lcals_FIRST_SUM           ,    1.000 ,      1.000 ,    0.999 ,   15.494 ,    Not run ,   16.272 ,         4.168 ,        Not run
Lcals_GEN_LIN_RECUR       ,    1.000 ,      1.009 ,    1.000 ,   13.743 ,    Not run ,   14.449 ,         6.507 ,        Not run
Lcals_HYDRO_1D            ,    1.000 ,      1.003 ,    0.997 ,   20.228 ,    Not run ,   20.394 ,         7.568 ,        Not run
Lcals_HYDRO_2D            ,    1.000 ,      1.000 ,    1.001 ,   38.155 ,    Not run ,   38.404 ,        16.181 ,        Not run
Lcals_INT_PREDICT         ,    1.000 ,      1.005 ,    0.939 ,   25.007 ,    Not run ,   26.462 ,        13.733 ,        Not run
Lcals_PLANCKIAN           ,    1.000 ,      1.000 ,    1.010 ,  172.260 ,    Not run ,  248.388 ,        83.544 ,        Not run
Lcals_TRIDIAG_ELIM        ,    1.000 ,      0.983 ,    1.001 ,   22.036 ,    Not run ,   22.947 ,         9.593 ,        Not run
Stream_ADD                ,    1.000 ,      1.002 ,    0.998 ,   21.816 ,     22.272 ,   21.667 ,         7.041 ,        Not run
Stream_COPY               ,    1.000 ,      0.994 ,    1.000 ,   12.876 ,     13.742 ,   13.188 ,         3.510 ,        Not run
Stream_DOT                ,    1.000 ,      1.005 ,    1.004 ,    0.497 ,    Not run ,   13.622 ,         4.909 ,        Not run
Stream_MUL                ,    1.000 ,      0.994 ,    1.001 ,   12.065 ,     13.104 ,   12.653 ,         3.292 ,        Not run
Stream_TRIAD              ,    1.000 ,      0.982 ,    1.001 ,   21.737 ,     23.545 ,   22.936 ,         7.025 ,        Not run
