FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Apps_DEL_DOT_VEC_2D       , 0.0055          ,         , 0.0016          ,         , -0.14           ,         , -0.13           ,         , 0               ,        
Apps_ENERGY               , 0.11            ,OVER_TOL , 0.11            ,OVER_TOL , 0               ,         , -0.03           ,         , 0               ,        
Apps_FIR                  , -0.062          ,         , -0.067          ,         , 0               ,         , 0.075           ,         , 0               ,        
Apps_HALOEXCHANGE         , -0.07           ,         , -0.068          ,         , 0               ,         , -0.036          ,         , 0               ,        
Apps_LTIMES               , 0.00031         ,         , 0.002           ,         , -0.068          ,         , 0.067           ,         , 0               ,        
Apps_LTIMES_NOVIEW        , 0.0014          ,         , 0.0023          ,         , -0.059          ,         , 0.081           ,         , 0               ,        
Apps_PRESSURE             , -0.0025         ,         , 0.0018          ,         , 0               ,         , 0.088           ,         , 0               ,        
Apps_VOL3D                , 0.0011          ,         , 0.0052          ,         , 0               ,         , -0.081          ,         , 0               ,        
Basic_ATOMIC_PI           , -0.0017         ,         , 1.2             ,OVER_TOL , 0.0065          ,         , -0.0066         ,         , 0               ,        
Basic_DAXPY               , 0.0031          ,         , 0.0036          ,         , 0.0022          ,         , -0.34           ,         , 0               ,        
Basic_IF_QUAD             , -0.003          ,         , -0.11           ,         , -0.15           ,         , -0.46           ,         , 0               ,        
Basic_INIT3               , 0.0036          ,         , -0.45           ,         , -0.097          ,         , -0.4            ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.33            ,OVER_TOL , 0.25            ,OVER_TOL , -0.09           ,         , -0.4            ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 0.00046         ,         , -0.06           ,         , -0.02           ,         , -0.33           ,         , 0               ,        
Basic_MULADDSUB           , -0.00024        ,         , -0.51           ,         , -0.11           ,         , -0.37           ,         , 0               ,        
Basic_NESTED_INIT         , -0.0051         ,         , -0.013          ,         , -0.066          ,         , -0.066          ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00076        ,         , -0.072          ,         , 0               ,         , -0.34           ,         , 0               ,        
Basic_TRAP_INT            , 0.00011         ,         , -0.00059        ,         , 0               ,         , -0.9            ,         , 0               ,        
Lcals_DIFF_PREDICT        , 0.013           ,         , -0.41           ,         , 0               ,         , -0.16           ,         , 0               ,        
Lcals_EOS                 , 0.0086          ,         , 0.0068          ,         , 0               ,         , -0.41           ,         , 0               ,        
Lcals_FIRST_DIFF          , 0.00035         ,         , 0.0051          ,         , 0               ,         , -0.4            ,         , 0               ,        
Lcals_FIRST_MIN           , -0.023          ,         , -0.013          ,         , 0               ,         , 0.17            ,OVER_TOL , 0               ,        
Lcals_FIRST_SUM           , 0.0017          ,         , 0.007           ,         , 0               ,         , -0.4            ,         , 0               ,        
Lcals_GEN_LIN_RECUR       , -0.002          ,         , -0.00043        ,         , 0               ,         , -0.36           ,         , 0               ,        
Lcals_HYDRO_1D            , -0.0022         ,         , 0.00092         ,         , 0               ,         , -0.4            ,         , 0               ,        
Lcals_HYDRO_2D            , 0.00058         ,         , -0.002          ,         , 0               ,         , 0.013           ,         , 0               ,        
Lcals_INT_PREDICT         , -0.0037         ,         , -0.47           ,         , 0               ,         , -0.42           ,         , 0               ,        
Lcals_PLANCKIAN           , 0.00042         ,         , -0.011          ,         , 0               ,         , -0.38           ,         , 0               ,        
Lcals_TRIDIAG_ELIM        , -0.0013         ,         , -0.00097        ,         , 0               ,         , -0.36           ,         , 0               ,        
Stream_ADD                , -0.00037        ,         , 0.00014         ,         , -0.039          ,         , -0.083          ,         , 0               ,        
Stream_COPY               , 0.00064         ,         , -0.00016        ,         , -0.064          ,         , -0.12           ,         , 0               ,        
Stream_DOT                , -0.0043         ,         , -0.0077         ,         , 0               ,         , -0.98           ,         , 0               ,        
Stream_MUL                , 0.0045          ,         , 0.0019          ,         , -0.0038         ,         , -0.057          ,         , 0               ,        
Stream_TRIAD              , 0.0032          ,         , 0.36            ,OVER_TOL , -0.13           ,         , -0.095          ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.07           ,         , -0.51           ,         , -0.15           ,         , -0.98           ,         , 1.8e+308        ,        
Col Max                   , 0.33            ,         , 1.2             ,         , 0.0065          ,         , 0.17            ,         , -1.8e+308       ,        
Col Avg                   , 0.0093          ,         , -0.0091         ,         , -0.068          ,         , -0.24           ,         , 0               ,        
Col Std Dev               , 0.0038          ,         , 0.074           ,         , 0.0024          ,         , 0.066           ,         , 0               ,        
