Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 0.799034 ,   0.809635 , 0.809436 , 0.007582 ,   0.006228 , 0.031906 ,       Not run ,        Not run
Apps_ENERGY               , 1.118709 ,   1.193332 , 1.202378 , 0.044196 ,    Not run , 0.042938 ,       Not run ,        Not run
Apps_FIR                  , 0.985188 ,   0.949729 , 0.945919 , 0.009023 ,    Not run , 0.008733 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.020089 ,   0.014035 , 0.014576 , 0.043666 ,    Not run , 0.040852 ,       Not run ,        Not run
Apps_LTIMES               , 0.878422 ,   0.883547 , 0.883355 , 0.016412 ,   0.015317 , 0.017518 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 0.878470 ,   0.883168 , 0.883557 , 0.016315 ,   0.015313 , 0.017610 ,       Not run ,        Not run
Apps_PRESSURE             , 1.358875 ,   1.360032 , 1.365807 , 0.055223 ,    Not run , 0.055813 ,       Not run ,        Not run
Apps_VOL3D                , 1.175766 ,   1.184830 , 1.197380 , 0.009358 ,    Not run , 0.007806 ,       Not run ,        Not run
Basic_DAXPY               , 0.174579 ,   0.174872 , 0.174735 , 0.017382 ,   0.017335 , 0.019098 ,      0.052739 ,        Not run
Basic_IF_QUAD             , 1.745444 ,   1.743373 , 1.759220 , 0.013121 ,   0.012718 , 0.012243 ,      0.026251 ,        Not run
Basic_INIT3               , 0.761865 ,   0.762036 , 0.766602 , 0.032159 ,   0.030411 , 0.030390 ,      0.066399 ,        Not run
Basic_INIT_VIEW1D         , 1.533761 ,   1.531343 , 1.436914 , 0.039487 ,   0.032800 , 0.037595 ,      0.245166 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.500397 ,   1.500190 , 1.408977 , 0.035039 ,   0.033852 , 0.038938 ,      0.244996 ,        Not run
Basic_MULADDSUB           , 0.538846 ,   0.529637 , 0.536665 , 0.024495 ,   0.022846 , 0.024146 ,      0.049637 ,        Not run
Basic_NESTED_INIT         , 0.612019 ,   0.610842 , 0.614462 , 0.016161 ,   0.015696 , 0.016039 ,      0.104040 ,        Not run
Basic_PI_ATOMIC           , 0.075613 ,   0.075606 , 0.166418 , 754.272396 , 670.472906 , 693.265169 ,   1127.565914 ,        Not run
Basic_REDUCE3_INT         , 0.012747 ,   0.012673 , 0.011716 , 0.013282 ,    Not run , 0.010719 ,      0.011789 ,        Not run
Basic_TRAP_INT            , 0.210032 ,   0.210250 , 0.209617 , 0.094974 ,    Not run , 0.003730 ,      0.010726 ,        Not run
Lcals_DIFF_PREDICT        , 0.761367 ,   0.756619 , 0.761597 , 0.039947 ,    Not run , 0.038032 ,      0.072684 ,        Not run
Lcals_EOS                 , 0.670750 ,   0.667566 , 0.665817 , 0.023557 ,    Not run , 0.022282 ,      0.063749 ,        Not run
Lcals_FIRST_DIFF          , 0.785703 ,   0.785946 , 0.785641 , 0.052225 ,    Not run , 0.047710 ,      0.195051 ,        Not run
Lcals_FIRST_MIN           , 0.049039 ,   0.048478 , 0.049756 , 0.009757 ,    Not run , 0.011896 ,      0.022146 ,        Not run
Lcals_FIRST_SUM           , 0.823831 ,   0.821773 , 0.822727 , 0.051526 ,    Not run , 0.049353 ,      0.194936 ,        Not run
Lcals_GEN_LIN_RECUR       , 0.853532 ,   0.845367 , 0.849894 , 0.060288 ,    Not run , 0.056003 ,      0.132642 ,        Not run
Lcals_HYDRO_1D            , 0.812479 ,   0.812742 , 0.812288 , 0.033010 ,    Not run , 0.031302 ,      0.109595 ,        Not run
Lcals_HYDRO_2D            , 0.819730 ,   0.821233 , 0.817418 , 0.021251 ,    Not run , 0.021074 ,      0.049242 ,        Not run
Lcals_INT_PREDICT         , 1.200947 ,   1.207884 , 1.300647 , 0.048576 ,    Not run , 0.046269 ,      0.088529 ,        Not run
Lcals_PLANCKIAN           , 0.759096 ,   0.757632 , 0.749571 , 0.004407 ,    Not run , 0.003219 ,      0.008196 ,        Not run
Lcals_TRIDIAG_ELIM        , 1.115832 ,   1.115567 , 1.115311 , 0.049840 ,    Not run , 0.048344 ,      0.117880 ,        Not run
Stream_ADD                , 0.771251 ,   0.770184 , 0.768769 , 0.033428 ,   0.032718 , 0.034280 ,      0.111204 ,        Not run
Stream_COPY               , 0.609523 ,   0.610052 , 0.610959 , 0.046291 ,   0.039783 , 0.044673 ,      0.174248 ,        Not run
Stream_DOT                , 1.873753 ,   1.871758 , 1.872334 , 3.726584 ,    Not run , 0.126857 ,      0.377701 ,        Not run
Stream_MUL                , 0.604830 ,   0.604723 , 0.605535 , 0.044092 ,   0.038665 , 0.044678 ,      0.177341 ,        Not run
Stream_TRIAD              , 0.767682 ,   0.766765 , 0.767608 , 0.033879 ,   0.031520 , 0.032734 ,      0.113271 ,        Not run
