Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 0.817243 ,   0.825912 , 0.823459 , 0.007603 ,   0.006216 , 0.032008 ,       Not run ,        Not run
Apps_ENERGY               , 1.113120 ,   1.196768 , 1.204854 , 0.044164 ,    Not run , 0.042677 ,       Not run ,        Not run
Apps_FIR                  , 0.975052 ,   0.945822 , 0.948988 , 0.008878 ,    Not run , 0.009054 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.013803 ,   0.013841 , 0.014041 , 0.044214 ,    Not run , 0.040309 ,       Not run ,        Not run
Apps_LTIMES               , 0.871732 ,   0.872182 , 0.875132 , 0.017042 ,   0.015324 , 0.017520 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 0.871984 ,   0.873111 , 0.873724 , 0.016241 ,   0.015289 , 0.017598 ,       Not run ,        Not run
Apps_PRESSURE             , 1.357699 ,   1.368121 , 1.366626 , 0.055278 ,    Not run , 0.055101 ,       Not run ,        Not run
Apps_VOL3D                , 1.164946 ,   1.167778 , 1.181594 , 0.009253 ,    Not run , 0.007878 ,       Not run ,        Not run
Basic_DAXPY               , 0.187052 ,   0.187123 , 0.187121 , 0.017549 ,   0.017364 , 0.018605 ,      0.052426 ,        Not run
Basic_IF_QUAD             , 1.705440 ,   1.705348 , 1.729298 , 0.013706 ,   0.012704 , 0.012444 ,      0.026404 ,        Not run
Basic_INIT3               , 0.754133 ,   0.752730 , 0.758759 , 0.031992 ,   0.030944 , 0.031900 ,      0.066155 ,        Not run
Basic_INIT_VIEW1D         , 1.532960 ,   1.534920 , 1.420273 , 0.039348 ,   0.033512 , 0.038430 ,      0.229837 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.501684 ,   1.503729 , 1.413420 , 0.035627 ,   0.033454 , 0.038566 ,      0.206377 ,        Not run
Basic_MULADDSUB           , 0.529648 ,   0.530055 , 0.534538 , 0.025302 ,   0.022987 , 0.023739 ,      0.045670 ,        Not run
Basic_NESTED_INIT         , 0.607401 ,   0.607773 , 0.611596 , 0.016043 ,   0.015688 , 0.016057 ,      0.104562 ,        Not run
Basic_PI_ATOMIC           , 0.075452 ,   0.075274 , 0.165653 , 738.336049 , 680.496143 , 715.802562 ,   1133.101977 ,        Not run
Basic_REDUCE3_INT         , 0.012580 ,   0.012558 , 0.011606 , 0.014491 ,    Not run , 0.009106 ,      0.011875 ,        Not run
Basic_TRAP_INT            , 0.206162 ,   0.206009 , 0.205951 , 0.094342 ,    Not run , 0.003612 ,      0.010867 ,        Not run
Lcals_DIFF_PREDICT        , 0.836130 ,   0.835616 , 0.846752 , 0.040326 ,    Not run , 0.038006 ,      0.074038 ,        Not run
Lcals_EOS                 , 0.669233 ,   0.667603 , 0.669063 , 0.025550 ,    Not run , 0.022875 ,      0.063946 ,        Not run
Lcals_FIRST_DIFF          , 0.758437 ,   0.757565 , 0.758232 , 0.052752 ,    Not run , 0.047644 ,      0.197555 ,        Not run
Lcals_FIRST_MIN           , 0.048755 ,   0.048121 , 0.048834 , 0.010091 ,    Not run , 0.011887 ,      0.023030 ,        Not run
Lcals_FIRST_SUM           , 0.803088 ,   0.800627 , 0.801335 , 0.052606 ,    Not run , 0.048370 ,      0.199451 ,        Not run
Lcals_GEN_LIN_RECUR       , 0.843620 ,   0.845802 , 0.846402 , 0.063566 ,    Not run , 0.055134 ,      0.132968 ,        Not run
Lcals_HYDRO_1D            , 0.820526 ,   0.822869 , 0.828069 , 0.040884 ,    Not run , 0.031585 ,      0.110216 ,        Not run
Lcals_HYDRO_2D            , 0.813544 ,   0.814329 , 0.813204 , 0.021299 ,    Not run , 0.020992 ,      0.051335 ,        Not run
Lcals_INT_PREDICT         , 1.216091 ,   1.211876 , 1.307285 , 0.049791 ,    Not run , 0.045518 ,      0.090719 ,        Not run
Lcals_PLANCKIAN           , 0.751465 ,   0.751922 , 0.744078 , 0.003975 ,    Not run , 0.003231 ,      0.008932 ,        Not run
Lcals_TRIDIAG_ELIM        , 1.134995 ,   1.137581 , 1.130083 , 0.051252 ,    Not run , 0.048488 ,      0.120749 ,        Not run
Stream_ADD                , 0.792978 ,   0.786662 , 0.790905 , 0.037249 ,   0.034687 , 0.033506 ,      0.112988 ,        Not run
Stream_COPY               , 0.627209 ,   0.628010 , 0.623799 , 0.048725 ,   0.044780 , 0.043101 ,      0.178426 ,        Not run
Stream_DOT                , 1.845904 ,   1.842312 , 1.840471 , 3.710071 ,    Not run , 0.119957 ,      0.383223 ,        Not run
Stream_MUL                , 0.615281 ,   0.615115 , 0.616346 , 0.048496 ,   0.044614 , 0.044860 ,      0.180106 ,        Not run
Stream_TRIAD              , 0.787687 ,   0.784865 , 0.786897 , 0.036882 ,   0.033437 , 0.032514 ,      0.114833 ,        Not run
