FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.013           ,         , 0.013           ,         , -0.19           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.064           ,         , 0.066           ,         , 0               ,         , -0.0042         ,        
Apps_FIR                  , -0.005          ,         , -0.013          ,         , 0               ,         , -0.01           ,        
Apps_HALOEXCHANGE         , -0.28           ,         , -0.26           ,         , 0               ,         , 0.27            ,OVER_TOL
Apps_LTIMES               , -0.00027        ,         , 0.0014          ,         , -0.097          ,         , 0.033           ,        
Apps_LTIMES_NOVIEW        , 0.0022          ,         , 0.00096         ,         , -0.065          ,         , 0.075           ,        
Apps_PRESSURE             , -0.0017         ,         , 0.0031          ,         , 0               ,         , -0.0087         ,        
Apps_VOL3D                , 0.0042          ,         , 0.017           ,         , 0               ,         , -0.15           ,        
Basic_DAXPY               , 0.00086         ,         , 0.00084         ,         , 0.016           ,         , 0.043           ,        
Basic_IF_QUAD             , 0.0038          ,         , -0.0056         ,         , -0.049          ,         , -0.075          ,        
Basic_INIT3               , -0.00097        ,         , -0.015          ,         , -0.06           ,         , -0.034          ,        
Basic_INIT_VIEW1D         , -0.00043        ,         , 0.25            ,OVER_TOL , -0.15           ,         , -0.021          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00027        ,         , -0.06           ,         , -0.039          ,         , 0.11            ,OVER_TOL
Basic_MULADDSUB           , 0.0021          ,         , 0.02            ,         , -0.078          ,         , -0.035          ,        
Basic_NESTED_INIT         , 0.00041         ,         , 0.0056          ,         , -0.023          ,         , -0.0037         ,        
Basic_PI_ATOMIC           , -0.00027        ,         , 1.2             ,OVER_TOL , -0.023          ,         , -0.019          ,        
Basic_REDUCE3_INT         , -0.0039         ,         , -0.081          ,         , 0               ,         , -0.51           ,        
Basic_TRAP_INT            , -0.0035         ,         , -0.0032         ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , -0.005          ,         , -0.0058         ,         , 0               ,         , -0.057          ,        
Lcals_EOS                 , -0.075          ,         , -0.071          ,         , 0               ,         , -0.0028         ,        
Lcals_FIRST_DIFF          , -0.00014        ,         , 0.0037          ,         , 0               ,         , -0.036          ,        
Lcals_FIRST_MIN           , -0.019          ,         , -0.0056         ,         , 0               ,         , 0.17            ,OVER_TOL
Lcals_FIRST_SUM           , -0.0009         ,         , 0.00067         ,         , 0               ,         , 0.00087         ,        
Lcals_GEN_LIN_RECUR       , -6.7e-05        ,         , 0.0011          ,         , 0               ,         , -0.019          ,        
Lcals_HYDRO_1D            , -0.0021         ,         , -0.0016         ,         , 0               ,         , 0.22            ,OVER_TOL
Lcals_HYDRO_2D            , -0.00091        ,         , 0.0021          ,         , 0               ,         , -0.022          ,        
Lcals_INT_PREDICT         , -0.054          ,         , 0.025           ,         , 0               ,         , -0.06           ,        
Lcals_PLANCKIAN           , -0.00028        ,         , -0.01           ,         , 0               ,         , -0.16           ,        
Lcals_TRIDIAG_ELIM        , -0.019          ,         , 0.0019          ,         , 0               ,         , 0.016           ,        
Stream_ADD                , 0.041           ,         , -0.0017         ,         , -0.021          ,         , -0.0024         ,        
Stream_COPY               , 0.075           ,         , -0.0024         ,         , -0.03           ,         , 0.03            ,        
Stream_DOT                , 0.00013         ,         , -0.002          ,         , 0               ,         , -0.97           ,        
Stream_MUL                , 0.098           ,         , -0.0019         ,         , -0.0097         ,         , 0.029           ,        
Stream_TRIAD              , 0.0044          ,         , -0.0022         ,         , -0.12           ,         , -0.056          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.28           ,         , -0.26           ,         , -0.19           ,         , -0.97           ,        
Col Max                   , 0.098           ,         , 1.2             ,         , 0.016           ,         , 3.2             ,        
Col Avg                   , -0.0047         ,         , 0.032           ,         , -0.062          ,         , 0.028           ,        
Col Std Dev               , 0.0031          ,         , 0.046           ,         , 0.0029          ,         , 0.36            ,        
