FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.017           ,         , 0.014           ,         , -0.19           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.071           ,         , 0.076           ,         , 0               ,         , -0.017          ,        
Apps_FIR                  , -0.0048         ,         , -0.011          ,         , 0               ,         , -0.0028         ,        
Apps_HALOEXCHANGE         , -0.33           ,         , -0.36           ,         , 0               ,         , -0.033          ,        
Apps_LTIMES               , 0.00058         ,         , 0.0024          ,         , -0.097          ,         , 0.035           ,        
Apps_LTIMES_NOVIEW        , 0.0025          ,         , 0.0018          ,         , -0.064          ,         , 0.079           ,        
Apps_PRESSURE             , 0.0042          ,         , 0.0035          ,         , 0               ,         , -0.036          ,        
Apps_VOL3D                , 0.0015          ,         , 0.014           ,         , 0               ,         , -0.16           ,        
Basic_DAXPY               , 0.00082         ,         , 0.0028          ,         , 0.037           ,         , 0.05            ,        
Basic_IF_QUAD             , 0.0029          ,         , 0.0037          ,         , -0.053          ,         , -0.031          ,        
Basic_INIT3               , 0.003           ,         , 0.0058          ,         , -0.068          ,         , -0.044          ,        
Basic_INIT_VIEW1D         , 0.00039         ,         , 0.25            ,OVER_TOL , -0.17           ,         , -0.035          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00055        ,         , -0.058          ,         , -0.037          ,         , 0.12            ,OVER_TOL
Basic_MULADDSUB           , -0.012          ,         , 0.011           ,         , -0.13           ,         , -0.06           ,        
Basic_NESTED_INIT         , -0.0012         ,         , 0.0044          ,         , -0.023          ,         , -0.0017         ,        
Basic_PI_ATOMIC           , -0.00042        ,         , 1.2             ,OVER_TOL , 0.012           ,         , 0.22            ,OVER_TOL
Basic_REDUCE3_INT         , -0.0012         ,         , -0.076          ,         , 0               ,         , -0.11           ,        
Basic_TRAP_INT            , -0.00022        ,         , -0.00034        ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , -0.0025         ,         , -0.0062         ,         , 0               ,         , -0.049          ,        
Lcals_EOS                 , 0.0095          ,         , -2.2e-05        ,         , 0               ,         , -0.041          ,        
Lcals_FIRST_DIFF          , 0.0018          ,         , 0.0034          ,         , 0               ,         , -0.099          ,        
Lcals_FIRST_MIN           , -0.023          ,         , -0.014          ,         , 0               ,         , 0.21            ,OVER_TOL
Lcals_FIRST_SUM           , -0.0017         ,         , -0.001          ,         , 0               ,         , -0.042          ,        
Lcals_GEN_LIN_RECUR       , 0.0035          ,         , 0.0024          ,         , 0               ,         , -0.078          ,        
Lcals_HYDRO_1D            , -0.0012         ,         , 0.00025         ,         , 0               ,         , -0.031          ,        
Lcals_HYDRO_2D            , -0.00072        ,         , 0.00086         ,         , 0               ,         , -0.0066         ,        
Lcals_INT_PREDICT         , 0.0015          ,         , 0.073           ,         , 0               ,         , -0.047          ,        
Lcals_PLANCKIAN           , 0.0017          ,         , -0.018          ,         , 0               ,         , -0.25           ,        
Lcals_TRIDIAG_ELIM        , 0.00054         ,         , -0.0058         ,         , 0               ,         , -0.022          ,        
Stream_ADD                , -0.0012         ,         , -0.00085        ,         , -0.048          ,         , -0.011          ,        
Stream_COPY               , -0.0023         ,         , -0.0014         ,         , -0.11           ,         , -0.02           ,        
Stream_DOT                , -0.0017         ,         , -0.0036         ,         , 0               ,         , -0.97           ,        
Stream_MUL                , -0.012          ,         , -0.011          ,         , -0.015          ,         , 0.054           ,        
Stream_TRIAD              , -0.0011         ,         , -0.00051        ,         , -0.093          ,         , -0.12           ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.33           ,         , -0.36           ,         , -0.19           ,         , -0.97           ,        
Col Max                   , 0.071           ,         , 1.2             ,         , 0.037           ,         , 3.2             ,        
Col Avg                   , -0.0082         ,         , 0.032           ,         , -0.07           ,         , 0.019           ,        
Col Std Dev               , 0.0034          ,         , 0.047           ,         , 0.0037          ,         , 0.36            ,        
