FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.019           ,         , -0.0014         ,         , -0.18           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.068           ,         , 0.077           ,         , 0               ,         , -0.023          ,        
Apps_FIR                  , -0.04           ,         , -0.04           ,         , 0               ,         , -0.054          ,        
Apps_HALOEXCHANGE         , -0.12           ,         , -0.19           ,         , 0               ,         , -0.14           ,        
Apps_LTIMES               , -0.0027         ,         , -0.00023        ,         , -0.095          ,         , 0.033           ,        
Apps_LTIMES_NOVIEW        , 0.0048          ,         , 0.0017          ,         , -0.06           ,         , 0.08            ,        
Apps_PRESSURE             , 0.0016          ,         , -0.00066        ,         , 0               ,         , -0.014          ,        
Apps_VOL3D                , 0.00013         ,         , 0.0098          ,         , 0               ,         , -0.16           ,        
Basic_DAXPY               , -0.00045        ,         , -0.0011         ,         , -0.0025         ,         , 0.047           ,        
Basic_IF_QUAD             , 0.012           ,         , 0.013           ,         , -0.046          ,         , -0.071          ,        
Basic_INIT3               , -0.0022         ,         , 0.0067          ,         , -0.078          ,         , -0.052          ,        
Basic_INIT_VIEW1D         , 0.0018          ,         , -0.056          ,         , -0.16           ,         , -0.036          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.0091         ,         , -0.07           ,         , -0.059          ,         , 0.083           ,        
Basic_MULADDSUB           , 0.00068         ,         , 0.0046          ,         , -0.098          ,         , -0.069          ,        
Basic_NESTED_INIT         , -0.00057        ,         , 0.0051          ,         , -0.02           ,         , 0.00043         ,        
Basic_PI_ATOMIC           , -0.0019         ,         , 1.2             ,OVER_TOL , -0.011          ,         , 0.15            ,OVER_TOL
Basic_REDUCE3_INT         , 0.0017          ,         , -0.076          ,         , 0               ,         , -0.61           ,        
Basic_TRAP_INT            , 0.00017         ,         , -0.00032        ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , 0.00032         ,         , 0.0052          ,         , 0               ,         , -0.046          ,        
Lcals_EOS                 , 0.0061          ,         , 0.0065          ,         , 0               ,         , -0.06           ,        
Lcals_FIRST_DIFF          , 0.00084         ,         , 0.001           ,         , 0               ,         , -0.024          ,        
Lcals_FIRST_MIN           , -0.011          ,         , 0.0089          ,         , 0               ,         , 0.2             ,OVER_TOL
Lcals_FIRST_SUM           , -0.0035         ,         , -0.003          ,         , 0               ,         , -0.015          ,        
Lcals_GEN_LIN_RECUR       , 0.00038         ,         , -0.003          ,         , 0               ,         , -0.05           ,        
Lcals_HYDRO_1D            , -0.0034         ,         , -7.1e-05        ,         , 0               ,         , 0.014           ,        
Lcals_HYDRO_2D            , 5.1e-05         ,         , -0.003          ,         , 0               ,         , -0.0097         ,        
Lcals_INT_PREDICT         , 0.00096         ,         , 0.085           ,         , 0               ,         , -0.071          ,        
Lcals_PLANCKIAN           , -0.00031        ,         , -0.01           ,         , 0               ,         , -0.26           ,        
Lcals_TRIDIAG_ELIM        , -0.017          ,         , -0.004          ,         , 0               ,         , 0.03            ,        
Stream_ADD                , -0.017          ,         , 0.00062         ,         , -0.049          ,         , -0.0064         ,        
Stream_COPY               , -0.0012         ,         , -0.0014         ,         , -0.067          ,         , 0.0026          ,        
Stream_DOT                , 0.00091         ,         , -0.0034         ,         , 0               ,         , -0.96           ,        
Stream_MUL                , 0.002           ,         , -0.00021        ,         , -0.025          ,         , 0.0085          ,        
Stream_TRIAD              , -0.0089         ,         , 0.00084         ,         , -0.08           ,         , -0.02           ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.12           ,         , -0.19           ,         , -0.18           ,         , -0.96           ,        
Col Max                   , 0.068           ,         , 1.2             ,         , -0.0025         ,         , 3.2             ,        
Col Avg                   , -0.0034         ,         , 0.028           ,         , -0.069          ,         , 0.0034          ,        
Col Std Dev               , 0.00062         ,         , 0.043           ,         , 0.0024          ,         , 0.37            ,        
